Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,APOLLOHOSP,EQ,5013.4,5038.45,5068.0,4978.85,4992.0,4990.5,5010.67,310798,155730667375000.0,25218,116872,0.376
2022-01-04,APOLLOHOSP,EQ,4990.5,5015.0,5028.9,4921.1,4962.0,4964.6,4958.22,369814,183361975925000.0,35306,153622,0.4154
2022-01-05,APOLLOHOSP,EQ,4964.6,4962.0,5138.65,4922.0,4967.0,4973.25,5005.11,966342,483664638025000.0,71511,377018,0.3901
2022-01-06,APOLLOHOSP,EQ,4973.25,4970.0,5038.0,4905.0,4958.0,4964.45,4950.67,585391,289807828450000.0,52455,202603,0.3461
2022-01-07,APOLLOHOSP,EQ,4964.45,4960.0,5059.1,4958.0,5013.0,5021.85,5018.99,549876,275982399990000.0,44328,210267,0.3824
2022-01-10,APOLLOHOSP,EQ,5021.85,5021.85,5085.0,4963.0,5052.3,5065.25,5037.93,542304,273208914525000.0,52989,253239,0.467
2022-01-11,APOLLOHOSP,EQ,5065.25,5050.0,5141.5,5020.3,5051.95,5059.05,5095.41,742409,378287776425000.0,59979,306695,0.4131
2022-01-12,APOLLOHOSP,EQ,5059.05,5075.0,5099.0,5005.65,5017.95,5014.4,5038.67,360219,181502624825000.0,36932,170954,0.4746
2022-01-13,APOLLOHOSP,EQ,5014.4,5024.9,5051.0,4953.15,4979.95,4983.35,4998.09,457570,228697753075000.0,43566,225088,0.4919
2022-01-14,APOLLOHOSP,EQ,4983.35,4997.9,5015.0,4930.0,4970.0,4974.05,4966.39,207639,103121596850000.0,22865,71229,0.34299999999999997
2022-01-17,APOLLOHOSP,EQ,4974.05,4974.0,4984.7,4900.0,4901.0,4911.75,4930.01,337077,166179247615000.0,24173,170981,0.5072
2022-01-18,APOLLOHOSP,EQ,4911.75,4900.0,4909.9,4505.0,4617.0,4615.8,4615.31,3507266,1618712929330000.0,215372,1632409,0.4654
2022-01-19,APOLLOHOSP,EQ,4615.8,4615.0,4615.0,4400.0,4520.0,4515.95,4481.36,2404880,1077713164575000.0,156191,1173288,0.4879
2022-01-20,APOLLOHOSP,EQ,4515.95,4525.0,4725.0,4490.0,4635.05,4644.8,4628.48,2747887,1271852650805000.0,207115,1348157,0.49060000000000004
2022-01-21,APOLLOHOSP,EQ,4644.8,4649.95,4733.75,4544.85,4690.5,4691.65,4646.32,1008450,468558603520000.0,98253,386806,0.3836
2022-01-24,APOLLOHOSP,EQ,4691.65,4690.0,4710.8,4462.25,4476.45,4498.15,4594.21,737762,338943010345000.0,67060,248270,0.3036
2022-01-25,APOLLOHOSP,EQ,4498.15,4415.0,4535.0,4250.1,4480.0,4486.0,4435.4,917284,406851804050000.0,74408,269637,0.294
2022-01-27,APOLLOHOSP,EQ,4486.0,4427.0,4427.0,4150.0,4307.0,4292.25,4267.18,1244330,530978041580000.0,115663,396618,0.31870000000000004
2022-01-28,APOLLOHOSP,EQ,4292.25,4346.0,4565.0,4335.25,4480.0,4478.6,4497.15,932049,419156640840000.0,71835,249038,0.2672
2022-01-31,APOLLOHOSP,EQ,4478.6,4584.0,4584.0,4358.05,4453.65,4457.35,4453.38,934551,416190778080000.0,77254,267847,0.2866
2022-02-01,APOLLOHOSP,EQ,4457.35,4478.8,4532.25,4444.0,4510.5,4512.05,4498.27,548762,246848087325000.0,56227,186226,0.3394
2022-02-02,APOLLOHOSP,EQ,4512.05,4530.0,4683.0,4520.65,4667.95,4666.3,4615.83,676206,312124944445000.0,57074,177557,0.2626
2022-02-03,APOLLOHOSP,EQ,4666.3,4667.95,4704.75,4602.8,4615.0,4642.8,4637.94,777217,360468672170000.0,81265,414983,0.5339
2022-02-04,APOLLOHOSP,EQ,4642.8,4640.0,4794.0,4601.75,4680.0,4687.9,4713.03,829635,391009174525000.0,65409,229132,0.2762
2022-02-07,APOLLOHOSP,EQ,4687.9,4687.4,4724.55,4450.05,4460.85,4475.15,4544.76,597040,271340145065000.0,51135,205322,0.34390000000000004
2022-02-08,APOLLOHOSP,EQ,4475.15,4497.5,4529.7,4380.0,4410.0,4399.5,4469.04,628869,281044318744999.97,43825,223233,0.355
2022-02-09,APOLLOHOSP,EQ,4399.5,4514.7,4587.0,4430.05,4570.0,4577.25,4545.39,842211,382817366245000.0,62164,356516,0.4233
2022-02-10,APOLLOHOSP,EQ,4577.25,4576.05,4623.0,4528.1,4610.0,4590.65,4577.96,487802,223313684515000.0,51815,180971,0.371
2022-02-11,APOLLOHOSP,EQ,4590.65,4610.0,4613.45,4476.45,4505.0,4514.9,4522.16,572726,258995990640000.0,37029,183718,0.3208
2022-02-14,APOLLOHOSP,EQ,4514.9,4479.1,4678.0,4402.75,4472.0,4486.35,4559.96,1094132,498919683910000.06,83478,178342,0.163
2022-02-15,APOLLOHOSP,EQ,4486.35,4530.0,4675.0,4501.9,4675.0,4663.4,4618.98,791080,365397913675000.0,70679,187648,0.2372
2022-02-16,APOLLOHOSP,EQ,4663.4,4695.0,4724.0,4555.05,4570.1,4584.8,4608.3,584166,269200981244999.97,51790,154215,0.264
2022-02-17,APOLLOHOSP,EQ,4584.8,4584.0,4667.5,4550.0,4563.0,4564.7,4614.91,520450,240182934530000.03,38346,151139,0.2904
2022-02-18,APOLLOHOSP,EQ,4564.7,4504.0,4592.8,4462.55,4475.0,4471.55,4531.09,388145,175872162120000.0,48373,134297,0.34600000000000003
2022-02-21,APOLLOHOSP,EQ,4471.55,4471.0,4524.95,4390.65,4440.5,4426.65,4455.47,392246,174764202215000.0,36527,77004,0.1963
2022-02-22,APOLLOHOSP,EQ,4426.65,4327.0,4605.55,4300.0,4594.95,4576.05,4469.11,833525,372511122750000.0,60171,389352,0.4671
2022-02-23,APOLLOHOSP,EQ,4576.05,4595.0,4735.0,4590.5,4623.95,4610.8,4656.53,755051,351592058175000.0,75402,167262,0.2215
2022-02-24,APOLLOHOSP,EQ,4610.8,4425.0,4535.0,4351.05,4388.0,4381.95,4446.72,814710,362279062290000.0,86219,343740,0.4219
2022-02-25,APOLLOHOSP,EQ,4381.95,4570.0,4747.6,4465.75,4630.4,4633.45,4628.01,1187316,549490551480000.0,83696,224501,0.18910000000000002
2022-02-28,APOLLOHOSP,EQ,4633.45,4615.0,4826.0,4571.2,4780.15,4802.8,4742.48,1617666,767174494210000.0,103388,544431,0.33659999999999995
2022-03-02,APOLLOHOSP,EQ,4802.8,4827.0,4903.95,4780.2,4862.15,4861.25,4846.18,1194676,578960907555000.0,92312,544475,0.4558
2022-03-03,APOLLOHOSP,EQ,4861.25,4880.0,4969.0,4875.05,4905.0,4917.8,4923.77,930907,458357164430000.0,84747,414067,0.4448
2022-03-04,APOLLOHOSP,EQ,4917.8,4880.0,4889.4,4732.2,4745.0,4747.25,4779.5,738388,352912563670000.0,63737,319275,0.4324
2022-03-07,APOLLOHOSP,EQ,4747.25,4620.0,4732.8,4583.85,4666.1,4664.35,4638.83,643012,298282446775000.0,47505,281113,0.4372
2022-03-08,APOLLOHOSP,EQ,4664.35,4660.0,4740.0,4595.4,4728.55,4722.25,4667.73,670238,312848857800000.0,50598,317899,0.4743
2022-03-09,APOLLOHOSP,EQ,4722.25,4779.0,4814.9,4694.0,4710.05,4710.95,4751.45,447387,212573536775000.0,51862,162830,0.364
2022-03-10,APOLLOHOSP,EQ,4710.95,4805.6,4819.0,4745.0,4761.0,4769.7,4769.44,363906,173562729835000.0,36486,142179,0.3907
2022-03-11,APOLLOHOSP,EQ,4769.7,4748.0,4863.0,4735.25,4852.0,4854.1,4824.63,436703,210693044855000.0,42842,120543,0.276
