Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,ASIANPAINT,EQ,3382.95,3383.0,3440.9,3383.0,3425.55,3422.4,3425.26,696276,238492566569999.97,67249,396157,0.569
2022-01-04,ASIANPAINT,EQ,3422.4,3434.0,3472.45,3415.05,3454.25,3459.3,3440.9,790886,272136120535000.0,72589,449243,0.568
2022-01-05,ASIANPAINT,EQ,3459.3,3470.0,3540.0,3452.05,3526.0,3526.8,3511.78,1024506,359784073785000.0,92812,477485,0.4661
2022-01-06,ASIANPAINT,EQ,3526.8,3491.15,3537.55,3452.15,3511.0,3514.65,3499.81,1312743,459435390520000.0,80773,895621,0.6823
2022-01-07,ASIANPAINT,EQ,3514.65,3514.65,3582.0,3496.55,3573.9,3576.3,3562.94,964364,343596839135000.0,61822,490383,0.5085000000000001
2022-01-10,ASIANPAINT,EQ,3576.3,3580.0,3590.0,3527.0,3550.0,3553.5,3547.94,657511,233281250950000.0,67243,373552,0.5681
2022-01-11,ASIANPAINT,EQ,3553.5,3550.6,3564.0,3495.05,3535.05,3538.75,3530.4,734344,259253039555000.03,70402,387221,0.5273
2022-01-12,ASIANPAINT,EQ,3538.75,3556.9,3582.45,3534.0,3547.0,3543.8,3550.21,594543,211074955525000.0,78042,335465,0.5642
2022-01-13,ASIANPAINT,EQ,3543.8,3560.0,3560.0,3450.0,3458.15,3456.25,3496.82,1153984,403527393175000.0,97385,542999,0.4705
2022-01-14,ASIANPAINT,EQ,3456.25,3462.0,3462.0,3346.0,3364.0,3364.4,3365.95,1558978,524744452189999.94,146062,886336,0.5685
2022-01-17,ASIANPAINT,EQ,3364.4,3364.4,3399.0,3321.0,3371.0,3378.65,3348.16,1103159,369355574530000.0,84053,616811,0.5590999999999999
2022-01-18,ASIANPAINT,EQ,3378.65,3379.05,3396.45,3351.0,3374.5,3373.7,3374.37,558543,188472811220000.0,65228,234021,0.419
2022-01-19,ASIANPAINT,EQ,3373.7,3370.0,3370.0,3267.75,3282.95,3280.4,3292.09,1495218,492239765395000.0,123892,819270,0.5479
2022-01-20,ASIANPAINT,EQ,3280.4,3282.0,3364.9,3222.0,3303.0,3306.4,3282.29,3075678,1009526393475000.0,238580,925250,0.3008
2022-01-21,ASIANPAINT,EQ,3306.4,3300.05,3324.95,3241.75,3278.0,3274.85,3289.45,1441694,474237427010000.06,111967,630641,0.4374
2022-01-24,ASIANPAINT,EQ,3274.85,3268.0,3270.0,3135.0,3148.7,3155.15,3169.22,1575665,499363302845000.0,155744,1432951,0.6154999999999999
2022-01-25,ASIANPAINT,EQ,3155.15,3100.0,3156.95,3010.75,3151.0,3147.1,3091.76,2699779,834706470555000.0,248234,1679686,0.6222
2022-01-27,ASIANPAINT,EQ,3147.1,3140.1,3143.0,3071.25,3116.2,3116.95,3104.09,1834684,569503045760000.0,138031,1128795,0.6153000000000001
