Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,AXISBANK,EQ,678.55,680.25,698.5,679.0,697.95,696.35,692.07,8550860,591781703225000.0,158369,4541759,0.5311
2022-01-04,AXISBANK,EQ,696.35,701.0,711.05,700.05,709.5,709.15,706.09,9705906,685321659550000.0,209626,4210072,0.4338
2022-01-05,AXISBANK,EQ,709.15,711.9,730.9,707.75,726.0,726.9,721.45,11312955,816173836165000.0,218427,4879629,0.4313
2022-01-06,AXISBANK,EQ,726.9,719.95,733.5,719.0,729.0,730.3,725.93,7955578,577516375840000.0,150026,3908328,0.4913
2022-01-07,AXISBANK,EQ,730.3,734.0,740.9,725.25,730.85,730.6,733.41,10454143,766721936790000.0,234606,5629058,0.5385
2022-01-10,AXISBANK,EQ,730.6,733.65,744.0,733.2,742.6,742.8,740.47,9595787,710542016245000.0,175176,6059834,0.6315
2022-01-11,AXISBANK,EQ,742.8,742.9,747.05,737.3,743.0,743.25,743.13,7252279,538937227655000.0,161884,4070003,0.5612
2022-01-12,AXISBANK,EQ,743.25,749.65,751.45,743.15,745.0,746.85,747.34,5294563,395686237325000.0,148781,2906361,0.5489
2022-01-13,AXISBANK,EQ,746.85,749.0,749.0,737.05,740.45,740.7,740.87,5196538,384993419765000.0,125305,2700676,0.5197
2022-01-14,AXISBANK,EQ,740.7,734.8,735.95,716.05,721.25,721.7,722.38,16302342,1177648795650000.0,168950,7483596,0.45909999999999995
2022-01-17,AXISBANK,EQ,721.7,719.0,720.6,709.5,712.6,712.65,713.16,19680557,1403548184800000.0,120910,11604257,0.5896
2022-01-18,AXISBANK,EQ,712.65,717.5,735.9,714.25,725.35,725.2,726.69,24055886,1748124539955000.0,224498,11489760,0.47759999999999997
2022-01-19,AXISBANK,EQ,725.2,725.2,731.95,718.7,731.15,729.6,726.7,7746270,562917769750000.0,117828,3213048,0.4148
2022-01-20,AXISBANK,EQ,729.6,731.05,737.15,722.15,729.15,728.9,727.78,8505400,619007669695000.0,157551,4837967,0.5688000000000001
2022-01-21,AXISBANK,EQ,728.9,722.0,725.25,708.05,714.9,712.5,714.23,10689060,763440089570000.0,184348,5834961,0.5459
2022-01-24,AXISBANK,EQ,712.5,715.0,716.4,688.2,703.3,704.6,702.93,8812501,619454650820000.0,190032,15147153,0.4338
2022-01-25,AXISBANK,EQ,704.6,714.0,755.0,708.6,750.55,752.2,738.1,38088158,2811276887755000.0,521567,15479089,0.40640000000000004
2022-01-27,AXISBANK,EQ,752.2,744.0,777.0,738.1,776.9,773.85,761.89,34927774,2661126066960000.0,485880,20374606,0.5833
2022-01-28,AXISBANK,EQ,773.85,778.1,784.7,761.5,764.0,764.7,775.76,17765524,1378177219515000.0,274094,10559930,0.5944
2022-01-31,AXISBANK,EQ,764.7,775.45,777.8,762.35,771.0,773.05,772.31,12319200,951420911440000.0,246709,6594944,0.5353
2022-02-01,AXISBANK,EQ,773.05,778.1,793.9,769.1,783.0,781.9,785.01,15457534,1213429894010000.0,244378,7774076,0.5029
2022-02-02,AXISBANK,EQ,781.9,790.0,805.9,787.35,802.2,804.1,801.28,13478899,1080035474470000.1,219352,7842413,0.5818
2022-02-03,AXISBANK,EQ,804.1,802.2,811.9,793.05,794.3,799.55,805.39,10802708,870044308079999.9,144086,6456964,0.5977
2022-02-04,AXISBANK,EQ,799.55,796.95,804.5,791.15,797.15,798.55,798.01,10776387,859969677975000.0,179860,6622993,0.6146
2022-02-07,AXISBANK,EQ,798.55,802.5,803.6,784.1,788.95,789.6,792.92,10939179,867384818865000.0,175867,6690140,0.6116
2022-02-08,AXISBANK,EQ,789.6,794.0,801.0,776.15,796.7,798.55,791.85,12300670,974023142815000.0,185106,6858414,0.5576
