Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,BHARTIARTL,EQ,683.8,687.8,692.6,683.1,691.75,691.3,688.78,2939833,202490023375000.0,180368,1388705,0.47240000000000004
2022-01-04,BHARTIARTL,EQ,691.3,692.25,703.25,690.4,697.25,697.45,697.46,6473875,451525188635000.06,140355,3362580,0.5194
2022-01-05,BHARTIARTL,EQ,697.45,700.9,702.75,691.75,700.0,700.0,698.61,4586105,320392143185000.0,103288,2065102,0.45030000000000003
2022-01-06,BHARTIARTL,EQ,700.0,702.0,720.5,700.0,710.75,710.4,711.67,21642414,1540215776495000.0,185013,8545947,0.39490000000000003
2022-01-07,BHARTIARTL,EQ,710.4,713.9,715.15,701.45,705.4,704.7,707.5,4315015,305286734825000.0,94630,1853837,0.42960000000000004
2022-01-10,BHARTIARTL,EQ,704.7,705.4,711.35,703.65,706.5,704.95,706.39,3565324,251849879994999.97,83493,1776568,0.4983
2022-01-11,BHARTIARTL,EQ,704.95,703.0,709.55,694.6,703.0,703.45,701.16,10642484,746208083375000.0,131814,6365265,0.5981000000000001
2022-01-12,BHARTIARTL,EQ,703.45,707.95,732.7,704.2,729.15,730.2,718.93,12366953,889096459360000.0,168773,5928901,0.4794
2022-01-13,BHARTIARTL,EQ,730.2,729.0,735.65,726.15,731.65,731.8,731.66,5829874,426548587375000.0,156288,3120661,0.5353
2022-01-14,BHARTIARTL,EQ,731.8,729.95,730.9,718.45,721.55,720.6,723.0,5344096,386376797055000.0,145842,3171117,0.5934
2022-01-17,BHARTIARTL,EQ,720.6,720.0,734.75,719.55,728.0,728.6,728.48,4340924,316226127650000.0,109351,2060318,0.4746
2022-01-18,BHARTIARTL,EQ,728.6,727.0,730.7,712.55,713.85,714.35,719.88,4312058,310415290565000.0,88796,2220304,0.5149
2022-01-19,BHARTIARTL,EQ,714.35,714.0,715.0,701.7,703.45,703.7,705.92,5879490,415044966005000.0,139649,3760347,0.6396000000000001
2022-01-20,BHARTIARTL,EQ,703.7,706.0,719.65,705.25,719.0,715.4,712.67,4812496,342973609065000.0,92833,2190011,0.4551
2022-01-21,BHARTIARTL,EQ,715.4,709.6,714.0,689.35,694.4,695.25,698.82,6704622,468530874505000.0,169089,3682648,0.5493
2022-01-24,BHARTIARTL,EQ,695.25,690.3,707.0,677.35,687.65,689.9,693.63,11091633,769345105685000.0,181824,5970836,0.49229999999999996
2022-01-25,BHARTIARTL,EQ,689.9,684.0,720.45,682.15,709.4,711.85,709.71,14128764,1002735154654999.9,203434,7140962,0.5054
2022-01-27,BHARTIARTL,EQ,711.85,706.5,716.0,701.5,709.6,707.25,708.61,8937312,633303673835000.0,201463,5147830,0.5760000000000001
2022-01-28,BHARTIARTL,EQ,707.25,714.9,754.0,701.65,717.0,715.8,718.56,21450677,1541349433770000.0,360964,10858600,0.5062
2022-01-31,BHARTIARTL,EQ,715.8,728.0,735.0,719.55,729.55,729.3,728.03,10745370,782297334170000.0,240581,6012055,0.5595
2022-02-01,BHARTIARTL,EQ,729.3,733.0,735.0,718.3,725.05,723.05,727.18,4814511,350102877955000.0,106248,1699053,0.3529
2022-02-02,BHARTIARTL,EQ,723.05,726.1,731.75,720.5,725.1,725.05,724.74,3286577,238190914990000.0,85137,1425176,0.4336
2022-02-03,BHARTIARTL,EQ,725.05,726.0,729.0,718.5,720.0,721.65,723.41,3651578,264159123490000.0,105929,2106096,0.5768
2022-02-04,BHARTIARTL,EQ,721.65,721.1,723.25,716.5,719.0,720.2,720.08,3284198,236489734035000.0,93139,1704869,0.5191
2022-02-07,BHARTIARTL,EQ,720.2,718.0,720.1,699.5,708.0,706.5,707.6,6833983,483573960135000.06,115571,3830394,0.5605
2022-02-08,BHARTIARTL,EQ,706.5,711.2,714.7,701.0,706.95,708.9,706.62,7167684,506485959580000.0,111904,3368670,0.47000000000000003
2022-02-09,BHARTIARTL,EQ,708.9,707.1,726.1,702.15,719.9,719.35,715.86,10185173,729117568695000.0,144952,4524854,0.44430000000000003
2022-02-10,BHARTIARTL,EQ,719.35,722.95,726.95,708.6,721.5,724.05,718.87,6074014,436644112625000.0,176435,2930229,0.48240000000000005
2022-02-11,BHARTIARTL,EQ,724.05,721.7,725.4,710.9,713.2,715.15,716.33,5646980,404511073610000.0,118668,3428094,0.6071
2022-02-14,BHARTIARTL,EQ,715.15,704.0,704.0,685.0,689.0,689.7,695.0,7441445,517178923920000.0,199472,4148997,0.5576
2022-02-15,BHARTIARTL,EQ,689.7,696.0,713.1,686.6,710.05,711.55,698.99,4650249,325047156410000.0,94669,1955106,0.4204
2022-02-16,BHARTIARTL,EQ,711.55,717.4,728.2,708.0,719.7,721.8,719.33,5433910,390877601945000.0,105402,1998939,0.3679
2022-02-17,BHARTIARTL,EQ,721.8,724.45,727.5,715.0,716.15,717.0,720.02,5107708,367766198335000.0,88553,2594148,0.5079
2022-02-18,BHARTIARTL,EQ,717.0,712.05,719.55,711.35,712.0,712.55,715.65,4099366,293371934375000.0,78724,2006827,0.48950000000000005
2022-02-21,BHARTIARTL,EQ,712.55,708.05,716.55,703.0,710.25,709.95,711.19,4307430,306338067240000.0,68370,2275032,0.5282
2022-02-22,BHARTIARTL,EQ,709.95,694.2,702.5,687.5,696.1,699.25,693.88,9148804,634820485445000.0,162755,5648218,0.6174000000000001
2022-02-23,BHARTIARTL,EQ,699.25,700.1,708.95,699.5,701.2,704.4,704.91,4124469,290736309220000.0,99194,2354887,0.5710000000000001
2022-02-24,BHARTIARTL,EQ,704.4,682.0,688.55,645.45,670.0,670.9,675.3,14139461,954831651904999.9,257679,7314769,0.5173
2022-02-25,BHARTIARTL,EQ,670.9,677.5,695.15,677.5,689.0,688.65,689.84,6452099,445090201630000.0,121428,3187317,0.494
2022-02-28,BHARTIARTL,EQ,688.65,681.0,690.0,666.45,686.0,686.5,681.09,8301523,565406469455000.0,193009,4327754,0.5213
2022-03-02,BHARTIARTL,EQ,686.5,684.0,684.0,666.0,675.0,674.25,672.92,10220908,687781912745000.0,224046,6319929,0.6183
2022-03-03,BHARTIARTL,EQ,674.25,675.0,679.8,668.6,672.2,672.05,672.86,6517030,438502386095000.0,170940,3873192,0.5943
2022-03-04,BHARTIARTL,EQ,672.05,665.0,667.95,650.0,654.75,653.7,657.18,7094874,466261039770000.0,141743,3920731,0.5526
2022-03-07,BHARTIARTL,EQ,653.7,640.0,679.35,639.0,677.2,675.4,665.01,12615451,838944915690000.0,287557,7190131,0.5699000000000001
2022-03-08,BHARTIARTL,EQ,675.4,675.0,686.85,667.6,681.5,683.0,679.19,8462985,574795586295000.0,172611,4638145,0.5481
2022-03-09,BHARTIARTL,EQ,683.0,682.0,698.0,674.3,691.35,691.5,690.95,9896395,683795318680000.0,172243,6449606,0.6517000000000001
