Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,BPCL,EQ,385.45,384.0,387.0,384.0,387.0,386.1,385.86,3234192,124795580150000.0,36696,1751978,0.5417000000000001
2022-01-04,BPCL,EQ,386.1,388.0,393.75,384.75,385.6,385.95,388.18,5899648,229013234235000.0,69656,3109167,0.527
2022-01-05,BPCL,EQ,385.95,384.95,396.5,383.45,395.85,394.7,390.93,6741998,263566948760000.0,66150,3892501,0.5774
2022-01-06,BPCL,EQ,394.7,396.0,396.65,390.6,396.4,395.8,393.6,4118574,162108906055000.0,53212,1962790,0.47659999999999997
2022-01-07,BPCL,EQ,395.8,398.0,402.9,395.0,396.0,396.2,397.98,5957213,237085864175000.0,77591,2688238,0.45130000000000003
2022-01-10,BPCL,EQ,396.2,399.0,399.7,395.6,397.2,397.55,397.39,2089864,83049422400000.0,39407,1094629,0.5238
2022-01-11,BPCL,EQ,397.55,398.8,398.8,390.15,391.0,391.15,392.86,3427008,134633843490000.02,76189,2184459,0.6374000000000001
2022-01-12,BPCL,EQ,391.15,394.5,395.95,386.55,387.9,388.7,390.06,4623410,180341785575000.0,96011,3100390,0.6706000000000001
2022-01-13,BPCL,EQ,388.7,390.2,397.55,387.25,395.0,394.5,391.31,4245712,166139643400000.0,85055,1916670,0.4514
2022-01-14,BPCL,EQ,394.5,395.0,399.95,392.5,398.6,398.45,397.38,3457752,137404814575000.0,54464,1325585,0.3834
2022-01-17,BPCL,EQ,398.45,401.0,404.4,398.6,400.35,400.55,401.84,4835805,194323361635000.0,93109,1752730,0.3624
2022-01-18,BPCL,EQ,400.55,401.8,406.9,396.35,399.0,398.1,403.45,6610248,266692035140000.0,103625,2810679,0.4252
2022-01-19,BPCL,EQ,398.1,396.0,401.5,393.0,393.95,394.35,396.52,5173988,205159115930000.0,92891,2585831,0.49979999999999997
2022-01-20,BPCL,EQ,394.35,395.0,397.55,390.2,393.65,393.05,394.01,3247617,127958675609999.98,66317,1721368,0.53
2022-01-21,BPCL,EQ,393.05,393.8,396.05,380.0,382.0,381.7,386.76,5155269,199385324305000.0,98629,2420854,0.4696
2022-01-24,BPCL,EQ,381.7,381.4,383.85,370.1,373.05,373.1,376.58,5334037,200871308635000.0,83497,2075919,0.4828
2022-01-25,BPCL,EQ,373.1,372.1,383.8,368.0,382.0,382.55,378.24,4952650,187328686615000.0,98262,2361323,0.4768
2022-01-27,BPCL,EQ,382.55,385.0,385.25,375.0,381.9,382.2,379.74,5737395,217869431025000.0,92808,2446623,0.4264
2022-01-28,BPCL,EQ,382.2,384.95,393.5,381.35,383.95,382.5,388.0,4044959,156945094050000.0,62241,1647742,0.40740000000000004
2022-01-31,BPCL,EQ,382.5,390.0,399.8,387.95,396.85,397.05,395.83,6964092,275658145830000.03,87301,2530718,0.36340000000000006
2022-02-01,BPCL,EQ,397.05,395.0,395.0,376.0,379.35,378.85,383.13,12757699,488786102100000.0,169094,5341627,0.41869999999999996
2022-02-02,BPCL,EQ,378.85,385.0,385.6,379.35,382.65,382.1,382.0,5850788,223501149925000.0,91790,2376582,0.4062
2022-02-03,BPCL,EQ,382.1,384.0,384.9,376.5,377.2,377.05,379.07,5329147,202012703160000.0,86916,2897384,0.5437
2022-02-04,BPCL,EQ,377.05,377.15,380.0,374.05,376.3,375.65,376.24,4478855,168512491625000.0,74136,1988424,0.444
2022-02-07,BPCL,EQ,375.65,378.0,378.4,370.1,372.5,372.45,372.93,4094513,152698446590000.0,73872,1913507,0.4673
2022-02-08,BPCL,EQ,372.45,374.4,378.5,370.65,378.0,377.4,374.45,3454806,129364981650000.0,62251,1463179,0.42350000000000004
2022-02-09,BPCL,EQ,377.4,380.0,382.0,374.7,374.95,375.6,376.91,4646178,175121288910000.0,64621,2488809,0.5357000000000001
2022-02-10,BPCL,EQ,375.6,372.7,373.5,368.5,370.0,369.65,370.2,6141529,227362379255000.03,104978,3192486,0.5197999999999999
2022-02-11,BPCL,EQ,369.65,369.65,374.5,365.0,369.8,369.55,370.76,5631276,208784428280000.0,68773,2327055,0.4132
2022-02-14,BPCL,EQ,369.55,365.0,365.85,360.55,362.0,361.7,362.99,5098193,185058580770000.0,83779,2891121,0.5671
2022-02-15,BPCL,EQ,361.7,362.05,369.75,356.6,369.1,368.9,362.19,5524786,200104875335000.0,104306,2405317,0.4354
2022-02-16,BPCL,EQ,368.9,371.0,378.4,370.3,373.7,374.1,374.52,5444908,203921116505000.0,64887,2046522,0.37590000000000007
2022-02-17,BPCL,EQ,374.1,375.95,377.25,371.0,373.2,373.0,373.94,2612160,97678052035000.0,38903,1213731,0.4646
2022-02-18,BPCL,EQ,373.0,371.45,375.95,371.45,372.85,373.15,373.85,2210217,82628419470000.0,37647,955449,0.43229999999999996
2022-02-21,BPCL,EQ,373.15,373.0,373.0,365.05,368.45,368.75,368.85,3103771,114482322430000.0,52726,954265,0.3075
2022-02-22,BPCL,EQ,368.75,360.0,364.45,349.3,355.2,355.3,356.66,7053081,251557858705000.03,103732,2965665,0.4205
2022-02-23,BPCL,EQ,355.3,358.5,360.8,356.2,357.3,357.1,358.42,2818071,101005607175000.0,50139,1045313,0.37090000000000006
2022-02-24,BPCL,EQ,357.1,349.0,352.0,331.1,333.45,333.05,341.09,7047485,240380032075000.0,122502,3224561,0.4575
2022-02-25,BPCL,EQ,333.05,340.0,341.5,332.15,336.5,336.35,336.65,5839510,196588430130000.0,107059,2740311,0.4693
2022-02-28,BPCL,EQ,336.35,335.35,351.3,332.0,349.5,349.8,346.02,9573141,331246905295000.0,111340,4244459,0.4434
2022-03-02,BPCL,EQ,349.8,346.5,356.7,339.8,343.3,342.1,346.32,7734602,267864848400000.0,112919,3788369,0.48979999999999996
2022-03-03,BPCL,EQ,342.1,347.4,354.0,343.35,346.6,346.4,346.96,6412853,222503386780000.03,95960,2707118,0.42210000000000003
2022-03-04,BPCL,EQ,346.4,347.95,351.5,343.0,350.25,348.35,346.65,7778930,269653135705000.03,103735,3452199,0.44380000000000003
2022-03-07,BPCL,EQ,348.35,347.0,347.0,331.8,338.85,338.0,338.95,9968000,337864039895000.0,129601,4506468,0.4521
2022-03-08,BPCL,EQ,338.0,337.8,343.0,332.7,342.75,341.6,338.46,6440280,217975513910000.0,100952,2743779,0.42600000000000005
2022-03-09,BPCL,EQ,341.6,344.5,347.65,337.7,342.8,342.65,342.23,6781953,232098842094999.97,89917,2595579,0.38270000000000004
