Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,BRITANNIA,EQ,3606.0,3610.0,3626.0,3582.2,3622.0,3617.55,3610.56,149689,54046178560000.0,14710,88893,0.5939
2022-01-04,BRITANNIA,EQ,3617.55,3623.0,3643.85,3610.0,3641.0,3638.45,3627.98,317247,115096583625000.0,24579,165193,0.5207
2022-01-05,BRITANNIA,EQ,3638.45,3638.0,3689.0,3633.05,3656.0,3659.7,3658.72,245395,89783056740000.0,24387,123765,0.5044
2022-01-06,BRITANNIA,EQ,3659.7,3659.7,3686.95,3625.8,3673.0,3675.1,3656.21,340345,124437318459999.98,31627,188962,0.5552
2022-01-07,BRITANNIA,EQ,3675.1,3685.0,3742.0,3682.85,3729.85,3737.35,3720.87,241905,90009778385000.0,23359,123496,0.5105
2022-01-10,BRITANNIA,EQ,3737.35,3737.35,3778.0,3727.9,3776.0,3768.3,3752.36,351447,131875607925000.0,24224,231150,0.6577
2022-01-11,BRITANNIA,EQ,3768.3,3768.3,3800.95,3738.1,3746.1,3743.35,3767.11,206008,77605422480000.0,35398,107240,0.5206000000000001
2022-01-12,BRITANNIA,EQ,3743.35,3750.0,3759.75,3691.0,3704.0,3700.2,3717.11,311095,115637539184999.98,33322,223437,0.7182
2022-01-13,BRITANNIA,EQ,3700.2,3700.2,3759.95,3691.3,3756.0,3749.05,3725.69,129143,48114729365000.0,19207,58996,0.4568
2022-01-14,BRITANNIA,EQ,3749.05,3749.05,3754.9,3695.3,3700.0,3712.05,3725.66,97013,36143749760000.0,10269,28420,0.29300000000000004
2022-01-17,BRITANNIA,EQ,3712.05,3697.0,3712.8,3642.35,3667.9,3665.15,3670.2,170221,62474541945000.01,17441,77353,0.45439999999999997
2022-01-18,BRITANNIA,EQ,3665.15,3668.0,3694.7,3611.1,3629.3,3621.9,3643.75,168104,61252919420000.01,22429,79034,0.47009999999999996
2022-01-19,BRITANNIA,EQ,3621.9,3620.0,3627.55,3565.0,3583.45,3575.65,3596.28,129227,46473614750000.0,18094,56364,0.4362
2022-01-20,BRITANNIA,EQ,3575.65,3590.0,3624.0,3576.5,3605.65,3605.15,3600.24,173547,62481064550000.0,21259,86768,0.5
2022-01-21,BRITANNIA,EQ,3605.15,3606.0,3629.0,3575.7,3616.0,3618.3,3611.97,162594,58728473029999.99,19089,68436,0.42090000000000005
2022-01-24,BRITANNIA,EQ,3618.3,3610.0,3626.55,3505.0,3505.0,3523.85,3558.5,240598,85616808775000.0,31876,127055,0.5224
2022-01-25,BRITANNIA,EQ,3523.85,3502.0,3565.45,3430.25,3555.15,3539.3,3509.78,306411,107543528305000.0,31803,157043,0.5125
2022-01-27,BRITANNIA,EQ,3539.3,3535.0,3535.0,3435.65,3481.85,3494.15,3480.71,353612,123082161045000.0,36861,207792,0.5876
2022-01-28,BRITANNIA,EQ,3494.15,3494.15,3595.0,3494.15,3530.0,3509.65,3538.89,249034,88130343160000.0,26484,108366,0.4351
2022-01-31,BRITANNIA,EQ,3509.65,3510.0,3636.0,3510.0,3544.2,3535.3,3568.22,462842,165152408790000.0,42676,191945,0.4147
2022-02-01,BRITANNIA,EQ,3535.3,3560.0,3710.0,3545.05,3660.0,3656.6,3659.34,631482,231080759644999.97,58969,182503,0.289
2022-02-02,BRITANNIA,EQ,3656.6,3670.0,3670.0,3604.8,3625.0,3621.05,3627.96,209928,76160952275000.0,24456,80757,0.3847
2022-02-03,BRITANNIA,EQ,3621.05,3622.0,3652.0,3555.0,3563.0,3562.4,3593.31,203975,73294573155000.0,24095,74372,0.36460000000000004
2022-02-04,BRITANNIA,EQ,3562.4,3583.45,3593.7,3540.0,3559.0,3562.0,3560.42,162672,57917991020000.01,27870,75198,0.4623
2022-02-07,BRITANNIA,EQ,3562.0,3561.95,3579.8,3440.0,3442.0,3448.6,3475.32,279194,97028868695000.0,40037,158616,0.5681
2022-02-08,BRITANNIA,EQ,3448.6,3441.0,3490.0,3418.4,3467.0,3473.45,3460.83,363856,125924465509999.98,38498,190575,0.5238
2022-02-09,BRITANNIA,EQ,3473.45,3509.0,3540.7,3473.45,3515.0,3517.35,3519.4,172750,60797598285000.0,18025,71293,0.41270000000000007
2022-02-10,BRITANNIA,EQ,3517.35,3522.0,3543.85,3485.0,3528.05,3534.55,3521.55,172088,60601721595000.01,32016,93639,0.5441
2022-02-11,BRITANNIA,EQ,3534.55,3499.0,3509.35,3429.0,3475.0,3480.55,3456.88,340217,117608892915000.02,40974,207530,0.61
2022-02-14,BRITANNIA,EQ,3480.55,3428.0,3455.0,3388.05,3397.0,3398.0,3412.14,209831,71597346560000.0,30721,116555,0.5555
2022-02-15,BRITANNIA,EQ,3398.0,3425.0,3490.0,3400.0,3468.0,3477.9,3448.94,209065,72105310050000.0,27429,104623,0.5004
2022-02-16,BRITANNIA,EQ,3477.9,3480.0,3498.8,3435.0,3462.0,3462.0,3464.88,190567,66029237175000.0,17108,76070,0.3992
2022-02-17,BRITANNIA,EQ,3462.0,3482.6,3483.0,3430.0,3455.0,3464.1,3456.55,173362,59923359150000.0,15203,80097,0.462
2022-02-18,BRITANNIA,EQ,3464.1,3450.0,3495.0,3444.15,3475.2,3481.65,3475.77,121161,42112718465000.0,11442,53489,0.4415
2022-02-21,BRITANNIA,EQ,3481.65,3431.1,3500.0,3430.0,3456.05,3475.25,3468.86,138287,47969778630000.0,16836,56609,0.4094
2022-02-22,BRITANNIA,EQ,3475.25,3405.0,3498.0,3405.0,3476.3,3489.75,3469.31,246372,85474002645000.0,27100,135732,0.5509000000000001
2022-02-23,BRITANNIA,EQ,3489.75,3497.75,3530.0,3470.0,3503.0,3511.15,3507.33,326853,114638213705000.0,30657,174659,0.5344
2022-02-24,BRITANNIA,EQ,3511.15,3439.5,3504.0,3414.0,3435.0,3446.0,3461.63,529995,183464541985000.0,47360,311153,0.5871000000000001
2022-02-25,BRITANNIA,EQ,3446.0,3435.0,3444.0,3350.4,3427.0,3422.75,3405.23,722637,246074405244999.97,68859,221905,0.30710000000000004
2022-02-28,BRITANNIA,EQ,3422.75,3405.0,3440.0,3327.35,3418.0,3427.45,3389.23,426929,144696181520000.0,37000,212719,0.4983
2022-03-02,BRITANNIA,EQ,3427.45,3420.95,3420.95,3371.75,3385.0,3391.75,3388.93,416582,141176858675000.0,30285,276317,0.6633
2022-03-03,BRITANNIA,EQ,3391.75,3405.0,3439.55,3350.0,3366.0,3366.4,3393.51,429892,145884321980000.0,44244,251768,0.5857
2022-03-04,BRITANNIA,EQ,3366.4,3350.0,3394.85,3275.0,3377.95,3371.35,3333.19,331936,110640593545000.0,36119,130504,0.3932
2022-03-07,BRITANNIA,EQ,3371.35,3300.0,3300.55,3138.55,3159.0,3153.45,3203.41,711477,227915221219999.97,64898,414619,0.5828
2022-03-08,BRITANNIA,EQ,3153.45,3115.0,3180.0,3050.0,3114.95,3113.75,3096.69,541966,167829926250000.0,63950,291240,0.5374
2022-03-09,BRITANNIA,EQ,3113.75,3144.0,3170.0,3093.7,3139.0,3123.85,3124.69,483468,151068724800000.0,53980,273316,0.5653
2022-03-10,BRITANNIA,EQ,3123.85,3225.0,3248.0,3144.8,3200.0,3222.95,3190.03,490457,156457495305000.0,40450,273801,0.5583
2022-03-11,BRITANNIA,EQ,3222.95,3250.0,3256.6,3192.8,3200.0,3199.9,3214.54,362091,116395425700000.0,27573,146602,0.40490000000000004
2022-03-14,BRITANNIA,EQ,3199.9,3199.9,3215.0,3145.1,3195.0,3185.85,3176.35,335292,106500526525000.0,25522,183795,0.5482
2022-03-15,BRITANNIA,EQ,3185.85,3186.0,3249.0,3181.65,3220.0,3222.85,3221.85,258636,83328641520000.0,31146,130173,0.5033
2022-03-16,BRITANNIA,EQ,3222.85,3244.0,3318.35,3232.25,3307.0,3313.65,3277.0,239522,78491294305000.0,21638,97383,0.40659999999999996
2022-03-17,BRITANNIA,EQ,3313.65,3322.0,3362.0,3300.55,3354.8,3355.95,3334.03,436218,145436590175000.0,36707,262784,0.6024
2022-03-21,BRITANNIA,EQ,3355.95,3350.0,3350.0,3230.0,3240.0,3237.55,3275.05,354460,116087258409999.98,35128,191752,0.541
2022-03-22,BRITANNIA,EQ,3237.55,3230.0,3250.0,3132.25,3165.3,3158.4,3161.71,583821,184587057070000.0,56823,308105,0.5277000000000001
2022-03-23,BRITANNIA,EQ,3158.4,3167.4,3173.85,3092.0,3093.0,3102.25,3114.97,1044283,325291046530000.0,69579,647785,0.6203000000000001
2022-03-24,BRITANNIA,EQ,3102.25,3087.0,3130.0,3080.55,3098.05,3103.85,3111.33,459226,142880390575000.0,33540,272718,0.5939
2022-03-25,BRITANNIA,EQ,3103.85,3110.0,3122.75,3074.1,3092.1,3094.5,3091.16,339040,104802576120000.0,32896,154145,0.4547
2022-03-28,BRITANNIA,EQ,3094.5,3094.5,3118.95,3060.05,3088.45,3094.8,3084.89,310240,95705541830000.0,30496,162435,0.5236
2022-03-29,BRITANNIA,EQ,3094.8,3112.0,3134.0,3090.2,3102.0,3103.8,3107.72,359318,111666065420000.0,25844,209454,0.5829
2022-03-30,BRITANNIA,EQ,3103.8,3123.65,3160.0,3114.65,3147.0,3148.4,3143.08,450273,141524420285000.0,31645,258215,0.5735
2022-03-31,BRITANNIA,EQ,3148.4,3149.3,3218.5,3147.3,3209.0,3206.4,3191.38,413897,132090107570000.0,31604,234578,0.5668
2022-04-01,BRITANNIA,EQ,3206.4,3210.0,3237.9,3191.65,3227.0,3230.65,3219.65,260712,83940044540000.0,29720,160223,0.6146
2022-04-04,BRITANNIA,EQ,3230.65,3230.0,3276.4,3215.0,3270.0,3270.0,3259.95,275388,89775165600000.0,26695,141323,0.5132
2022-04-05,BRITANNIA,EQ,3270.0,3280.0,3314.95,3271.9,3304.7,3303.4,3297.39,236853,78099710385000.0,23733,135017,0.5700000000000001
2022-04-06,BRITANNIA,EQ,3303.4,3282.0,3295.0,3254.65,3287.0,3282.5,3273.19,245111,80229486825000.0,23348,133888,0.5462
2022-04-07,BRITANNIA,EQ,3282.5,3275.0,3322.0,3265.65,3294.85,3294.1,3292.3,302703,99659036535000.0,26258,115882,0.38280000000000003
2022-04-08,BRITANNIA,EQ,3294.1,3287.0,3354.3,3287.0,3352.55,3347.9,3332.08,168952,56296110040000.0,17733,67401,0.39890000000000003
2022-04-11,BRITANNIA,EQ,3347.9,3347.9,3370.0,3297.05,3354.0,3350.65,3339.77,186130,62163199520000.01,19724,51820,0.2784
2022-04-12,BRITANNIA,EQ,3350.65,3340.0,3364.9,3302.3,3345.0,3344.1,3338.76,238043,79476840575000.0,24460,123058,0.517
2022-04-13,BRITANNIA,EQ,3344.1,3340.0,3388.0,3340.0,3345.95,3349.65,3360.09,205852,69168114495000.01,24904,113100,0.5494
2022-04-18,BRITANNIA,EQ,3349.65,3345.0,3367.9,3306.05,3342.7,3343.9,3339.6,197878,66083431770000.01,22002,85456,0.4319
2022-04-19,BRITANNIA,EQ,3343.9,3343.9,3388.0,3245.3,3253.7,3267.9,3334.04,296680,98914213665000.0,27675,114661,0.3865
