Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,CIPLA,EQ,944.1,947.05,947.9,925.8,931.75,930.5,931.91,2013140,187607473260000.0,55241,665504,0.3306
2022-01-04,CIPLA,EQ,930.5,937.45,937.45,920.25,925.0,924.25,925.42,1238138,114580116425000.0,39174,500322,0.40409999999999996
2022-01-05,CIPLA,EQ,924.25,926.5,931.8,919.0,929.25,928.55,926.72,1407995,130481482515000.02,45984,545087,0.3871
2022-01-06,CIPLA,EQ,928.55,928.55,935.95,919.3,921.4,922.0,925.27,1384402,128094830375000.0,37937,460185,0.33240000000000003
2022-01-07,CIPLA,EQ,922.0,926.4,926.65,913.35,914.6,914.75,917.19,1546099,141807008050000.0,45098,862834,0.5581
2022-01-10,CIPLA,EQ,914.75,914.75,917.85,908.65,916.0,916.2,915.05,1637506,149840305105000.0,54103,916719,0.5598
2022-01-11,CIPLA,EQ,916.2,917.5,921.75,913.0,914.0,915.95,917.59,1578147,144809255625000.0,61608,739098,0.4683
2022-01-12,CIPLA,EQ,915.95,918.4,918.4,901.2,907.2,906.2,907.0,2090537,189610788385000.0,116676,906777,0.4338
2022-01-13,CIPLA,EQ,906.2,912.0,929.15,908.7,924.95,924.05,921.59,2739659,252484881565000.0,79029,1244733,0.4543
2022-01-14,CIPLA,EQ,924.05,926.05,933.0,916.3,920.6,921.5,924.63,2321761,214677313025000.0,81806,738342,0.318
2022-01-17,CIPLA,EQ,921.5,915.6,920.2,909.0,909.65,910.2,912.7,1058857,96641427720000.0,40853,491431,0.46409999999999996
2022-01-18,CIPLA,EQ,910.2,910.2,914.6,898.45,901.6,902.15,902.69,1830577,165245055190000.0,60161,1078768,0.5893
2022-01-19,CIPLA,EQ,902.15,900.05,901.6,885.1,897.0,895.65,894.17,1413292,126372986840000.02,48371,710160,0.5025000000000001
2022-01-20,CIPLA,EQ,895.65,895.0,899.9,880.05,883.5,882.35,885.85,1614683,143037198670000.0,66573,846202,0.5241
2022-01-21,CIPLA,EQ,882.35,880.0,880.0,860.0,867.3,867.45,868.29,1669132,144928437530000.0,69443,772641,0.4629
2022-01-24,CIPLA,EQ,867.45,871.5,895.0,867.45,892.3,892.1,886.38,4992078,442488021014999.94,152825,611944,0.3045
2022-01-25,CIPLA,EQ,892.1,891.4,909.0,881.1,902.0,905.65,897.2,2322693,208392285750000.0,139393,648150,0.2791
2022-01-27,CIPLA,EQ,905.65,901.0,931.5,887.0,926.55,927.6,917.56,7859401,721146143065000.0,239337,3147924,0.40049999999999997
