Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,COALINDIA,EQ,146.05,147.25,155.95,147.0,155.35,155.3,152.76,29486720,450441296330000.0,151574,9408958,0.3191
2022-01-04,COALINDIA,EQ,155.3,156.0,156.65,152.35,153.0,153.0,154.24,13744440,211994438790000.0,86509,3911650,0.2846
2022-01-05,COALINDIA,EQ,153.0,153.0,154.3,152.1,154.0,153.7,153.35,8454060,129646124625000.0,53430,3188575,0.3772
2022-01-06,COALINDIA,EQ,153.7,154.5,155.25,153.05,154.65,154.65,154.11,12446900,191812963735000.0,72781,4093656,0.3289
2022-01-07,COALINDIA,EQ,154.65,155.0,157.45,154.95,156.5,156.95,156.35,11679683,182613303785000.0,66686,4480304,0.3836
2022-01-10,COALINDIA,EQ,156.95,157.8,161.0,157.05,160.65,160.7,159.54,14655298,233807700694999.97,94733,7547495,0.515
2022-01-11,COALINDIA,EQ,160.7,160.65,160.65,158.1,158.85,158.55,159.19,7670386,122105184755000.0,66645,3294011,0.4294
2022-01-12,COALINDIA,EQ,158.55,160.4,160.75,158.5,159.0,159.35,159.31,6334581,100917994555000.0,57057,3030861,0.47850000000000004
2022-01-13,COALINDIA,EQ,159.35,159.35,166.45,159.0,164.55,164.75,164.41,20271714,333278272385000.0,146191,5950630,0.29350000000000004
2022-01-14,COALINDIA,EQ,164.75,164.75,166.15,163.25,164.8,164.75,164.6,10211720,168082309465000.0,64614,4799951,0.47000000000000003
2022-01-17,COALINDIA,EQ,164.75,165.6,166.1,162.05,163.6,163.7,163.54,8384625,137121187105000.0,60224,3305054,0.39420000000000005
2022-01-18,COALINDIA,EQ,163.7,164.0,165.5,160.3,160.8,160.8,162.82,6574122,107042900850000.0,59226,2572207,0.39130000000000004
2022-01-19,COALINDIA,EQ,160.8,161.0,164.85,160.8,163.65,163.9,163.34,11503199,187888160005000.0,70869,4727681,0.41100000000000003
2022-01-20,COALINDIA,EQ,163.9,164.5,168.25,163.85,165.0,165.05,166.37,17462235,290524087480000.0,117311,5207756,0.2982
2022-01-21,COALINDIA,EQ,165.05,163.3,163.3,157.5,158.95,158.75,159.64,14466758,230940225235000.0,92840,5927295,0.4097
2022-01-24,COALINDIA,EQ,158.75,158.2,160.4,154.8,156.55,156.3,157.44,10854431,170893127505000.0,77911,2257801,0.3769
2022-01-25,COALINDIA,EQ,156.3,155.0,161.6,154.3,161.0,161.15,159.14,7267866,115657478075000.0,61864,2776862,0.3821
2022-01-27,COALINDIA,EQ,161.15,158.9,161.3,158.0,161.0,160.55,159.93,9269062,148243941830000.0,65555,4393587,0.474
2022-01-28,COALINDIA,EQ,160.55,160.6,165.0,160.6,161.9,161.65,163.18,10310726,168247254315000.0,60063,4900402,0.4753
2022-01-31,COALINDIA,EQ,161.65,163.4,163.4,159.15,159.45,159.8,161.12,5811200,93630898745000.0,51570,2061412,0.3547
2022-02-01,COALINDIA,EQ,159.8,162.0,163.45,158.6,163.0,163.05,161.15,7248713,116814217175000.0,54077,2153487,0.29710000000000003
2022-02-02,COALINDIA,EQ,163.05,163.0,164.6,162.25,163.7,163.85,163.43,5369074,87747584130000.0,47969,1853276,0.34520000000000006
2022-02-03,COALINDIA,EQ,163.85,163.1,164.15,160.6,160.7,161.3,162.14,4654885,75472757780000.0,35032,1958876,0.4208
2022-02-04,COALINDIA,EQ,161.3,161.3,162.8,160.0,160.3,160.4,161.61,6402287,103470304020000.0,60377,2652200,0.4143
2022-02-07,COALINDIA,EQ,160.4,160.65,163.0,159.65,161.25,160.95,161.53,5871041,94835436120000.0,43333,1843734,0.314
2022-02-08,COALINDIA,EQ,160.95,161.85,162.5,158.35,159.75,159.95,159.9,14158927,226407687190000.0,58727,5984886,0.4227
2022-02-09,COALINDIA,EQ,159.95,160.5,169.35,160.0,168.95,168.6,167.14,35079516,586310278015000.0,177536,13292058,0.3789
2022-02-10,COALINDIA,EQ,168.6,169.0,170.3,165.0,168.15,168.05,167.86,17724098,297508418425000.0,104692,5393651,0.3043
2022-02-11,COALINDIA,EQ,168.05,167.95,169.3,165.2,166.85,166.5,167.01,10097767,168644848060000.0,68547,3750885,0.3715
2022-02-14,COALINDIA,EQ,166.5,166.1,166.25,161.15,161.7,161.65,163.44,9478670,154921035550000.0,82039,4243541,0.44770000000000004
2022-02-15,COALINDIA,EQ,161.65,162.75,164.85,159.85,164.15,163.65,162.53,16850616,273877210080000.03,98140,4603666,0.2732
2022-02-16,COALINDIA,EQ,163.65,165.25,166.0,162.8,163.85,163.85,164.09,10653203,174811032290000.0,53275,5203487,0.48840000000000006
2022-02-17,COALINDIA,EQ,163.85,164.7,165.5,162.7,162.9,163.05,163.96,6906440,113240540975000.0,46655,3034800,0.4394
2022-02-18,COALINDIA,EQ,163.05,163.0,168.25,162.6,167.3,167.3,166.77,23740696,395921906725000.0,114929,6866717,0.2892
2022-02-21,COALINDIA,EQ,167.3,163.15,163.5,159.85,161.1,161.2,161.12,14870901,239594814519999.97,91754,5051375,0.3397
2022-02-22,COALINDIA,EQ,161.2,159.5,160.65,155.5,160.0,159.9,157.85,11654816,183976701490000.0,91942,3855584,0.3308
2022-02-23,COALINDIA,EQ,159.9,160.35,162.3,158.2,159.0,158.5,160.11,7627472,122123010334999.98,58835,3216377,0.4217
2022-02-24,COALINDIA,EQ,158.5,154.0,156.8,149.0,151.0,150.0,153.07,12115340,185446789035000.0,101439,4847837,0.4001
2022-02-25,COALINDIA,EQ,150.0,152.25,164.9,152.25,163.3,163.45,159.74,17079977,272835832394999.97,111614,4251613,0.2489
2022-02-28,COALINDIA,EQ,163.45,162.45,169.95,160.55,169.2,169.55,166.72,20872239,347974821780000.0,129815,5814295,0.2786
2022-03-02,COALINDIA,EQ,169.55,171.0,185.65,171.0,184.0,184.8,180.8,72648396,1313502573215000.0,381469,22202903,0.3056
2022-03-03,COALINDIA,EQ,184.8,189.6,197.75,186.85,188.85,188.95,191.31,74050073,1416619619640000.0,359441,18769740,0.2535
2022-03-04,COALINDIA,EQ,188.95,188.95,191.0,180.5,181.7,181.0,184.96,36095156,667614240990000.0,197277,8609551,0.23850000000000002
2022-03-07,COALINDIA,EQ,181.0,185.95,192.0,181.7,188.6,188.7,186.51,41642776,776675713080000.0,243021,9889175,0.23750000000000002
2022-03-08,COALINDIA,EQ,188.7,189.0,191.7,186.6,188.55,189.15,189.21,22940456,434048060530000.0,150061,6625912,0.2888
2022-03-09,COALINDIA,EQ,189.15,190.0,190.6,185.6,186.8,186.65,188.26,13870658,261135370935000.0,90595,3193191,0.2302
2022-03-10,COALINDIA,EQ,186.65,184.0,184.0,177.05,179.65,178.95,179.14,30890343,553359929325000.0,161095,10482616,0.3393
2022-03-11,COALINDIA,EQ,178.95,181.0,182.5,179.25,181.9,181.75,181.22,14663558,265731802340000.0,106459,3135814,0.2139
2022-03-14,COALINDIA,EQ,181.75,181.0,182.15,177.85,179.8,180.35,179.91,8306420,149444832040000.0,62771,2077287,0.25010000000000004
2022-03-15,COALINDIA,EQ,180.35,179.9,180.0,171.5,172.75,172.9,175.19,14074860,246571071544999.97,105756,5131220,0.36460000000000004
2022-03-16,COALINDIA,EQ,172.9,173.0,177.8,172.9,176.3,176.9,175.6,11846738,208027718460000.0,67148,3127097,0.264
2022-03-17,COALINDIA,EQ,176.9,179.0,180.0,175.5,177.15,176.55,177.22,20052773,355368508385000.0,89168,9970810,0.4972
2022-03-21,COALINDIA,EQ,176.55,177.85,186.35,177.5,182.35,182.3,182.49,20271556,369942446345000.0,115017,4088944,0.20170000000000002
2022-03-22,COALINDIA,EQ,182.3,183.65,185.8,180.5,182.8,183.35,183.34,12372751,226840141865000.0,76044,2109424,0.1705
2022-03-23,COALINDIA,EQ,183.35,182.6,184.25,179.3,183.5,183.05,181.46,13731315,249168221560000.0,73127,4233232,0.30829999999999996
2022-03-24,COALINDIA,EQ,183.05,183.7,188.5,183.3,187.05,187.4,187.06,16323203,305348106185000.0,107452,3851814,0.23600000000000002
2022-03-25,COALINDIA,EQ,187.4,187.4,188.9,184.6,186.75,186.1,186.75,10044811,187583588705000.0,72742,3566332,0.355
2022-03-28,COALINDIA,EQ,186.1,186.1,193.7,185.5,191.15,191.25,190.96,19132062,365342392045000.0,120622,4541537,0.2374
2022-03-29,COALINDIA,EQ,191.25,192.0,192.2,185.5,186.15,186.0,186.9,10622472,198536116835000.0,79843,2930542,0.2759
2022-03-30,COALINDIA,EQ,186.0,187.95,187.95,182.0,182.35,182.9,184.8,10298319,190317204355000.0,77511,3785992,0.3676
2022-03-31,COALINDIA,EQ,182.9,184.15,184.9,181.65,183.05,183.05,183.15,9435203,172808744350000.0,53416,3972771,0.42110000000000003
2022-04-01,COALINDIA,EQ,183.05,183.8,187.25,183.3,186.0,186.15,185.97,13505929,251174617069999.97,80444,6617548,0.49
2022-04-04,COALINDIA,EQ,186.15,185.5,189.0,184.6,187.85,187.75,187.36,9490374,177810110475000.0,63379,3826903,0.4032
2022-04-05,COALINDIA,EQ,187.75,188.0,188.95,186.85,187.5,187.9,187.71,7637664,143368178695000.0,52218,3098042,0.4056
2022-04-06,COALINDIA,EQ,187.9,188.7,197.0,188.3,193.8,193.85,193.96,46157039,895272336640000.0,231491,17084099,0.3701
2022-04-07,COALINDIA,EQ,193.85,195.0,197.05,189.9,191.85,190.75,194.08,21712301,421388417575000.0,132520,6865386,0.31620000000000004
2022-04-08,COALINDIA,EQ,190.75,194.7,198.8,192.35,194.5,194.55,195.18,20151959,393320056740000.0,111802,3718517,0.1845
2022-04-11,COALINDIA,EQ,194.55,194.5,198.0,193.35,195.75,196.4,195.66,12393619,242499424330000.03,77519,3818151,0.3081
2022-04-12,COALINDIA,EQ,196.4,195.75,195.75,184.3,186.5,186.0,187.52,18907630,354553909945000.0,120639,4656173,0.2463
2022-04-13,COALINDIA,EQ,186.0,188.0,191.3,185.7,186.35,186.6,188.45,14216953,267920823994999.97,94414,3325125,0.2339
2022-04-18,COALINDIA,EQ,186.6,186.6,190.9,184.6,188.5,189.45,188.62,13052104,246191410140000.0,98951,3708020,0.2841
2022-04-19,COALINDIA,EQ,189.45,191.45,203.25,190.65,195.6,197.75,198.78,59341710,1179565785065000.0,277979,14955264,0.252
2022-04-20,COALINDIA,EQ,197.75,199.95,205.55,197.1,199.0,199.1,201.17,38356653,771632761445000.0,199503,7576986,0.1975
2022-04-21,COALINDIA,EQ,199.1,201.2,207.9,201.0,207.05,206.9,205.72,43683145,898657907075000.0,226257,9904543,0.2267
2022-04-22,COALINDIA,EQ,206.9,206.05,209.0,201.25,202.8,202.15,205.59,24007670,493568435420000.0,134681,6007470,0.2502
2022-04-25,COALINDIA,EQ,202.15,199.65,202.2,186.75,189.0,188.45,192.41,26465084,509223090789999.94,157180,7243425,0.2737
2022-04-26,COALINDIA,EQ,188.45,192.2,192.3,188.45,191.85,191.4,190.57,20819291,396757007875000.0,110814,5976681,0.2871
2022-04-27,COALINDIA,EQ,191.4,190.8,191.8,186.6,187.5,187.5,188.17,12214126,229829349280000.03,92701,4079796,0.334
2022-04-28,COALINDIA,EQ,187.5,189.0,192.5,187.15,192.15,190.25,189.14,12706800,240342501365000.0,80172,3316033,0.261
2022-04-29,COALINDIA,EQ,190.25,192.5,193.0,181.9,182.85,182.85,186.05,21654415,402881004390000.0,99811,9302778,0.42960000000000004
2022-05-02,COALINDIA,EQ,182.85,182.7,188.9,178.85,187.6,187.65,185.06,21289439,393975279290000.0,141535,3578436,0.1681
2022-05-04,COALINDIA,EQ,187.65,188.75,190.7,186.5,187.4,187.35,188.57,18239949,343957317000000.0,115341,4254646,0.23329999999999998
2022-05-05,COALINDIA,EQ,187.35,189.5,191.95,184.7,186.0,185.85,189.2,12651103,239356666050000.0,93872,3095916,0.2447
2022-05-06,COALINDIA,EQ,185.85,184.5,188.95,183.05,187.2,187.4,185.5,14257553,264479569790000.0,99454,2589011,0.1816
2022-05-09,COALINDIA,EQ,187.4,185.95,185.95,181.55,182.7,183.05,183.57,10549451,193655573810000.0,87185,3080933,0.292
2022-05-10,COALINDIA,EQ,183.05,182.0,183.85,168.8,169.25,170.05,175.63,19965511,350659710220000.0,129145,5856568,0.2933
2022-05-11,COALINDIA,EQ,170.05,171.7,173.7,165.25,171.0,169.85,169.8,20641617,350500326405000.0,125403,3296340,0.1597
2022-05-12,COALINDIA,EQ,169.85,167.85,170.2,164.65,167.6,167.05,166.78,10406343,173555592115000.0,83011,2692385,0.25870000000000004
2022-05-13,COALINDIA,EQ,167.05,170.0,173.65,168.0,168.75,168.7,171.07,11590435,198278973105000.0,101434,3267730,0.28190000000000004
2022-05-16,COALINDIA,EQ,168.7,169.5,172.8,167.85,172.25,171.7,171.49,7437937,127549579880000.0,58684,1608059,0.2162
2022-05-17,COALINDIA,EQ,171.7,173.4,185.0,173.15,184.8,184.55,180.9,28092052,508182730039999.94,154282,9000060,0.3204
2022-05-18,COALINDIA,EQ,184.55,186.35,187.5,181.8,185.3,185.55,185.32,15425248,285857999930000.0,114154,4054117,0.26280000000000003
2022-05-19,COALINDIA,EQ,185.55,181.1,183.5,180.7,181.6,181.2,181.91,9396007,170918691210000.0,71594,2778736,0.2957
2022-05-20,COALINDIA,EQ,181.2,184.5,186.85,183.55,185.9,185.95,185.58,6365038,118125355995000.0,49827,1319082,0.2072
2022-05-23,COALINDIA,EQ,185.95,185.95,186.75,182.4,184.3,184.3,184.46,7794071,143771780875000.0,58326,2228987,0.28600000000000003
2022-05-24,COALINDIA,EQ,184.3,183.45,186.75,181.2,182.35,182.35,183.45,8572565,157264590990000.0,64296,2231378,0.26030000000000003
2022-05-25,COALINDIA,EQ,182.35,184.2,185.55,180.05,180.75,180.7,181.91,7926434,144187178295000.0,54013,2181428,0.2752
2022-05-26,COALINDIA,EQ,180.7,183.95,186.0,177.75,183.8,183.25,181.59,23140556,420215697535000.0,150027,3088168,0.1335
2022-05-27,COALINDIA,EQ,183.25,184.5,188.65,180.5,182.0,181.85,183.87,16408080,301688281895000.0,102911,2930773,0.1786
2022-05-30,COALINDIA,EQ,181.85,184.0,187.9,182.55,186.8,187.2,185.81,10577525,196536615365000.0,66265,3081739,0.2913
2022-05-31,COALINDIA,EQ,187.2,186.0,195.25,185.2,193.35,192.9,191.96,21380248,410410895850000.0,128048,6375398,0.2982
2022-06-01,COALINDIA,EQ,192.9,194.5,197.3,193.2,196.8,196.05,195.79,30867456,604364122495000.0,100183,20485029,0.6636
2022-06-02,COALINDIA,EQ,196.05,196.5,199.2,194.3,197.6,198.2,197.91,17646759,349248366485000.0,112665,6793932,0.385
2022-06-03,COALINDIA,EQ,198.2,200.0,201.0,196.2,197.05,197.0,197.34,25335178,499969774755000.0,98466,17499820,0.6907
2022-06-06,COALINDIA,EQ,197.0,196.5,196.8,193.2,194.6,194.85,194.44,22020642,428172406970000.0,56812,15053614,0.6836
2022-06-07,COALINDIA,EQ,194.85,193.65,199.95,193.6,197.5,197.55,197.89,12961285,256493049369999.97,85588,3409047,0.263
2022-06-08,COALINDIA,EQ,197.55,198.0,201.95,196.5,197.8,197.65,199.51,13059792,260551132725000.0,98942,2833932,0.217
2022-06-09,COALINDIA,EQ,197.65,196.95,200.4,196.5,198.75,198.75,199.12,10562238,210310456420000.0,88247,3152933,0.29850000000000004
2022-06-10,COALINDIA,EQ,198.75,197.35,199.3,196.25,198.3,198.5,197.68,6741014,133257554309999.98,57851,1654148,0.2454
2022-06-13,COALINDIA,EQ,198.5,196.65,197.4,189.55,191.55,191.05,192.62,8516696,164052485945000.0,72164,2041919,0.2398
2022-06-14,COALINDIA,EQ,191.05,189.1,194.5,189.1,192.2,192.2,192.08,6727598,129221629070000.0,66990,1851774,0.27530000000000004
2022-06-15,COALINDIA,EQ,192.2,192.15,193.85,189.15,190.25,190.05,190.44,5805589,110561510370000.0,44970,2030892,0.3498
2022-06-16,COALINDIA,EQ,190.05,191.55,192.8,179.1,179.8,179.9,185.31,14490962,268525112630000.03,87619,6191514,0.42729999999999996
2022-06-17,COALINDIA,EQ,179.9,180.0,184.85,179.4,183.95,182.65,182.62,15215695,277865426594999.97,83416,5813256,0.3821
2022-06-20,COALINDIA,EQ,182.65,181.9,181.9,174.75,178.0,176.85,177.9,23276003,414088226965000.0,79840,12672932,0.5445000000000001
2022-06-21,COALINDIA,EQ,176.85,178.0,185.65,178.0,185.15,184.8,182.38,7564329,137959470795000.0,47069,1602557,0.2119
2022-06-22,COALINDIA,EQ,184.8,184.75,184.75,179.0,179.5,179.35,181.51,6560404,119078852695000.0,66391,1691212,0.25780000000000003
2022-06-23,COALINDIA,EQ,179.35,180.3,182.0,174.85,177.35,177.15,177.86,9304799,165494501735000.0,76522,1576101,0.2339
2022-06-24,COALINDIA,EQ,177.15,178.65,180.4,174.8,176.75,176.55,177.11,8171322,144718222200000.0,60334,1852419,0.2267
2022-06-27,COALINDIA,EQ,176.55,180.0,182.8,177.45,182.1,182.05,180.75,7063839,127680008250000.0,57375,1842322,0.2608
2022-06-28,COALINDIA,EQ,182.05,181.15,186.95,180.75,186.75,186.4,184.08,9844211,181210415135000.0,78300,2630391,0.2672
2022-06-29,COALINDIA,EQ,186.4,186.0,190.25,183.65,188.4,188.75,187.49,16856241,316031615715000.0,85535,6586519,0.3907
2022-06-30,COALINDIA,EQ,188.75,188.1,189.0,182.55,184.2,185.6,185.55,8693744,161311360025000.0,71887,2520320,0.2899
2022-07-01,COALINDIA,EQ,185.6,185.0,186.15,176.6,183.2,183.25,181.61,17248729,313252820950000.0,117619,5810899,0.3369
2022-07-04,COALINDIA,EQ,183.25,183.25,185.7,179.1,182.05,182.05,181.58,8780396,159438753785000.0,65449,2956039,0.3367
2022-07-05,COALINDIA,EQ,182.05,183.0,185.2,181.75,182.5,182.45,183.69,5313753,97607970840000.0,48077,963001,0.1812
2022-07-06,COALINDIA,EQ,182.45,182.5,182.85,178.0,181.65,181.7,179.85,9367397,168470831230000.0,66357,2010080,0.2146
2022-07-07,COALINDIA,EQ,181.7,183.95,186.6,181.45,186.0,186.0,183.99,6322630,116330775180000.0,43184,1507498,0.2384
2022-07-08,COALINDIA,EQ,186.0,187.05,191.9,187.05,189.5,189.8,189.68,14647592,277834673360000.0,94607,3151293,0.2151
