Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,DIVISLAB,EQ,4678.2,4689.0,4708.75,4642.0,4649.0,4651.25,4660.71,203444,94819369360000.0,25282,94367,0.46380000000000005
2022-01-04,DIVISLAB,EQ,4651.25,4652.1,4679.95,4609.0,4625.5,4621.7,4627.9,259508,120097663805000.0,29793,135552,0.5223
2022-01-05,DIVISLAB,EQ,4621.7,4619.9,4630.2,4542.0,4557.95,4558.45,4573.36,510511,233475023435000.0,43527,353605,0.6926000000000001
2022-01-06,DIVISLAB,EQ,4558.45,4535.0,4557.0,4470.0,4495.0,4489.15,4499.66,447726,201461533145000.0,57347,275828,0.6161
2022-01-07,DIVISLAB,EQ,4489.15,4500.0,4549.8,4470.5,4519.5,4516.7,4516.13,269479,121700131765000.02,32815,130959,0.48600000000000004
2022-01-10,DIVISLAB,EQ,4516.7,4520.0,4534.55,4462.2,4477.0,4465.8,4483.32,361423,162037413675000.0,40015,240065,0.6642
2022-01-11,DIVISLAB,EQ,4465.8,4475.0,4539.85,4434.25,4516.5,4516.55,4517.03,476123,215066039319999.97,48274,235127,0.4938
2022-01-12,DIVISLAB,EQ,4516.55,4531.05,4538.0,4467.05,4493.0,4492.9,4495.99,496883,223397869605000.03,47786,309817,0.6235
2022-01-13,DIVISLAB,EQ,4492.9,4493.0,4619.15,4466.0,4589.0,4590.05,4564.43,646137,294924715680000.0,66594,288459,0.4464
2022-01-14,DIVISLAB,EQ,4590.05,4590.0,4636.0,4559.0,4615.3,4616.6,4612.39,399974,184483699015000.0,34987,206259,0.5157
2022-01-17,DIVISLAB,EQ,4616.6,4615.0,4668.0,4561.0,4623.0,4630.35,4631.73,315394,146081997525000.0,27582,133504,0.4233
2022-01-18,DIVISLAB,EQ,4630.35,4635.0,4640.35,4512.05,4531.0,4527.15,4562.73,340707,155455412405000.0,33199,165612,0.48610000000000003
2022-01-19,DIVISLAB,EQ,4527.15,4550.0,4550.0,4465.0,4479.45,4481.5,4487.75,365211,163897724825000.0,36235,188643,0.5165
2022-01-20,DIVISLAB,EQ,4481.5,4496.0,4496.0,4312.0,4350.1,4329.75,4370.69,805433,352030074575000.0,82925,476588,0.5917
2022-01-21,DIVISLAB,EQ,4329.75,4328.3,4328.3,4137.8,4189.0,4179.4,4201.52,1172704,492714417539999.94,118655,741171,0.632
