Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,DRREDDY,EQ,4907.0,4907.0,4930.3,4847.7,4857.0,4853.15,4872.8,292601,142578679115000.0,31353,118577,0.4053
2022-01-04,DRREDDY,EQ,4853.15,4861.0,4892.9,4825.0,4839.0,4835.45,4848.58,253438,122881401720000.0,40265,125218,0.4941
2022-01-05,DRREDDY,EQ,4835.45,4880.0,4904.6,4757.05,4790.0,4790.4,4819.5,536802,258711783560000.0,51862,183129,0.3411
2022-01-06,DRREDDY,EQ,4790.4,4790.4,4836.05,4728.3,4733.95,4739.45,4764.57,381643,181836303855000.0,35851,126192,0.3307
2022-01-07,DRREDDY,EQ,4739.45,4769.45,4769.45,4690.0,4706.5,4708.4,4721.36,267123,126118507875000.0,34280,92235,0.3453
2022-01-10,DRREDDY,EQ,4708.4,4728.4,4728.4,4655.15,4697.6,4699.05,4686.91,315019,147646565120000.0,28301,174183,0.5529000000000001
2022-01-11,DRREDDY,EQ,4699.05,4710.0,4739.9,4660.55,4665.0,4669.25,4692.93,309432,145214404780000.0,46460,158914,0.5136000000000001
2022-01-12,DRREDDY,EQ,4669.25,4680.0,4703.3,4634.0,4688.0,4693.4,4673.02,237769,111109942370000.0,29501,104664,0.44020000000000004
2022-01-13,DRREDDY,EQ,4693.4,4700.0,4759.6,4684.6,4732.25,4725.95,4729.67,454051,214751303630000.03,46876,230690,0.5081
2022-01-14,DRREDDY,EQ,4725.95,4720.2,4723.0,4660.55,4685.95,4689.2,4688.82,318860,149507643295000.0,27039,156164,0.48979999999999996
2022-01-17,DRREDDY,EQ,4689.2,4665.5,4699.95,4605.5,4666.4,4672.4,4660.49,538649,251036815769999.97,30373,322276,0.5982999999999999
2022-01-18,DRREDDY,EQ,4672.4,4670.0,4724.45,4621.0,4691.25,4693.55,4679.88,424528,198674212415000.0,35714,222674,0.5245000000000001
2022-01-19,DRREDDY,EQ,4693.55,4695.0,4734.4,4654.95,4677.0,4684.95,4688.51,307887,144353007115000.0,30153,135529,0.44020000000000004
2022-01-20,DRREDDY,EQ,4684.95,4712.0,4712.0,4570.0,4597.1,4591.55,4608.08,317739,146416561725000.0,40089,117005,0.3682
2022-01-21,DRREDDY,EQ,4591.55,4561.25,4570.0,4435.0,4501.5,4496.15,4495.93,557548,250669580880000.03,76363,283610,0.5086999999999999
2022-01-24,DRREDDY,EQ,4496.15,4486.1,4489.8,4311.0,4350.2,4364.35,4388.32,556498,244209243550000.0,62200,159233,0.5287
2022-01-25,DRREDDY,EQ,4364.35,4364.35,4418.95,4301.0,4417.0,4402.85,4372.66,340902,149064938505000.0,42258,170978,0.5015
2022-01-27,DRREDDY,EQ,4402.85,4340.0,4365.15,4232.0,4254.0,4256.35,4286.65,705506,302425479065000.0,82990,356171,0.5048
2022-01-28,DRREDDY,EQ,4256.35,4248.8,4380.0,4175.45,4225.0,4218.6,4286.68,1302984,558548081080000.0,110193,377315,0.2896
2022-01-31,DRREDDY,EQ,4218.6,4249.95,4368.6,4240.05,4296.7,4302.8,4321.78,618555,267326085350000.0,50488,265967,0.43
2022-02-01,DRREDDY,EQ,4302.8,4320.0,4326.4,4258.0,4312.1,4309.45,4293.76,371663,159583294265000.0,40851,165410,0.4451
2022-02-02,DRREDDY,EQ,4309.45,4325.0,4429.75,4315.1,4418.15,4415.35,4378.33,305001,133539515475000.0,30649,139923,0.45880000000000004
