Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,EICHERMOT,EQ,2591.9,2620.1,2733.6,2620.1,2712.5,2718.8,2704.01,2457647,664551415500000.0,133846,724178,0.2947
2022-01-04,EICHERMOT,EQ,2718.8,2715.0,2724.9,2685.5,2702.2,2705.0,2706.58,736616,199370829400000.0,46337,292008,0.39640000000000003
2022-01-05,EICHERMOT,EQ,2705.0,2691.0,2790.0,2691.0,2773.65,2778.6,2755.14,1040082,286557141715000.0,60948,464153,0.44630000000000003
2022-01-06,EICHERMOT,EQ,2778.6,2748.0,2828.45,2720.0,2812.6,2817.15,2782.7,1056323,293943009550000.0,53261,386671,0.3661
2022-01-07,EICHERMOT,EQ,2817.15,2825.0,2833.6,2784.75,2818.75,2824.4,2812.99,572036,160913185135000.0,41131,226844,0.39659999999999995
2022-01-10,EICHERMOT,EQ,2824.4,2820.05,2851.0,2798.75,2812.8,2815.5,2826.4,493242,139409704025000.0,35766,204238,0.41409999999999997
2022-01-11,EICHERMOT,EQ,2815.5,2814.0,2829.0,2781.4,2791.15,2794.35,2803.01,334700,93816869505000.0,34425,142690,0.4263
2022-01-12,EICHERMOT,EQ,2794.35,2802.0,2828.9,2790.05,2809.95,2815.9,2812.77,440995,124041760315000.02,40343,162114,0.3676
2022-01-13,EICHERMOT,EQ,2815.9,2810.15,2838.0,2794.5,2831.25,2832.7,2818.63,266122,75009831100000.0,34989,103212,0.38780000000000003
2022-01-14,EICHERMOT,EQ,2832.7,2838.0,2845.0,2798.75,2814.7,2819.7,2818.69,324014,91329413395000.0,20981,137628,0.42479999999999996
2022-01-17,EICHERMOT,EQ,2819.7,2804.0,2880.0,2804.0,2840.0,2844.3,2851.09,680219,193936283475000.0,42793,274867,0.40409999999999996
2022-01-18,EICHERMOT,EQ,2844.3,2859.3,2859.3,2725.0,2740.0,2736.25,2755.51,1221493,336583220035000.0,94064,485408,0.39740000000000003
2022-01-19,EICHERMOT,EQ,2736.25,2736.25,2746.8,2685.45,2722.95,2718.7,2721.94,769880,209557035860000.0,45945,294164,0.3821
2022-01-20,EICHERMOT,EQ,2718.7,2725.0,2756.0,2712.1,2735.0,2733.8,2735.31,521734,142710448875000.0,42150,195915,0.3755
2022-01-21,EICHERMOT,EQ,2733.8,2723.5,2754.0,2668.2,2710.0,2711.1,2720.51,459191,124923251775000.0,32207,128185,0.2792
2022-01-24,EICHERMOT,EQ,2711.1,2695.2,2729.15,2621.5,2653.0,2656.4,2666.4,465912,124230989225000.0,37339,222291,0.44920000000000004
2022-01-25,EICHERMOT,EQ,2656.4,2622.1,2708.95,2593.65,2687.7,2692.0,2677.89,687092,183995382345000.0,42181,325783,0.47409999999999997
2022-01-27,EICHERMOT,EQ,2692.0,2690.0,2690.0,2570.25,2660.0,2643.85,2612.25,985827,257522629030000.03,54669,463082,0.4697
2022-01-28,EICHERMOT,EQ,2643.85,2655.2,2747.0,2598.9,2618.0,2610.95,2669.26,871638,232662565850000.0,56178,294997,0.33840000000000003
2022-01-31,EICHERMOT,EQ,2610.95,2644.9,2681.0,2632.9,2639.0,2645.5,2655.35,416447,110581184795000.0,37240,170471,0.4093
2022-02-01,EICHERMOT,EQ,2645.5,2658.7,2684.5,2596.65,2615.1,2622.2,2645.59,671852,177744566325000.0,40161,203554,0.303
