Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,GRASIM,EQ,1622.25,1629.75,1666.85,1617.0,1666.0,1661.6,1642.42,626473,102893070235000.0,26503,195916,0.3127
2022-01-04,GRASIM,EQ,1661.6,1671.0,1696.5,1658.0,1692.0,1692.0,1678.54,891638,149665043960000.0,31882,324943,0.3644
2022-01-05,GRASIM,EQ,1692.0,1685.0,1753.1,1684.0,1743.8,1747.05,1725.84,1764235,304479321440000.0,44197,850686,0.4822
2022-01-06,GRASIM,EQ,1747.05,1746.1,1746.1,1710.6,1720.0,1720.55,1724.84,1154118,199066683815000.0,35448,695364,0.6025
2022-01-07,GRASIM,EQ,1720.55,1722.0,1807.0,1722.0,1799.95,1797.65,1783.58,2894295,516221522405000.0,89878,661287,0.2285
2022-01-10,GRASIM,EQ,1797.65,1810.0,1845.0,1793.6,1834.15,1838.85,1823.18,1462664,266670198640000.0,47721,642544,0.4393
2022-01-11,GRASIM,EQ,1838.85,1834.15,1871.0,1821.0,1850.2,1846.9,1849.49,1410909,260945956130000.03,66732,487874,0.3458
2022-01-12,GRASIM,EQ,1846.9,1857.95,1877.45,1845.0,1871.9,1874.0,1864.69,698473,130243826215000.02,34685,224492,0.3214
2022-01-13,GRASIM,EQ,1874.0,1880.0,1883.0,1850.0,1852.35,1856.85,1863.23,841198,156734551440000.0,50908,427719,0.5085000000000001
2022-01-14,GRASIM,EQ,1856.85,1859.9,1867.75,1832.35,1855.0,1857.3,1851.39,1234583,228569626285000.0,65544,652012,0.5281
2022-01-17,GRASIM,EQ,1857.3,1857.3,1929.0,1846.0,1922.0,1918.7,1894.35,1251260,237032941865000.0,52782,349870,0.2796
2022-01-18,GRASIM,EQ,1918.7,1927.95,1929.8,1842.7,1849.3,1852.25,1884.79,941752,177500323920000.0,47441,241184,0.2561
2022-01-19,GRASIM,EQ,1852.25,1845.0,1863.9,1796.3,1808.45,1806.5,1820.51,806090,146749374590000.0,35066,180197,0.22350000000000003
2022-01-20,GRASIM,EQ,1806.5,1817.0,1836.75,1813.6,1836.5,1831.0,1827.61,713340,130370623284999.98,43596,198343,0.278
2022-01-21,GRASIM,EQ,1831.0,1829.0,1829.0,1779.0,1794.4,1792.1,1796.63,524966,94316934065000.0,30681,114296,0.2177
2022-01-24,GRASIM,EQ,1792.1,1791.8,1791.8,1684.0,1688.0,1690.7,1728.58,1018776,176103846830000.0,49295,248990,0.3575
2022-01-25,GRASIM,EQ,1690.7,1668.6,1726.2,1658.05,1724.5,1721.3,1703.5,834681,142187501570000.0,43824,306807,0.3676
2022-01-27,GRASIM,EQ,1721.3,1697.1,1700.0,1660.1,1691.4,1687.05,1682.22,814635,137039426615000.02,70614,378907,0.4651
