Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,HCLTECH,EQ,1319.1,1316.35,1339.9,1314.1,1324.0,1326.15,1328.98,2661272,353678404425000.0,108928,1392322,0.5232
2022-01-04,HCLTECH,EQ,1326.15,1329.5,1336.7,1307.25,1335.5,1333.45,1324.18,3367100,445863609710000.06,115098,1706702,0.5069
2022-01-05,HCLTECH,EQ,1333.45,1329.0,1330.0,1302.0,1311.35,1310.75,1310.08,3510253,459871030610000.06,150826,1887370,0.5377000000000001
2022-01-06,HCLTECH,EQ,1310.75,1290.0,1297.8,1277.0,1286.9,1284.9,1284.53,4409632,566429056350000.0,126001,2788037,0.6323
2022-01-07,HCLTECH,EQ,1284.9,1297.55,1298.5,1282.2,1289.0,1290.55,1290.34,3898684,503061440450000.0,110043,2491086,0.639
2022-01-10,HCLTECH,EQ,1290.55,1304.85,1304.85,1280.0,1290.0,1288.1,1289.91,2529949,326341564010000.0,87323,1474383,0.5828
2022-01-11,HCLTECH,EQ,1288.1,1288.65,1348.0,1280.0,1346.0,1343.65,1330.01,6772189,900705176090000.0,223289,3182227,0.46990000000000004
2022-01-12,HCLTECH,EQ,1343.65,1354.0,1357.1,1331.4,1348.45,1352.15,1347.69,3162044,426144130045000.0,133426,1524503,0.48210000000000003
2022-01-13,HCLTECH,EQ,1352.15,1340.0,1359.4,1321.15,1327.0,1334.25,1341.95,4598005,617028879245000.0,190827,2014879,0.43820000000000003
2022-01-14,HCLTECH,EQ,1334.25,1320.0,1342.95,1293.0,1330.0,1337.2,1317.46,5636243,742554784010000.0,175711,2031569,0.3604
2022-01-17,HCLTECH,EQ,1337.2,1273.0,1273.0,1243.4,1260.55,1258.75,1260.4,11973283,1509111627170000.0,454426,5247421,0.43829999999999997
2022-01-18,HCLTECH,EQ,1258.75,1269.95,1269.95,1217.0,1220.1,1219.75,1238.78,7799487,966187415185000.0,312619,4266208,0.547
2022-01-19,HCLTECH,EQ,1219.75,1220.0,1220.5,1191.0,1201.75,1199.2,1200.23,8464215,1015897174365000.0,282454,6033376,0.7128
2022-01-20,HCLTECH,EQ,1199.2,1200.0,1201.4,1170.0,1175.0,1175.35,1179.3,6172404,727912204980000.0,254903,3789927,0.614
2022-01-21,HCLTECH,EQ,1175.35,1175.35,1179.85,1155.0,1169.0,1167.95,1167.54,5514748,643870540780000.0,193527,2966664,0.538
2022-01-24,HCLTECH,EQ,1167.95,1162.5,1164.5,1111.0,1122.8,1124.9,1134.94,5878438,667170035995000.0,247857,1895506,0.4819
2022-01-25,HCLTECH,EQ,1124.9,1115.0,1139.65,1088.4,1124.0,1123.7,1122.2,4725254,530269712039999.94,211750,2411120,0.5103
2022-01-27,HCLTECH,EQ,1123.7,1115.0,1115.95,1070.2,1079.55,1077.75,1083.76,8304735,900037538185000.0,311621,5070305,0.6104999999999999
2022-01-28,HCLTECH,EQ,1077.75,1079.0,1102.2,1077.25,1080.9,1080.45,1090.26,7654724,834567434705000.0,333051,4680638,0.6115
2022-01-31,HCLTECH,EQ,1080.45,1100.65,1113.95,1092.85,1099.7,1099.4,1101.3,7572995,834011574760000.0,166985,4760907,0.6287
2022-02-01,HCLTECH,EQ,1099.4,1116.7,1136.5,1101.25,1134.8,1132.8,1119.9,6783774,759714926915000.0,146913,4309693,0.6353
2022-02-02,HCLTECH,EQ,1132.8,1142.9,1173.85,1133.3,1172.5,1170.95,1161.55,6982539,811056426165000.0,148087,4472371,0.6405
2022-02-03,HCLTECH,EQ,1170.95,1162.0,1170.85,1151.0,1158.05,1156.75,1163.3,4169794,485073885835000.06,94552,2386842,0.5724
2022-02-04,HCLTECH,EQ,1156.75,1160.0,1167.1,1137.35,1163.5,1163.8,1159.13,3625482,420241018695000.0,108136,1977007,0.5453
2022-02-07,HCLTECH,EQ,1163.8,1157.0,1171.35,1146.0,1158.95,1157.35,1158.49,3824483,443062949505000.0,102739,2329668,0.6091
2022-02-08,HCLTECH,EQ,1157.35,1158.95,1169.85,1148.55,1161.9,1161.95,1159.92,3267641,379018853605000.0,98059,2081413,0.637
2022-02-09,HCLTECH,EQ,1161.95,1172.0,1189.0,1166.0,1179.0,1180.9,1183.92,3772972,446688284535000.06,111046,2220882,0.5886
2022-02-10,HCLTECH,EQ,1180.9,1184.95,1191.9,1174.1,1190.15,1190.35,1184.45,2053245,243197291735000.0,106669,1202738,0.5858
2022-02-11,HCLTECH,EQ,1190.35,1179.0,1179.0,1158.05,1161.95,1163.7,1165.77,3912397,456095112000000.0,108734,2714179,0.6937000000000001
2022-02-14,HCLTECH,EQ,1163.7,1135.35,1164.35,1133.6,1141.05,1146.45,1151.96,3243813,373675279050000.0,86827,1775136,0.5472
