Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,HDFC,EQ,2586.45,2594.0,2640.0,2587.1,2639.15,2636.4,2619.11,1256497,329090554025000.0,61114,739971,0.5889
2022-01-04,HDFC,EQ,2636.4,2645.0,2678.7,2620.35,2675.0,2675.3,2653.67,1846249,489933973810000.06,111237,1166780,0.632
2022-01-05,HDFC,EQ,2675.3,2680.95,2695.45,2652.3,2672.0,2673.65,2675.9,3743882,1001825255410000.0,163505,2869846,0.7665000000000001
2022-01-06,HDFC,EQ,2673.65,2646.35,2654.75,2603.5,2619.0,2620.4,2622.02,4616700,1210510075035000.0,98787,3115311,0.6748000000000001
2022-01-07,HDFC,EQ,2620.4,2606.05,2618.3,2585.0,2598.05,2596.7,2596.17,6185361,1605823779515000.0,169829,4418785,0.7144
2022-01-10,HDFC,EQ,2596.7,2601.9,2665.05,2601.9,2660.0,2659.65,2626.32,5328083,1399325996295000.0,110165,3500769,0.657
2022-01-11,HDFC,EQ,2659.65,2664.0,2729.0,2664.0,2707.65,2710.95,2701.56,4170007,1126554369720000.0,167338,2634998,0.6319
2022-01-12,HDFC,EQ,2710.95,2736.0,2752.0,2713.05,2735.0,2737.5,2735.3,2695634,737336787705000.0,111173,1913614,0.7099
2022-01-13,HDFC,EQ,2737.5,2750.0,2762.0,2726.1,2757.3,2756.0,2746.92,2011413,552518351280000.0,115235,1408990,0.7005
2022-01-14,HDFC,EQ,2756.0,2712.0,2731.6,2687.3,2710.95,2712.45,2709.0,1765906,478384033530000.0,102510,976258,0.5528000000000001
2022-01-17,HDFC,EQ,2712.45,2710.6,2733.1,2692.5,2697.1,2702.7,2706.76,1614989,437138543180000.0,97244,1110783,0.6878000000000001
2022-01-18,HDFC,EQ,2702.7,2713.0,2713.55,2656.8,2661.0,2662.5,2681.35,2086266,559400254414999.94,142910,1487266,0.7129000000000001
2022-01-19,HDFC,EQ,2662.5,2681.0,2698.85,2608.1,2617.2,2620.25,2627.64,1793748,471332673055000.0,160027,1128754,0.6293
2022-01-20,HDFC,EQ,2620.25,2612.65,2630.0,2543.4,2571.0,2569.3,2572.45,3759429,967095309450000.0,189896,2730671,0.7264
2022-01-21,HDFC,EQ,2569.3,2553.5,2605.35,2542.05,2599.8,2592.95,2577.62,3952946,1018920440115000.0,160605,2391290,0.6049
2022-01-24,HDFC,EQ,2592.95,2571.65,2601.8,2510.35,2528.0,2539.8,2553.94,2340062,597636804935000.0,146189,2509724,0.6722
2022-01-25,HDFC,EQ,2539.8,2500.0,2540.7,2473.8,2530.1,2530.6,2506.36,4528568,1135022697090000.0,203027,3024180,0.6678000000000001
2022-01-27,HDFC,EQ,2530.6,2505.6,2514.0,2448.6,2510.5,2503.35,2480.25,6600059,1636977402120000.0,230610,4607609,0.6981
2022-01-28,HDFC,EQ,2503.35,2513.7,2556.8,2488.7,2513.1,2516.5,2532.79,4885166,1237308720335000.0,151434,3409861,0.698
2022-01-31,HDFC,EQ,2516.5,2541.8,2561.4,2513.15,2518.0,2521.0,2531.03,3306726,836940917000000.0,130516,2203648,0.6664
2022-02-01,HDFC,EQ,2521.0,2552.6,2596.0,2510.3,2569.9,2565.35,2566.28,2980741,764942932275000.0,135735,1580517,0.5302
2022-02-02,HDFC,EQ,2565.35,2583.2,2623.3,2580.7,2617.0,2612.95,2601.77,4160178,1082381342765000.0,159412,2272531,0.5463
2022-02-03,HDFC,EQ,2612.95,2613.0,2620.0,2520.0,2521.5,2527.8,2545.51,4647089,1182921474990000.0,243196,2714821,0.5842
2022-02-04,HDFC,EQ,2527.8,2546.5,2547.0,2497.0,2502.0,2503.25,2514.21,4404184,1107305637345000.1,239694,3052324,0.6931
2022-02-07,HDFC,EQ,2503.25,2488.5,2512.1,2420.0,2426.7,2428.15,2450.97,3664108,898061366650000.0,200599,2345861,0.6402
2022-02-08,HDFC,EQ,2428.15,2441.0,2452.0,2405.0,2410.95,2414.6,2419.05,6127473,1482265969670000.0,226531,4491186,0.733
2022-02-09,HDFC,EQ,2414.6,2432.0,2442.5,2402.5,2440.4,2435.35,2420.78,7141774,1728869474625000.0,215047,5527426,0.774
2022-02-10,HDFC,EQ,2435.35,2462.0,2505.7,2441.6,2472.0,2476.55,2475.77,6346218,1571179790385000.0,277489,4321538,0.6809999999999999
2022-02-11,HDFC,EQ,2476.55,2449.95,2449.95,2417.1,2422.0,2426.35,2430.18,4062444,987248853454999.9,196048,2706316,0.6662
2022-02-14,HDFC,EQ,2426.35,2390.0,2390.0,2290.0,2290.9,2296.8,2325.68,5903697,1373008488455000.0,329805,3911777,0.6626000000000001
2022-02-15,HDFC,EQ,2296.8,2319.75,2345.0,2286.85,2340.9,2340.25,2317.83,9153706,2121669728615000.2,224575,6532710,0.7137000000000001
2022-02-16,HDFC,EQ,2340.25,2341.0,2403.85,2341.0,2362.05,2363.85,2373.0,8005225,1899643753684999.8,169860,5235269,0.654
2022-02-17,HDFC,EQ,2363.85,2389.95,2426.0,2361.8,2407.9,2411.8,2404.61,5317679,1278696435550000.0,136513,3289409,0.6186
2022-02-18,HDFC,EQ,2411.8,2411.8,2451.0,2402.4,2437.2,2441.15,2435.31,3725963,907387446370000.1,152533,2369826,0.636
2022-02-21,HDFC,EQ,2441.15,2424.95,2447.65,2410.0,2438.9,2436.8,2432.59,2979739,724847330350000.0,135348,2000649,0.6714
2022-02-22,HDFC,EQ,2436.8,2385.1,2462.25,2373.15,2450.85,2453.95,2423.81,4604370,1116014005660000.0,196868,3241311,0.7040000000000001
2022-02-23,HDFC,EQ,2453.95,2471.8,2479.45,2428.3,2440.0,2437.05,2458.15,3044306,748334930040000.0,198247,2210594,0.7261
2022-02-24,HDFC,EQ,2437.05,2367.0,2401.0,2331.0,2338.45,2343.05,2373.18,5058230,1200407991535000.0,218835,3489912,0.6899
2022-02-25,HDFC,EQ,2343.05,2380.9,2417.1,2370.05,2400.0,2401.35,2401.04,2731176,655766518460000.0,144984,1697749,0.6215999999999999
2022-02-28,HDFC,EQ,2401.35,2375.0,2402.8,2333.0,2361.85,2364.5,2363.86,8366630,1977754073734999.8,174652,6103802,0.7295
2022-03-02,HDFC,EQ,2364.5,2321.5,2321.5,2259.45,2286.2,2278.1,2285.82,8890970,2032312754045000.0,304770,6560376,0.7379000000000001
2022-03-03,HDFC,EQ,2278.1,2280.0,2306.55,2262.25,2276.15,2273.0,2280.23,6191711,1411851662860000.0,147832,4751451,0.7674
2022-03-04,HDFC,EQ,2273.0,2250.3,2263.0,2203.0,2219.0,2217.5,2233.38,4537882,1013479881060000.0,232910,2964808,0.6533
2022-03-07,HDFC,EQ,2217.5,2139.4,2154.9,2098.2,2128.0,2121.95,2127.95,7675627,1633333583575000.0,298979,5517156,0.7188
2022-03-08,HDFC,EQ,2121.95,2106.0,2161.95,2046.0,2156.85,2151.7,2101.3,9024183,1896254905470000.0,317335,5645915,0.6256
2022-03-09,HDFC,EQ,2151.7,2151.7,2216.0,2120.35,2199.4,2194.4,2180.0,6114047,1332862789075000.0,248506,3911587,0.6398
2022-03-10,HDFC,EQ,2194.4,2287.0,2287.0,2206.65,2232.55,2237.95,2249.72,4183914,941262544295000.1,190372,2440350,0.5833
2022-03-11,HDFC,EQ,2237.95,2216.0,2259.85,2189.9,2232.0,2230.0,2233.07,2532517,565527765885000.0,112353,1356871,0.5357999999999999
