Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,HDFCLIFE,EQ,649.55,654.0,654.65,646.3,650.75,650.5,649.42,1892087,122875626265000.02,55428,1310613,0.6927
2022-01-04,HDFCLIFE,EQ,650.5,652.4,655.0,649.05,652.5,653.15,651.49,2293391,149412420375000.0,60003,1681713,0.7333
2022-01-05,HDFCLIFE,EQ,653.15,655.0,658.25,650.65,654.5,653.55,653.89,3326875,217540941219999.97,66032,2111806,0.6348
2022-01-06,HDFCLIFE,EQ,653.55,651.0,651.95,644.9,647.0,646.9,647.11,2548339,164905757230000.0,56617,1915969,0.7519
2022-01-07,HDFCLIFE,EQ,646.9,647.0,662.95,646.0,662.0,660.3,654.29,2168995,141914540570000.0,50615,1195927,0.5514
2022-01-10,HDFCLIFE,EQ,660.3,666.0,669.7,660.0,663.0,662.95,664.8,1480419,98417632170000.0,43338,735792,0.49700000000000005
2022-01-11,HDFCLIFE,EQ,662.95,662.95,665.9,656.25,658.0,658.15,658.8,1484964,97829721560000.0,57721,947397,0.638
2022-01-12,HDFCLIFE,EQ,658.15,658.3,674.25,658.3,671.05,673.25,667.7,2091488,139649296090000.02,61456,1225692,0.5860000000000001
2022-01-13,HDFCLIFE,EQ,673.25,673.9,676.4,668.4,670.0,670.35,671.91,1807858,121471333695000.0,54194,1157680,0.6404000000000001
2022-01-14,HDFCLIFE,EQ,670.35,668.0,674.85,666.2,670.5,671.45,671.28,1292789,86781890885000.0,49707,819927,0.6342
2022-01-17,HDFCLIFE,EQ,671.45,671.0,675.55,668.0,674.0,674.15,673.24,1255654,84535186700000.0,43247,744554,0.593
2022-01-18,HDFCLIFE,EQ,674.15,678.0,678.8,666.75,667.45,669.1,672.05,979679,65838967340000.0,38975,476123,0.48600000000000004
2022-01-19,HDFCLIFE,EQ,669.1,665.0,667.4,652.25,656.4,656.05,657.43,1945857,127925549575000.0,59771,1153453,0.5928
2022-01-20,HDFCLIFE,EQ,656.05,654.6,660.6,647.55,649.45,649.45,652.48,1429228,93254032040000.0,65301,858543,0.6007
2022-01-21,HDFCLIFE,EQ,649.45,645.0,646.95,633.35,643.25,641.45,638.82,2963518,189316747455000.0,76226,1419636,0.479
2022-01-24,HDFCLIFE,EQ,641.45,639.85,639.85,619.1,628.5,627.6,626.82,2628472,164758704315000.0,98503,873658,0.5851
2022-01-25,HDFCLIFE,EQ,627.6,627.2,633.5,617.0,630.0,630.8,627.8,1827902,114756390640000.02,88927,1100706,0.6022
2022-01-27,HDFCLIFE,EQ,630.8,625.8,625.9,617.15,620.65,621.5,621.42,1914985,119000990525000.0,70211,1023646,0.5345000000000001
2022-01-28,HDFCLIFE,EQ,621.5,621.35,632.9,619.05,621.4,620.45,626.53,1317526,82546327220000.0,41582,687036,0.5215
2022-01-31,HDFCLIFE,EQ,620.45,625.5,627.5,615.45,623.1,622.45,621.8,4374943,272035061290000.0,88099,3086135,0.7054
2022-02-01,HDFCLIFE,EQ,622.45,626.25,638.55,617.6,625.75,623.9,630.08,4159628,262087779285000.0,99344,1909822,0.45909999999999995
2022-02-02,HDFCLIFE,EQ,623.9,624.1,645.8,624.1,644.0,644.15,638.34,2989002,190801231040000.0,75500,1598398,0.5347999999999999
2022-02-03,HDFCLIFE,EQ,644.15,646.05,647.3,631.05,633.15,634.4,639.01,2076930,132716941170000.0,47989,1316428,0.6338
2022-02-04,HDFCLIFE,EQ,634.4,637.0,637.0,622.1,624.95,624.35,626.88,1909456,119700420900000.0,57560,742803,0.389
2022-02-07,HDFCLIFE,EQ,624.35,620.1,623.7,600.0,603.35,603.25,607.56,3030728,184134558055000.0,103252,1531641,0.5054
2022-02-08,HDFCLIFE,EQ,603.25,606.4,607.85,594.0,600.1,600.45,600.63,1954492,117393281345000.0,64626,885017,0.45280000000000004
2022-02-09,HDFCLIFE,EQ,600.45,606.75,606.75,596.1,599.9,600.2,599.8,2644690,158627546580000.0,69386,1601599,0.6056
2022-02-10,HDFCLIFE,EQ,600.2,600.2,611.5,590.45,604.85,606.25,599.75,6231536,373738948305000.0,129569,4172391,0.6696
2022-02-11,HDFCLIFE,EQ,606.25,600.7,601.5,593.0,594.4,595.35,596.8,2557745,152647479150000.0,63303,1594187,0.6233
2022-02-14,HDFCLIFE,EQ,595.35,588.0,589.8,555.0,557.5,557.3,565.39,7168038,405276830790000.0,205515,4103457,0.5725
2022-02-15,HDFCLIFE,EQ,557.3,564.0,574.5,551.6,573.5,573.6,563.68,4282324,241384824844999.97,116273,2257354,0.5271
2022-02-16,HDFCLIFE,EQ,573.6,577.0,592.9,576.3,584.0,586.35,585.62,6991082,409409139275000.0,103733,3257614,0.466
2022-02-17,HDFCLIFE,EQ,586.35,586.1,595.4,581.25,590.7,592.6,590.37,3542326,209127995775000.0,82488,1809927,0.5109
2022-02-18,HDFCLIFE,EQ,592.6,590.0,597.5,587.45,589.75,590.95,593.78,2613689,155196569325000.0,56437,1292999,0.4947
2022-02-21,HDFCLIFE,EQ,590.95,583.55,589.4,576.55,582.15,582.0,583.17,2415405,140859627200000.0,54607,1225850,0.5075000000000001
2022-02-22,HDFCLIFE,EQ,582.0,577.0,577.0,565.0,571.95,572.75,571.29,2952243,168658844635000.0,80585,1465885,0.4965
2022-02-23,HDFCLIFE,EQ,572.75,572.75,578.0,565.5,570.95,569.05,571.8,1929381,110321723875000.0,59311,1162474,0.6025
2022-02-24,HDFCLIFE,EQ,569.05,559.0,560.0,529.05,535.0,532.95,542.57,5515851,299275459165000.0,139046,3075642,0.5576
2022-02-25,HDFCLIFE,EQ,532.95,540.0,545.55,533.85,539.0,538.9,539.59,5087685,274526348065000.0,125003,3351166,0.6587000000000001
2022-02-28,HDFCLIFE,EQ,538.9,532.0,532.5,520.25,523.0,523.2,523.68,10669560,558745163260000.06,134894,7091720,0.6647
2022-03-02,HDFCLIFE,EQ,523.2,518.0,563.0,509.05,560.0,560.8,525.44,41081069,2158578954430000.0,284066,23848589,0.5805
2022-03-03,HDFCLIFE,EQ,560.8,560.75,563.5,530.25,532.6,531.75,542.25,5811568,315132693635000.0,129294,2078865,0.3577
2022-03-04,HDFCLIFE,EQ,531.75,528.9,528.9,514.25,522.0,521.5,522.34,4687979,244871785980000.03,121630,2356210,0.5025999999999999
2022-03-07,HDFCLIFE,EQ,521.5,505.0,520.0,498.0,503.55,503.5,504.89,9156126,462282362230000.0,117942,5729534,0.6258
2022-03-08,HDFCLIFE,EQ,503.5,500.0,514.95,497.05,511.65,513.05,504.92,7443036,375812587375000.0,134292,4241764,0.5699000000000001
2022-03-09,HDFCLIFE,EQ,513.05,517.0,523.0,508.0,515.3,514.7,515.72,4515965,232896372710000.0,98115,2164266,0.4792
2022-03-10,HDFCLIFE,EQ,514.7,524.0,529.75,515.85,519.65,521.3,523.55,5059007,264862055900000.0,98084,2817693,0.557
2022-03-11,HDFCLIFE,EQ,521.3,518.55,524.2,514.75,518.5,518.8,518.88,2924919,151768259620000.0,51523,1386157,0.4739
2022-03-14,HDFCLIFE,EQ,518.8,520.0,521.15,510.05,512.75,512.45,512.39,4517379,231463889630000.03,98981,2754669,0.6098
2022-03-15,HDFCLIFE,EQ,512.45,512.45,519.8,502.75,503.8,504.7,511.2,4513513,230730652540000.0,89309,2555910,0.5663
2022-03-16,HDFCLIFE,EQ,504.7,507.05,521.35,507.05,517.5,517.3,515.08,6339842,326555075505000.0,119666,3756881,0.5926
2022-03-17,HDFCLIFE,EQ,517.3,523.0,532.9,520.5,529.1,530.15,526.31,11303983,594935968950000.0,133027,7431545,0.6574
2022-03-21,HDFCLIFE,EQ,530.15,532.8,534.3,520.25,523.5,522.35,526.77,4064003,214077856465000.0,64785,1973108,0.4855
2022-03-22,HDFCLIFE,EQ,522.35,523.5,530.5,516.5,528.75,529.3,523.62,3457606,181047854665000.0,71819,1559858,0.4511
2022-03-23,HDFCLIFE,EQ,529.3,531.9,534.0,524.15,525.8,525.85,529.15,2654149,140444127634999.98,49517,1290710,0.4863
2022-03-24,HDFCLIFE,EQ,525.85,524.0,526.0,519.0,522.0,522.35,523.4,3192575,167100803675000.0,53459,1699818,0.5324
2022-03-25,HDFCLIFE,EQ,522.35,524.1,528.0,517.85,520.2,519.55,522.21,2874297,150099402750000.0,50124,1593414,0.5544
2022-03-28,HDFCLIFE,EQ,519.55,516.1,520.7,505.1,512.05,512.6,511.91,4968964,254365374640000.0,87839,2467954,0.49670000000000003
2022-03-29,HDFCLIFE,EQ,512.6,517.0,525.7,514.4,524.0,523.0,520.17,3428962,178362853270000.0,55176,1867324,0.5446
2022-03-30,HDFCLIFE,EQ,523.0,526.0,543.35,526.0,541.3,542.3,535.93,6695548,358836497400000.0,109045,3921032,0.5856
2022-03-31,HDFCLIFE,EQ,542.3,542.95,550.25,533.9,537.2,538.2,541.14,5976662,323418221825000.0,90812,3243789,0.5427000000000001
2022-04-01,HDFCLIFE,EQ,538.2,538.0,551.4,536.4,551.1,550.35,547.23,3675121,201112172230000.0,54955,2037796,0.5545
2022-04-04,HDFCLIFE,EQ,550.35,560.0,597.55,553.8,570.85,571.8,579.33,23976331,1389017852205000.0,298481,10954170,0.4569
2022-04-05,HDFCLIFE,EQ,571.8,572.0,575.65,567.0,568.35,569.65,569.63,4898169,279012928944999.97,95689,2762677,0.564
2022-04-06,HDFCLIFE,EQ,569.65,567.0,568.0,553.75,556.0,555.85,558.62,5626902,314327484530000.0,101864,3511829,0.6241
2022-04-07,HDFCLIFE,EQ,555.85,560.0,560.55,552.85,558.9,559.0,557.33,3159512,176089262500000.0,62833,1690173,0.5349
2022-04-08,HDFCLIFE,EQ,559.0,558.95,566.85,553.8,565.5,564.8,561.0,3232920,181367752640000.0,75526,1494743,0.46240000000000003
2022-04-11,HDFCLIFE,EQ,564.8,564.95,571.7,560.6,567.05,567.4,566.81,3034500,171999178290000.0,52899,1804560,0.5947
2022-04-12,HDFCLIFE,EQ,567.4,566.5,572.8,560.45,563.95,562.3,565.91,4518691,255716038010000.0,70665,2695695,0.5966
2022-04-13,HDFCLIFE,EQ,562.3,565.0,568.75,562.0,565.05,564.85,565.08,2313264,130717455470000.0,54350,1496803,0.6470999999999999
2022-04-18,HDFCLIFE,EQ,564.85,560.5,576.85,555.25,574.45,574.3,569.8,5765896,328541012390000.0,98630,3155949,0.5473
2022-04-19,HDFCLIFE,EQ,574.3,576.9,579.9,542.0,542.95,546.7,561.63,2958108,166135022355000.0,75606,1292157,0.4368
2022-04-20,HDFCLIFE,EQ,546.7,548.0,560.75,541.0,560.0,559.3,552.06,3278202,180975499280000.0,77673,1493581,0.4556
2022-04-21,HDFCLIFE,EQ,559.3,560.5,575.7,557.05,569.0,570.95,566.78,3111307,176342717865000.0,65561,1752757,0.5634
2022-04-22,HDFCLIFE,EQ,570.95,568.9,568.9,552.0,554.5,554.05,557.4,2703271,150680643890000.0,64225,1206977,0.4465
2022-04-25,HDFCLIFE,EQ,554.05,552.0,552.0,536.0,542.0,540.0,541.72,3225681,174740699860000.0,67671,1828104,0.5667
2022-04-26,HDFCLIFE,EQ,540.0,541.1,556.0,537.95,548.9,549.85,546.85,4153518,227136191210000.0,80629,1893517,0.4559
2022-04-27,HDFCLIFE,EQ,549.85,552.0,558.45,537.25,547.7,547.65,547.19,4744055,259592050010000.0,97046,1679879,0.35409999999999997
2022-04-28,HDFCLIFE,EQ,547.65,550.9,575.35,546.5,571.4,571.4,559.23,14954957,836325185220000.0,168212,10414090,0.6964
2022-04-29,HDFCLIFE,EQ,571.4,575.35,594.0,573.2,581.6,582.4,586.04,8916828,522560507670000.0,143404,3305638,0.37070000000000003
2022-05-02,HDFCLIFE,EQ,582.4,577.45,585.75,574.7,579.1,579.85,579.43,3025011,175278806225000.0,101517,1592394,0.5264
2022-05-04,HDFCLIFE,EQ,579.85,570.3,580.55,564.4,570.5,567.6,573.01,3587834,205587812515000.0,110930,1968018,0.5485
