Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,HINDALCO,EQ,475.55,475.55,479.95,472.1,477.75,478.05,475.94,5549693,264131578700000.0,69826,1605370,0.2893
2022-01-04,HINDALCO,EQ,478.05,479.0,481.5,472.0,476.0,476.1,476.28,5063834,241178911480000.03,69690,1744647,0.34450000000000003
2022-01-05,HINDALCO,EQ,476.1,473.2,479.4,472.0,475.05,475.35,475.91,4489031,213637873275000.0,75259,1654976,0.36869999999999997
2022-01-06,HINDALCO,EQ,475.35,474.5,485.7,473.5,478.8,479.1,480.76,12132277,583268448235000.0,148948,3876139,0.3195
2022-01-07,HINDALCO,EQ,479.1,481.1,495.25,480.05,493.0,493.5,488.46,9300149,454279471705000.0,145242,4314931,0.46399999999999997
2022-01-10,HINDALCO,EQ,493.5,497.0,497.3,490.05,492.2,492.9,493.41,4746931,234219470805000.03,59106,1613069,0.3398
2022-01-11,HINDALCO,EQ,492.9,491.9,497.2,485.7,486.4,486.35,490.53,5346073,262243371419999.97,75250,1728029,0.3232
2022-01-12,HINDALCO,EQ,486.35,494.0,500.85,491.0,497.35,497.95,497.2,9296587,462221677345000.0,148542,2264563,0.2436
2022-01-13,HINDALCO,EQ,497.95,502.2,509.0,499.15,506.1,507.5,504.42,9366574,472467886714999.94,112654,3301589,0.3525
2022-01-14,HINDALCO,EQ,507.5,506.0,509.5,503.0,505.9,506.35,506.5,5461072,276605529775000.0,68540,2109259,0.3862
2022-01-17,HINDALCO,EQ,506.35,509.0,509.0,496.0,505.0,505.95,502.92,6721706,338048060055000.0,79804,2477202,0.3685
2022-01-18,HINDALCO,EQ,505.95,508.8,512.35,493.8,496.0,496.0,504.61,6194537,312582766365000.0,85392,2341658,0.378
2022-01-19,HINDALCO,EQ,496.0,495.2,506.25,490.3,503.95,504.8,498.88,5799747,289336205780000.0,77023,2074827,0.3577
2022-01-20,HINDALCO,EQ,504.8,503.85,508.0,498.1,503.3,503.4,503.7,4243563,213749993820000.0,65008,1495466,0.35240000000000005
2022-01-21,HINDALCO,EQ,503.4,501.0,515.8,499.25,507.6,506.7,508.34,14173177,720479062630000.0,163743,5914239,0.4173
2022-01-24,HINDALCO,EQ,506.7,498.95,500.5,475.5,477.5,478.4,483.78,11020372,533142785710000.06,124768,1487613,0.32689999999999997
2022-01-25,HINDALCO,EQ,478.4,475.55,486.5,474.65,484.65,485.75,483.21,5498495,265691705069999.97,101910,1790540,0.32560000000000006
2022-01-27,HINDALCO,EQ,485.75,482.6,492.85,478.45,490.2,489.15,486.24,6746500,328038717095000.0,101357,2716189,0.4026
2022-01-28,HINDALCO,EQ,489.15,493.05,506.6,488.45,490.1,490.35,497.84,6616401,329391219480000.0,94080,2126394,0.3214
2022-01-31,HINDALCO,EQ,490.35,498.9,499.75,488.15,489.6,489.05,493.74,4846015,239266885850000.0,82717,2157356,0.44520000000000004
2022-02-01,HINDALCO,EQ,489.05,492.8,512.65,487.7,510.8,511.0,502.18,9809417,492609029414999.94,102977,3172756,0.3234
2022-02-02,HINDALCO,EQ,511.0,515.0,518.4,507.65,513.7,513.95,513.04,7283452,373671439095000.0,90155,2616028,0.3592
2022-02-03,HINDALCO,EQ,513.95,513.0,516.5,509.0,510.0,512.65,513.41,5078613,260739866565000.0,77460,2213465,0.43579999999999997
2022-02-04,HINDALCO,EQ,512.65,513.0,528.5,512.05,525.2,525.15,524.02,12631663,661928996120000.0,173284,4690373,0.3713
2022-02-07,HINDALCO,EQ,525.15,527.85,533.25,519.45,523.0,522.6,526.47,10939353,575927762140000.0,121080,4602393,0.4207
2022-02-08,HINDALCO,EQ,522.6,526.0,533.1,514.05,526.05,526.8,522.98,9863290,515834816485000.06,138834,3247209,0.32920000000000005
2022-02-09,HINDALCO,EQ,526.8,536.0,544.4,532.1,543.0,542.3,537.87,9235351,496742538110000.06,156545,3927198,0.4252
2022-02-10,HINDALCO,EQ,542.3,547.7,553.5,541.0,547.25,547.25,546.78,10906403,596341232450000.0,180185,3249038,0.2979
2022-02-11,HINDALCO,EQ,547.25,547.75,553.85,539.5,540.5,542.7,546.07,9110193,497481241655000.0,179500,2643899,0.2902
2022-02-14,HINDALCO,EQ,542.7,531.0,533.95,519.7,520.15,521.25,526.79,4995178,263140469935000.0,82668,1602732,0.3209
2022-02-15,HINDALCO,EQ,521.25,526.45,536.35,513.7,534.5,533.85,524.76,8233217,432048960339999.94,129438,3244057,0.394
2022-02-16,HINDALCO,EQ,533.85,536.85,538.0,526.2,527.8,529.3,531.96,4348474,231321987635000.0,77593,1587917,0.3652
2022-02-17,HINDALCO,EQ,529.3,533.8,540.75,528.3,532.3,532.55,534.91,5340469,285666691745000.0,76158,1303303,0.244
2022-02-18,HINDALCO,EQ,532.55,531.0,537.8,528.0,530.4,529.6,533.1,3344269,178283357855000.0,60272,1009260,0.3018
2022-02-21,HINDALCO,EQ,529.6,528.5,529.0,511.2,511.7,512.0,517.65,6308263,326547496200000.0,100778,3095342,0.4907
2022-02-22,HINDALCO,EQ,512.0,501.9,519.25,501.55,516.5,516.2,510.33,10664925,544260399089999.94,152742,4519450,0.4238
2022-02-23,HINDALCO,EQ,516.2,519.8,523.25,515.65,518.9,518.7,519.78,8928934,464108303545000.0,109322,4159107,0.4658
2022-02-24,HINDALCO,EQ,518.7,505.1,527.4,505.1,517.4,517.65,518.99,24819208,1288095098550000.0,430406,11244049,0.45299999999999996
2022-02-25,HINDALCO,EQ,517.65,525.0,546.9,523.1,534.0,533.9,536.87,13815949,741738401165000.0,365001,5080348,0.3677
2022-02-28,HINDALCO,EQ,533.9,537.0,580.05,531.8,572.15,573.75,563.98,35212827,1985941185934999.8,417011,13357771,0.3793
2022-03-02,HINDALCO,EQ,573.75,575.25,614.25,575.25,598.65,600.1,601.25,41248362,2480051217390000.0,583595,12508884,0.3033
2022-03-03,HINDALCO,EQ,600.1,613.9,613.9,596.9,606.05,606.3,604.78,18676314,1129511287410000.0,319433,7539843,0.4037
2022-03-04,HINDALCO,EQ,606.3,607.8,618.0,580.6,585.9,583.8,601.75,20490598,1233014744415000.0,288469,4370921,0.2133
2022-03-07,HINDALCO,EQ,583.8,586.75,623.0,586.75,620.65,619.75,607.83,20963374,1274222895110000.0,342322,6885533,0.3285
2022-03-08,HINDALCO,EQ,619.75,618.0,618.0,587.35,591.3,589.95,598.74,19477245,1166183053870000.0,374199,6898411,0.3542
2022-03-09,HINDALCO,EQ,589.95,591.3,598.95,585.1,587.45,588.05,589.95,15686460,925422922379999.9,265660,6670264,0.4252
2022-03-10,HINDALCO,EQ,588.05,573.5,596.5,569.8,592.5,593.8,582.8,14824703,863987857365000.0,219805,5973822,0.40299999999999997
2022-03-11,HINDALCO,EQ,593.8,595.0,603.0,585.75,588.4,589.1,594.0,7635725,453561818175000.0,110403,1661588,0.21760000000000002
2022-03-14,HINDALCO,EQ,589.1,585.9,593.55,578.25,590.7,590.8,585.83,7904911,463093505535000.06,129159,3270139,0.41369999999999996
2022-03-15,HINDALCO,EQ,590.8,580.0,581.9,555.95,560.0,559.75,565.04,13005715,734877024810000.0,260431,6099133,0.469
2022-03-16,HINDALCO,EQ,559.75,568.7,575.4,563.3,574.4,572.7,569.64,10485661,597300023150000.0,151009,4873207,0.4647
2022-03-17,HINDALCO,EQ,572.7,575.05,584.4,573.85,576.0,576.8,578.66,11581454,670168476170000.0,127860,5144483,0.44420000000000004
2022-03-21,HINDALCO,EQ,576.8,584.0,600.95,582.55,589.2,589.95,594.14,14159371,841267035195000.0,198833,5258710,0.3714
2022-03-22,HINDALCO,EQ,589.95,599.8,602.85,587.2,593.25,593.45,594.65,7490300,445412739714999.94,146536,1918963,0.25620000000000004
2022-03-23,HINDALCO,EQ,593.45,601.0,611.8,597.5,608.3,608.45,604.86,13581577,821491877660000.0,148556,5135671,0.37810000000000005
2022-03-24,HINDALCO,EQ,608.45,610.2,626.2,610.0,618.9,621.95,621.74,12139664,754769135075000.0,233833,4760193,0.3921
2022-03-25,HINDALCO,EQ,621.95,621.05,630.95,616.65,622.75,622.7,623.55,11087146,691336379905000.0,191886,5307436,0.47869999999999996
2022-03-28,HINDALCO,EQ,622.7,621.5,634.8,617.0,629.45,630.2,628.11,7075442,444418461360000.06,126087,2184937,0.3088
2022-03-29,HINDALCO,EQ,630.2,630.0,636.0,624.5,629.25,631.3,629.23,5245788,330078868065000.0,82726,1507584,0.2874
2022-03-30,HINDALCO,EQ,631.3,622.0,622.0,598.85,600.45,599.8,605.56,11195965,677982636930000.0,183145,5447510,0.4866
2022-03-31,HINDALCO,EQ,599.8,600.0,600.3,568.15,571.3,569.5,576.51,23497993,1354692273840000.0,292064,12747126,0.5425
2022-04-01,HINDALCO,EQ,569.5,569.9,577.0,561.45,571.0,570.5,568.47,15300787,869799898170000.1,186186,6005464,0.3925
2022-04-04,HINDALCO,EQ,570.5,572.0,589.65,569.05,585.75,587.5,579.53,15845385,918284041479999.9,177902,8021091,0.5062
2022-04-05,HINDALCO,EQ,587.5,590.95,590.95,582.05,586.0,586.85,585.59,7065571,413749531670000.0,97040,3040880,0.4304
2022-04-06,HINDALCO,EQ,586.85,582.95,589.45,576.05,581.0,581.25,581.97,9648592,561520829510000.06,129010,4776692,0.4951
2022-04-07,HINDALCO,EQ,581.25,581.4,584.9,569.0,575.0,574.75,573.77,9357569,536906802355000.0,140782,4420725,0.47240000000000004
2022-04-08,HINDALCO,EQ,574.75,579.4,584.55,578.3,582.0,581.75,581.59,7157576,416279969725000.0,117225,3367811,0.4705
2022-04-11,HINDALCO,EQ,581.75,583.4,587.45,574.55,576.0,576.35,579.28,8297062,480629558435000.06,141788,4418208,0.5325
2022-04-12,HINDALCO,EQ,576.35,570.6,570.8,538.6,543.1,542.35,547.05,16701775,913667460100000.0,273318,7629659,0.4568
2022-04-13,HINDALCO,EQ,542.35,547.0,551.9,543.55,545.75,546.75,547.69,7396320,405085445200000.0,114192,2761547,0.37340000000000007
2022-04-18,HINDALCO,EQ,546.75,544.95,555.65,537.4,545.1,545.35,543.64,7550655,410481533180000.0,130590,3659032,0.48460000000000003
2022-04-19,HINDALCO,EQ,545.35,552.0,556.2,537.6,539.0,540.8,549.32,8143101,447318267205000.0,194652,4092437,0.5025999999999999
2022-04-20,HINDALCO,EQ,540.8,544.95,549.0,536.6,545.2,545.0,544.18,4725779,257168420385000.0,64396,1944417,0.4114
2022-04-21,HINDALCO,EQ,545.0,545.0,547.35,531.45,540.9,540.25,540.67,8575442,463647495050000.0,108862,3892128,0.4539
2022-04-22,HINDALCO,EQ,540.25,529.0,529.85,513.3,514.05,514.15,518.72,23871439,1238260168155000.0,365161,14296275,0.5989
2022-04-25,HINDALCO,EQ,514.15,502.65,508.5,492.25,496.25,495.5,498.94,10749312,536321756835000.06,158282,4297319,0.3998
2022-04-26,HINDALCO,EQ,495.5,498.0,500.9,489.75,493.5,493.45,493.55,11623406,573671233570000.0,159933,5822998,0.501
2022-04-27,HINDALCO,EQ,493.45,489.0,497.6,476.45,491.5,492.3,485.32,17623544,855312383685000.0,161050,9290724,0.5272
2022-04-28,HINDALCO,EQ,492.3,502.0,502.0,480.0,488.5,488.6,483.96,25042778,1211968153590000.0,141849,16950243,0.6769
2022-04-29,HINDALCO,EQ,488.6,493.0,497.8,479.25,483.4,482.65,488.77,12462169,609112100900000.0,156312,6186703,0.4964
2022-05-02,HINDALCO,EQ,482.65,477.85,486.0,469.5,484.9,484.4,477.72,14625673,698704059545000.0,148776,6000805,0.4103
2022-05-04,HINDALCO,EQ,484.4,483.0,483.0,459.0,461.25,461.65,470.36,10366562,487598293395000.0,151046,3581267,0.3455
2022-05-05,HINDALCO,EQ,461.65,470.0,475.9,460.2,461.45,461.6,468.17,6328868,296295589135000.0,88523,1484611,0.2346
2022-05-06,HINDALCO,EQ,461.6,450.0,454.25,439.0,444.0,443.75,445.02,8595262,382508033720000.0,133914,2700692,0.31420000000000003
2022-05-09,HINDALCO,EQ,443.75,433.85,448.55,429.5,443.45,444.1,440.58,10773327,474648535005000.0,116458,4497695,0.4175
2022-05-10,HINDALCO,EQ,444.1,435.0,442.3,420.3,422.45,423.0,431.62,9661841,417021095740000.0,175395,3666550,0.37950000000000006
2022-05-11,HINDALCO,EQ,423.0,423.0,429.9,413.95,426.4,422.55,421.72,14197501,598737188180000.0,204243,5939394,0.4183
2022-05-12,HINDALCO,EQ,422.55,416.0,422.0,394.6,406.7,405.85,402.91,23831422,960185993429999.9,273285,10659277,0.4473
2022-05-13,HINDALCO,EQ,405.85,411.0,414.45,384.95,386.2,388.0,398.04,17007818,676972954730000.0,193648,7498962,0.44090000000000007
2022-05-16,HINDALCO,EQ,388.0,395.8,400.8,385.0,393.0,390.95,392.35,13900633,545387713875000.0,140183,4071437,0.2929
2022-05-17,HINDALCO,EQ,390.95,399.0,437.3,398.05,429.25,428.4,421.66,37772554,1592713587825000.0,350372,10158200,0.26890000000000003
2022-05-18,HINDALCO,EQ,428.4,434.5,438.4,423.5,435.9,436.1,431.57,18052317,779075121235000.0,176880,6849190,0.37939999999999996
2022-05-19,HINDALCO,EQ,436.1,422.1,425.95,413.8,417.2,417.0,418.6,10319381,431971056775000.0,141591,3064160,0.2969
2022-05-20,HINDALCO,EQ,417.0,432.0,435.0,421.05,428.0,429.1,427.77,9703961,415110576540000.0,125338,1886495,0.19440000000000002
2022-05-23,HINDALCO,EQ,429.1,418.0,420.7,399.35,414.45,413.15,411.58,15828786,651482141290000.0,176789,3537117,0.22350000000000003
2022-05-24,HINDALCO,EQ,413.15,414.4,415.5,400.0,401.5,400.8,406.14,12840838,521521517410000.06,154536,5773132,0.4496
2022-05-25,HINDALCO,EQ,400.8,405.0,405.05,389.7,397.25,396.85,397.78,11103850,441688838410000.06,124065,3642237,0.32799999999999996
2022-05-26,HINDALCO,EQ,396.85,406.5,410.5,392.6,407.8,407.85,401.89,13391224,538176984950000.0,132525,3264569,0.2438
2022-05-27,HINDALCO,EQ,407.85,423.1,426.95,406.1,408.35,409.15,413.39,20350558,841277402880000.0,214428,5354993,0.2631
2022-05-30,HINDALCO,EQ,409.15,410.0,419.5,405.6,416.05,416.75,413.57,7161082,296158413615000.0,90188,1518444,0.212
2022-05-31,HINDALCO,EQ,416.75,414.9,428.5,412.0,427.0,422.55,421.72,39115757,1649595665140000.0,161904,25065952,0.6408
2022-06-01,HINDALCO,EQ,422.55,421.0,422.0,406.2,410.4,410.65,412.61,12551513,517888539489999.94,159704,4047037,0.3224
2022-06-02,HINDALCO,EQ,410.65,408.0,414.4,406.4,410.25,409.9,409.91,7202046,295220964170000.0,85504,1786851,0.2481
2022-06-03,HINDALCO,EQ,409.9,414.0,416.9,405.3,407.0,406.75,411.01,12229014,502621468495000.0,107692,5211577,0.42619999999999997
2022-06-06,HINDALCO,EQ,406.75,402.6,410.7,395.95,410.2,409.15,404.96,8810058,356775199520000.0,80127,3619534,0.4108
2022-06-07,HINDALCO,EQ,409.15,407.95,413.0,402.2,403.25,404.2,406.52,7636671,310445037305000.0,79538,2754803,0.3607
2022-06-08,HINDALCO,EQ,404.2,402.0,407.0,401.1,402.5,403.5,404.12,6911005,279286499935000.0,89374,2542275,0.3679
2022-06-09,HINDALCO,EQ,403.5,399.0,402.3,393.4,400.5,399.75,398.06,8798828,350245567500000.0,118619,3209288,0.36469999999999997
2022-06-10,HINDALCO,EQ,399.75,390.0,391.8,382.75,385.75,385.75,386.66,14541630,562272247230000.0,158464,5854426,0.4026
2022-06-13,HINDALCO,EQ,385.75,377.8,377.8,360.5,367.0,366.45,366.9,12269608,450166522980000.0,176137,4269134,0.3479
2022-06-14,HINDALCO,EQ,366.45,363.85,369.6,357.35,358.5,358.3,363.16,11273145,409394123560000.0,122936,4768978,0.423
2022-06-15,HINDALCO,EQ,358.3,360.0,362.9,356.05,358.1,357.5,359.25,8393144,301522392415000.0,115721,3083511,0.3674
2022-06-16,HINDALCO,EQ,357.5,360.4,363.75,332.3,333.4,336.1,347.32,16614475,577046100355000.0,172799,5233336,0.315
2022-06-17,HINDALCO,EQ,336.1,333.0,342.55,325.85,334.55,333.7,334.24,18606308,621895724255000.0,198992,6629497,0.3563
2022-06-20,HINDALCO,EQ,333.7,331.0,334.6,308.95,323.5,321.5,317.37,20646347,655259841465000.0,248601,6515499,0.3156
2022-06-21,HINDALCO,EQ,321.5,327.6,343.5,325.6,340.75,339.25,334.14,15208306,508169518214999.94,153990,3435109,0.2259
2022-06-22,HINDALCO,EQ,339.25,334.0,334.0,315.45,319.25,316.45,321.01,19176515,615583746515000.0,193044,6015111,0.31370000000000003
2022-06-23,HINDALCO,EQ,316.45,317.0,327.65,311.1,318.0,317.6,318.76,18756690,597886787840000.0,164684,3495854,0.24489999999999998
2022-06-24,HINDALCO,EQ,317.6,321.7,324.95,316.6,322.25,322.3,321.51,11621311,373636363585000.0,113270,2915240,0.2509
2022-06-27,HINDALCO,EQ,322.3,331.5,338.0,326.35,329.0,329.95,332.85,15014176,499745238450000.0,153024,3838928,0.2557
2022-06-28,HINDALCO,EQ,329.95,328.45,345.25,325.3,344.65,343.55,335.87,15742835,528749353614999.94,141655,4311663,0.27390000000000003
2022-06-29,HINDALCO,EQ,343.55,339.45,345.6,335.05,344.95,344.15,341.45,12659696,432267587675000.0,137202,3581675,0.2829
2022-06-30,HINDALCO,EQ,344.15,345.0,349.9,337.05,337.7,338.65,341.96,21225418,725831677500000.0,250433,11549860,0.5442
2022-07-01,HINDALCO,EQ,338.65,335.0,342.9,330.25,341.8,341.15,335.88,11278576,378829601110000.0,108305,3091354,0.2741
2022-07-04,HINDALCO,EQ,341.15,338.0,342.0,326.65,340.2,340.5,334.16,10905377,364415615115000.0,100692,1893756,0.17370000000000002
2022-07-05,HINDALCO,EQ,340.5,341.75,356.9,341.75,344.1,345.25,350.17,20928565,732857883795000.0,173035,4282580,0.2046
2022-07-06,HINDALCO,EQ,345.25,339.8,342.3,327.8,341.75,340.95,334.47,22317536,746464290640000.0,186715,5030647,0.2254
2022-07-07,HINDALCO,EQ,340.95,347.85,364.5,341.3,364.4,361.65,351.2,18699515,656723591980000.0,143006,4772408,0.2552
2022-07-08,HINDALCO,EQ,361.65,368.0,368.0,351.1,355.7,357.55,360.65,25506273,919891141085000.0,206765,8823761,0.34590000000000004
2022-07-11,HINDALCO,EQ,357.55,352.0,363.3,347.8,357.0,356.2,356.93,13745531,490616657435000.06,109569,2574161,0.18730000000000002
2022-07-12,HINDALCO,EQ,356.2,350.0,356.0,341.6,346.3,346.9,347.23,16896696,586704781435000.0,137153,1833120,0.1085
2022-07-13,HINDALCO,EQ,346.9,346.0,351.9,344.0,348.3,348.9,347.68,13690887,476001089905000.0,113723,3401194,0.2484
2022-07-14,HINDALCO,EQ,348.9,354.5,354.5,346.5,348.4,349.1,348.91,9511166,331850981685000.0,96501,2465822,0.2593
