Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,HINDUNILVR,EQ,2360.15,2378.0,2378.0,2353.0,2362.85,2361.3,2363.28,879278,207798117310000.0,48907,582494,0.6625
2022-01-04,HINDUNILVR,EQ,2361.3,2368.95,2408.1,2355.35,2405.95,2401.25,2392.65,1484275,355134912315000.0,105903,1041833,0.7019
2022-01-05,HINDUNILVR,EQ,2401.25,2403.8,2420.0,2392.0,2419.0,2415.8,2406.71,1202512,289409211145000.0,65591,850459,0.7072
2022-01-06,HINDUNILVR,EQ,2415.8,2398.0,2412.0,2367.7,2390.45,2391.4,2387.4,1198901,286226029720000.0,81489,828745,0.6912999999999999
2022-01-07,HINDUNILVR,EQ,2391.4,2388.0,2421.9,2388.0,2415.0,2416.15,2412.19,1026186,247535785050000.0,60217,748150,0.7291
2022-01-10,HINDUNILVR,EQ,2416.15,2425.0,2425.0,2402.0,2407.15,2407.05,2407.82,919447,221386341640000.0,56790,700748,0.7621
2022-01-11,HINDUNILVR,EQ,2407.05,2417.15,2418.3,2392.0,2403.0,2403.65,2401.65,1321335,317338135660000.0,67472,989915,0.7492000000000001
2022-01-12,HINDUNILVR,EQ,2403.65,2407.2,2416.0,2398.5,2413.0,2413.15,2406.73,1487554,358014259675000.0,65377,1192876,0.8019
2022-01-13,HINDUNILVR,EQ,2413.15,2418.0,2421.9,2403.25,2417.75,2414.2,2411.76,1586299,382577870390000.0,66204,1253300,0.7901
2022-01-14,HINDUNILVR,EQ,2414.2,2420.0,2421.0,2360.8,2364.5,2363.7,2374.57,1596037,378990785900000.0,81090,905885,0.5676
2022-01-17,HINDUNILVR,EQ,2363.7,2364.0,2394.2,2345.0,2390.5,2389.55,2377.75,912205,216899978044999.97,55935,530384,0.5814
2022-01-18,HINDUNILVR,EQ,2389.55,2408.7,2408.7,2357.4,2365.2,2369.5,2371.5,1667579,395466768635000.0,89735,1126865,0.6757
2022-01-19,HINDUNILVR,EQ,2369.5,2364.0,2368.6,2305.05,2312.0,2309.9,2322.66,2145255,498270652439999.94,121925,1604905,0.7481
2022-01-20,HINDUNILVR,EQ,2309.9,2325.0,2325.55,2243.0,2265.05,2261.8,2273.18,2829711,643244532800000.0,159024,1806680,0.6385000000000001
2022-01-21,HINDUNILVR,EQ,2261.8,2264.8,2334.35,2250.0,2330.0,2325.4,2297.41,4596050,1055901899904999.9,208865,2314777,0.5036
2022-01-24,HINDUNILVR,EQ,2325.4,2338.9,2344.95,2266.7,2282.0,2284.6,2295.97,2231103,512255345170000.0,161617,900844,0.6362
2022-01-25,HINDUNILVR,EQ,2284.6,2283.5,2333.7,2240.9,2328.3,2327.25,2303.39,1843543,424640765705000.0,135358,1225338,0.6647
2022-01-27,HINDUNILVR,EQ,2327.25,2310.0,2325.6,2275.0,2298.0,2295.35,2294.55,2620474,601282137270000.0,144398,1864968,0.7117
2022-01-28,HINDUNILVR,EQ,2295.35,2294.6,2318.7,2278.05,2285.45,2283.55,2292.46,1967721,451092910900000.0,132365,1451926,0.7379000000000001
2022-01-31,HINDUNILVR,EQ,2283.55,2290.0,2311.85,2271.0,2276.95,2273.75,2282.15,1639875,374243734285000.0,114078,1217210,0.7423000000000001
2022-02-01,HINDUNILVR,EQ,2273.75,2303.3,2320.0,2278.4,2307.0,2305.65,2301.57,1270508,292416585995000.0,70285,743397,0.5851
2022-02-02,HINDUNILVR,EQ,2305.65,2324.1,2333.0,2296.55,2332.95,2327.9,2313.85,1246111,288331114220000.0,74815,815060,0.6541
2022-02-03,HINDUNILVR,EQ,2327.9,2329.0,2331.95,2290.0,2293.5,2298.15,2305.12,1448039,333790589535000.0,83117,1002903,0.6926000000000001
2022-02-04,HINDUNILVR,EQ,2298.15,2306.0,2312.75,2283.0,2309.0,2306.6,2298.82,1014561,233229740380000.03,74364,608295,0.5996
2022-02-07,HINDUNILVR,EQ,2306.6,2295.25,2316.7,2237.0,2258.0,2257.6,2262.45,1207402,273168479144999.97,112445,734718,0.6085
2022-02-08,HINDUNILVR,EQ,2257.6,2268.0,2268.0,2246.55,2267.5,2264.35,2258.1,1190660,268863407180000.03,84586,759625,0.638
2022-02-09,HINDUNILVR,EQ,2264.35,2267.55,2280.35,2255.6,2280.0,2277.65,2269.41,1049611,238199610560000.0,50217,733048,0.6984
2022-02-10,HINDUNILVR,EQ,2277.65,2280.0,2285.0,2255.85,2280.0,2283.15,2274.12,1195100,271780040794999.97,91393,830166,0.6946
2022-02-11,HINDUNILVR,EQ,2283.15,2279.0,2279.0,2249.0,2258.0,2258.0,2261.98,2100036,475024303364999.94,122702,1552468,0.7393000000000001
2022-02-14,HINDUNILVR,EQ,2258.0,2220.0,2236.25,2207.0,2223.0,2228.55,2219.86,1661501,368830681690000.0,112048,1242414,0.7478
2022-02-15,HINDUNILVR,EQ,2228.55,2247.95,2304.15,2222.55,2290.0,2290.1,2276.46,1533070,348997957230000.0,101927,882178,0.5754
2022-02-16,HINDUNILVR,EQ,2290.1,2290.1,2303.75,2275.0,2286.05,2286.5,2290.09,995668,228016768494999.97,70831,675752,0.6787000000000001
2022-02-17,HINDUNILVR,EQ,2286.5,2282.0,2313.0,2276.0,2297.2,2307.55,2298.41,869374,199818014260000.0,42379,461580,0.5309
2022-02-18,HINDUNILVR,EQ,2307.55,2294.0,2327.8,2294.0,2310.3,2312.55,2312.38,890713,205966665190000.0,53485,557855,0.6263000000000001
