Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,ICICIBANK,EQ,740.15,743.05,766.0,743.0,765.5,764.7,756.87,9653095,730612927645000.0,245297,4347071,0.45030000000000003
2022-01-04,ICICIBANK,EQ,764.7,767.95,778.0,763.6,773.45,772.85,772.69,12114437,936069459865000.0,249942,5133092,0.42369999999999997
2022-01-05,ICICIBANK,EQ,772.85,773.0,795.85,771.2,787.0,788.05,786.85,19741360,1553358441945000.0,328782,11296296,0.5722
2022-01-06,ICICIBANK,EQ,788.05,775.05,792.5,774.0,786.8,785.05,781.94,13018067,1017941057590000.0,216014,6596234,0.5067
2022-01-07,ICICIBANK,EQ,785.05,792.2,802.3,786.25,794.5,793.25,795.26,12250210,974213704285000.0,191092,5784799,0.4722
2022-01-10,ICICIBANK,EQ,793.25,800.25,812.8,799.0,809.55,810.75,805.84,10905080,878775184550000.0,207026,6277915,0.5757
2022-01-11,ICICIBANK,EQ,810.75,809.75,814.7,801.9,810.0,810.65,808.9,9982061,807448882520000.0,196523,5594718,0.5605
2022-01-12,ICICIBANK,EQ,810.65,818.6,825.45,812.05,823.3,823.75,821.46,13034848,1070761822085000.0,197467,7876265,0.6042000000000001
2022-01-13,ICICIBANK,EQ,823.75,821.0,828.0,817.4,824.0,824.7,824.04,9372244,772310010405000.0,210731,5759769,0.6146
2022-01-14,ICICIBANK,EQ,824.7,821.0,822.0,811.6,818.35,820.0,816.95,7552844,617032436320000.0,137003,2851946,0.3776
2022-01-17,ICICIBANK,EQ,820.0,820.0,828.9,814.55,820.3,819.3,820.82,6722700,551814726130000.0,156099,3544304,0.5272
2022-01-18,ICICIBANK,EQ,819.3,821.0,836.0,818.2,823.0,823.1,827.77,10835146,896898984579999.9,208473,4931444,0.4551
2022-01-19,ICICIBANK,EQ,823.1,816.0,821.0,803.25,809.8,808.6,811.33,16416144,1331891583485000.0,224243,11410648,0.6951
2022-01-20,ICICIBANK,EQ,808.6,803.0,812.95,795.4,811.6,810.25,806.12,13567654,1093711263200000.0,177566,8368009,0.6168
2022-01-21,ICICIBANK,EQ,810.25,803.0,811.35,795.5,810.65,804.5,802.84,12078277,969693353279999.9,218577,5972827,0.49450000000000005
2022-01-24,ICICIBANK,EQ,804.5,813.0,816.7,783.3,792.0,798.45,803.26,29612316,2378634097240000.0,424239,6796025,0.40390000000000004
2022-01-25,ICICIBANK,EQ,798.45,789.0,804.3,786.05,800.5,801.65,798.31,19513184,1557763510965000.0,330519,7998285,0.40990000000000004
2022-01-27,ICICIBANK,EQ,801.65,786.9,801.5,781.05,797.5,794.65,790.93,23984679,1897017140870000.0,345466,12840082,0.5353
2022-01-28,ICICIBANK,EQ,794.65,803.75,805.85,778.5,782.0,781.15,792.77,14072314,1115604108165000.0,250672,7787681,0.5534
2022-01-31,ICICIBANK,EQ,781.15,788.95,798.7,784.0,789.0,788.8,791.23,14824509,1172953254920000.0,307444,8997468,0.6069
2022-02-01,ICICIBANK,EQ,788.8,802.05,812.85,789.3,811.3,810.3,807.03,20031583,1616600497385000.0,298272,9318655,0.46520000000000006
2022-02-02,ICICIBANK,EQ,810.3,815.0,818.7,808.85,815.7,813.75,813.88,11214375,912715347145000.1,262592,5509324,0.4913
2022-02-03,ICICIBANK,EQ,813.75,814.05,818.4,806.0,807.0,808.95,811.39,9755335,791536335270000.0,225774,4787466,0.4908
2022-02-04,ICICIBANK,EQ,808.95,809.8,812.0,795.8,803.5,805.05,803.51,10314067,828745080700000.0,233121,5646806,0.5475
2022-02-07,ICICIBANK,EQ,805.05,798.05,805.0,781.45,785.2,786.4,790.77,14659368,1159223716585000.0,332005,8884191,0.606
2022-02-08,ICICIBANK,EQ,786.4,790.0,795.7,774.3,790.0,792.5,784.25,14642455,1148333593130000.0,296476,7532297,0.5144
2022-02-09,ICICIBANK,EQ,792.5,797.25,804.25,794.2,803.0,802.8,799.57,8855292,708045843250000.0,194125,5006434,0.5654
2022-02-10,ICICIBANK,EQ,802.8,805.95,808.8,796.3,804.45,805.5,804.24,13159771,1058367127575000.0,248496,7276067,0.5529000000000001
2022-02-11,ICICIBANK,EQ,805.5,796.85,797.4,787.9,789.5,790.8,792.81,13138408,1041629433575000.0,206865,7556702,0.5752
2022-02-14,ICICIBANK,EQ,790.8,772.0,773.95,751.15,752.5,753.7,760.87,16170656,1230377068105000.0,364618,7610916,0.4707
2022-02-15,ICICIBANK,EQ,753.7,752.95,778.0,743.2,775.0,776.05,759.35,18880659,1433709135650000.0,290494,9770306,0.5175
2022-02-16,ICICIBANK,EQ,776.05,775.7,777.55,760.4,762.6,764.05,769.64,10549784,811958223500000.0,184247,4772378,0.4524
2022-02-17,ICICIBANK,EQ,764.05,766.5,767.25,746.3,747.6,750.35,755.04,16683808,1259696031350000.0,206647,9627392,0.5771000000000001
2022-02-18,ICICIBANK,EQ,750.35,746.85,756.8,745.55,747.95,748.9,751.25,8945567,672031716335000.0,160575,3529595,0.3946
2022-02-21,ICICIBANK,EQ,748.9,746.25,762.9,740.0,754.05,754.45,754.67,10967164,827654373440000.0,164619,3983760,0.3632
2022-02-22,ICICIBANK,EQ,754.45,738.4,759.75,737.75,750.25,751.3,748.94,13156371,985338343050000.0,203813,6980318,0.5306000000000001
2022-02-23,ICICIBANK,EQ,751.3,754.6,756.4,742.7,744.5,744.6,748.37,11624282,869930334660000.0,225116,6083374,0.5233
2022-02-24,ICICIBANK,EQ,744.6,712.9,727.1,702.3,706.0,707.4,717.06,28023104,2009423674775000.0,378036,17110265,0.6106
2022-02-25,ICICIBANK,EQ,707.4,724.95,739.3,720.25,731.8,730.05,731.9,16935750,1239534376570000.0,258610,9297653,0.549
2022-02-28,ICICIBANK,EQ,730.05,722.95,744.75,715.4,741.7,742.7,734.66,20547432,1509529026585000.0,204063,12988412,0.6321
2022-03-02,ICICIBANK,EQ,742.7,717.0,724.95,707.75,717.5,714.85,713.82,25252492,1802580829130000.0,450140,13237743,0.5242
2022-03-03,ICICIBANK,EQ,714.85,717.6,721.95,693.45,699.65,698.3,705.85,23190595,1636918992185000.0,444480,12498168,0.5389
2022-03-04,ICICIBANK,EQ,698.3,691.0,706.55,685.0,688.0,688.05,693.72,18697223,1297060136960000.0,326057,8444168,0.4516
2022-03-07,ICICIBANK,EQ,688.05,663.5,667.0,642.15,654.5,653.75,653.29,27799873,1816131430284999.8,487777,14914192,0.5365
2022-03-08,ICICIBANK,EQ,653.75,643.3,669.45,643.0,664.0,665.0,654.86,26716975,1749582775984999.8,436225,11978462,0.4483
2022-03-09,ICICIBANK,EQ,665.0,664.7,674.5,658.0,670.0,667.45,665.91,33728639,2246030469059999.8,350200,19988301,0.5926
2022-03-10,ICICIBANK,EQ,667.45,693.95,701.0,673.65,675.5,676.6,689.69,35959638,2480102478635000.0,410463,19616307,0.5455
2022-03-11,ICICIBANK,EQ,676.6,674.65,684.7,670.6,678.0,677.9,677.53,20546724,1392108979865000.0,258581,10885366,0.5297999999999999
2022-03-14,ICICIBANK,EQ,677.9,678.1,698.45,677.25,697.5,696.15,691.15,24648981,1703626373870000.0,294081,16668546,0.6762
2022-03-15,ICICIBANK,EQ,696.15,701.5,708.1,688.0,694.95,697.35,699.51,27714580,1938666804295000.0,392031,17606360,0.6353
2022-03-16,ICICIBANK,EQ,697.35,706.9,711.4,701.25,706.6,708.0,706.68,14621688,1033292073729999.9,227926,8314947,0.5687
2022-03-17,ICICIBANK,EQ,708.0,717.8,725.0,716.2,719.45,720.1,720.5,18329844,1320673994450000.0,201059,11389149,0.6213000000000001
2022-03-21,ICICIBANK,EQ,720.1,721.0,722.9,705.5,712.0,710.75,712.37,12866839,916592065690000.0,227837,7567140,0.5881000000000001
2022-03-22,ICICIBANK,EQ,710.75,708.65,721.0,699.5,720.85,718.2,710.64,11761758,835832110395000.0,224938,6139017,0.5219
2022-03-23,ICICIBANK,EQ,718.2,725.0,726.8,714.25,716.65,718.3,720.32,7140403,514337662880000.0,113577,2599108,0.364
2022-03-24,ICICIBANK,EQ,718.3,702.45,712.7,698.0,704.25,704.2,705.87,17727969,1251356421840000.0,267821,7950743,0.4485
2022-03-25,ICICIBANK,EQ,704.2,705.0,706.1,696.65,701.55,699.25,700.66,15263007,1069415031420000.1,229582,8784841,0.5756
2022-03-28,ICICIBANK,EQ,699.25,702.0,713.4,695.65,710.5,710.35,705.39,13806166,973866925585000.0,240223,7770817,0.5629
2022-03-29,ICICIBANK,EQ,710.35,714.3,716.95,705.85,715.65,715.3,712.64,11489374,818777916440000.0,262014,5716259,0.4975
2022-03-30,ICICIBANK,EQ,715.3,721.05,731.75,719.1,729.45,730.9,727.15,20154520,1465531453320000.0,441930,13967546,0.693
2022-03-31,ICICIBANK,EQ,730.9,739.9,739.9,727.8,730.7,730.3,732.05,16046383,1174683441335000.0,215611,10454707,0.6515000000000001
2022-04-01,ICICIBANK,EQ,730.3,725.0,738.3,723.1,736.0,736.25,732.49,12658848,927248884350000.0,227312,6540160,0.5166
2022-04-04,ICICIBANK,EQ,736.25,742.0,749.8,725.0,745.15,746.6,742.4,17192197,1276348138440000.0,196009,8818007,0.5129
2022-04-05,ICICIBANK,EQ,746.6,746.8,755.45,738.0,739.25,741.8,747.59,12290391,918812535445000.1,215134,6739260,0.5483
2022-04-06,ICICIBANK,EQ,741.8,732.3,744.9,732.1,739.55,741.6,739.21,13518142,999268277320000.1,199736,7649180,0.5658
2022-04-07,ICICIBANK,EQ,741.6,737.1,757.8,737.1,748.9,748.55,749.8,15087175,1131228924720000.0,277671,8736241,0.5791
2022-04-08,ICICIBANK,EQ,748.55,749.85,756.0,743.6,754.3,754.3,751.07,15480705,1162713609760000.0,244539,9254974,0.5978
2022-04-11,ICICIBANK,EQ,754.3,752.3,765.45,751.65,760.5,759.6,760.61,13216391,1005252561320000.1,214119,7748582,0.5863
2022-04-12,ICICIBANK,EQ,759.6,757.0,768.9,750.25,764.0,763.85,759.11,14020000,1064266840129999.9,311639,8212347,0.5858
2022-04-13,ICICIBANK,EQ,763.85,769.6,772.55,760.7,761.55,762.25,766.95,16119956,1236324105260000.0,246413,10867093,0.6741
2022-04-18,ICICIBANK,EQ,762.25,751.0,762.9,749.2,759.0,757.8,756.1,17651530,1334637464185000.0,327929,12321755,0.6981
2022-04-19,ICICIBANK,EQ,757.8,761.8,777.9,757.0,759.85,766.3,769.6,31088359,2392550798690000.0,279125,23005104,0.74
2022-04-20,ICICIBANK,EQ,766.3,766.8,770.0,753.8,756.7,755.55,760.35,15984202,1215351282265000.0,260447,10676808,0.668
2022-04-21,ICICIBANK,EQ,755.55,759.05,764.2,751.2,763.65,762.35,759.27,8953098,679779573910000.0,149668,4299122,0.4802
2022-04-22,ICICIBANK,EQ,762.35,757.0,758.85,745.9,747.0,747.65,751.55,14411607,1083105986279999.9,242371,9329530,0.6474
2022-04-25,ICICIBANK,EQ,747.65,747.65,762.2,744.0,754.95,752.2,755.81,35417460,2676875112725000.0,462108,11806107,0.3333
2022-04-26,ICICIBANK,EQ,752.2,768.0,768.55,751.65,753.65,753.75,757.66,18727514,1418903941435000.0,322505,9809754,0.5238
2022-04-27,ICICIBANK,EQ,753.75,749.0,750.0,732.55,736.8,736.7,739.22,21441480,1585000261300000.0,361066,14471550,0.6748999999999999
2022-04-28,ICICIBANK,EQ,736.7,739.1,751.9,734.65,747.5,747.15,743.82,18649559,1387185269790000.0,214320,10869911,0.5829
2022-04-29,ICICIBANK,EQ,747.15,750.1,759.95,740.1,743.05,743.3,751.78,19560317,1470509937255000.0,278705,12299715,0.6288
2022-05-02,ICICIBANK,EQ,743.3,732.0,743.8,731.1,741.05,741.0,738.77,10903446,805511436875000.0,236797,6561901,0.6018
2022-05-04,ICICIBANK,EQ,741.0,746.2,747.0,721.15,726.0,724.25,734.19,12212165,896604056540000.0,288430,6959246,0.5699000000000001
2022-05-05,ICICIBANK,EQ,724.25,730.8,743.0,726.5,727.2,728.8,734.16,9121547,669670375980000.0,227919,4746607,0.5204
2022-05-06,ICICIBANK,EQ,728.8,716.25,723.0,710.3,721.0,719.25,716.39,12455025,892261615235000.0,338768,7220274,0.5797
2022-05-09,ICICIBANK,EQ,719.25,705.3,720.0,704.45,711.1,710.35,712.39,13055889,930084114229999.9,184930,7662368,0.5869
2022-05-10,ICICIBANK,EQ,710.35,705.0,720.0,705.0,709.4,711.3,711.23,12797419,910186237504999.9,226554,7724741,0.6036
2022-05-11,ICICIBANK,EQ,711.3,718.0,719.8,707.15,716.7,714.2,714.34,13516852,965568432015000.0,237100,7654536,0.5663
2022-05-12,ICICIBANK,EQ,714.2,707.55,710.7,693.3,696.0,695.8,701.29,16685166,1170114098575000.0,302970,8990120,0.5388000000000001
2022-05-13,ICICIBANK,EQ,695.8,702.4,702.4,675.0,676.4,677.35,689.67,15717043,1083950608729999.9,312889,8610043,0.5478000000000001
2022-05-16,ICICIBANK,EQ,677.35,676.7,690.95,675.75,683.3,683.0,684.29,9025623,617618516795000.0,129681,4682052,0.5188
2022-05-17,ICICIBANK,EQ,683.0,686.1,712.0,685.15,711.65,710.0,703.33,12765052,897802658304999.9,240721,7734389,0.6059
