Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,INDUSINDBK,EQ,888.15,888.2,915.5,876.7,913.15,912.3,896.0,5594214,501239928564999.94,116999,2150122,0.38430000000000003
2022-01-04,INDUSINDBK,EQ,912.3,915.0,917.95,896.1,904.1,904.4,907.01,4102750,372123164060000.0,105235,1484880,0.3619
2022-01-05,INDUSINDBK,EQ,904.4,905.0,911.9,892.25,904.5,903.95,902.87,5448165,491899961110000.06,95567,2361942,0.4335
2022-01-06,INDUSINDBK,EQ,903.95,895.25,924.0,885.05,920.1,921.7,907.2,5209239,472584038060000.06,83867,1367861,0.2626
2022-01-07,INDUSINDBK,EQ,921.7,926.5,938.45,916.1,922.0,922.25,926.96,4207773,390042614120000.0,78661,1083606,0.2575
2022-01-10,INDUSINDBK,EQ,922.25,926.9,929.85,918.0,921.0,920.85,922.24,2569322,236952163155000.03,48161,1280742,0.4985
2022-01-11,INDUSINDBK,EQ,920.85,927.0,935.05,914.0,917.0,917.95,921.16,3383081,311636099940000.0,72202,1239927,0.3665
2022-01-12,INDUSINDBK,EQ,917.95,928.0,946.6,920.1,943.5,941.55,936.63,5506622,515765566610000.06,105507,2309133,0.4193
2022-01-13,INDUSINDBK,EQ,941.55,948.0,950.0,926.0,926.25,927.1,932.29,2109207,196639280600000.0,52999,841992,0.3992
2022-01-14,INDUSINDBK,EQ,927.1,919.1,926.65,913.25,918.8,920.05,919.47,2557488,235154084244999.97,77167,1033776,0.4042
2022-01-17,INDUSINDBK,EQ,920.05,919.0,931.9,912.25,921.0,920.5,922.46,3048497,281210786215000.0,83663,1350496,0.443
2022-01-18,INDUSINDBK,EQ,920.5,920.5,927.35,895.35,901.0,899.65,914.57,3088062,282425542255000.0,66807,962020,0.3115
2022-01-19,INDUSINDBK,EQ,899.65,897.0,903.8,884.15,893.0,893.25,893.35,3628266,324129875965000.0,99890,1542904,0.4252
2022-01-20,INDUSINDBK,EQ,893.25,895.0,898.45,872.0,878.0,877.2,881.4,3565267,314241718210000.0,102789,1699158,0.47659999999999997
2022-01-21,INDUSINDBK,EQ,877.2,869.9,872.95,845.1,857.0,854.1,859.29,4042974,347409116135000.0,94838,1606417,0.3973
