Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,INFY,EQ,1887.75,1887.75,1914.05,1887.75,1899.0,1898.45,1904.82,3329616,634232613750000.0,128107,1973673,0.5928
2022-01-04,INFY,EQ,1898.45,1898.45,1906.65,1878.0,1901.0,1899.15,1888.87,3921999,740814029705000.0,120603,2372696,0.605
2022-01-05,INFY,EQ,1899.15,1900.0,1902.9,1840.0,1848.0,1844.65,1857.54,6995719,1299484460020000.0,289755,4414732,0.6311
2022-01-06,INFY,EQ,1844.65,1828.0,1828.0,1800.0,1820.5,1817.8,1812.08,6449205,1168647937110000.0,232721,3508211,0.544
2022-01-07,INFY,EQ,1817.8,1815.45,1836.0,1806.8,1816.0,1814.3,1818.56,4834389,879160662304999.9,148117,2754254,0.5697
2022-01-10,INFY,EQ,1814.3,1815.0,1869.9,1813.0,1852.1,1850.75,1852.3,7857560,1455456459435000.0,227924,4191623,0.5335
2022-01-11,INFY,EQ,1850.75,1855.0,1870.0,1850.15,1860.0,1855.6,1860.06,5142287,956495855725000.0,189308,3368155,0.655
2022-01-12,INFY,EQ,1855.6,1868.9,1889.0,1860.0,1875.8,1877.45,1874.25,5362535,1005071858800000.0,195948,2936017,0.5475
2022-01-13,INFY,EQ,1877.45,1905.0,1912.5,1866.35,1895.3,1896.8,1894.19,14277630,2704461299840000.0,390078,7175021,0.5025000000000001
2022-01-14,INFY,EQ,1896.8,1882.0,1933.0,1881.0,1925.0,1929.35,1912.85,7688506,1470698862730000.0,225842,4088757,0.5318
2022-01-17,INFY,EQ,1929.35,1938.55,1953.9,1930.5,1938.6,1939.5,1941.46,5262464,1021687439925000.0,177946,3092026,0.5876
2022-01-18,INFY,EQ,1939.5,1922.1,1945.0,1911.45,1918.0,1920.75,1924.08,3690315,710045083240000.0,209492,2370177,0.6423000000000001
2022-01-19,INFY,EQ,1920.75,1916.0,1916.0,1862.85,1865.0,1867.05,1880.01,5747770,1080585096554999.9,177957,3909158,0.6801
