Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,IOC,EQ,111.5,111.5,113.3,111.35,113.1,112.95,112.47,6684375,75177213130000.0,44749,2349075,0.3514
2022-01-04,IOC,EQ,112.95,113.7,114.9,113.25,114.0,114.05,113.96,5548059,63223476279999.99,46544,1935592,0.3489
2022-01-05,IOC,EQ,114.05,114.05,117.45,113.8,117.3,117.25,116.55,14249336,166079748495000.0,80931,4722242,0.33140000000000003
2022-01-06,IOC,EQ,117.25,117.3,117.65,113.05,117.15,117.25,116.62,7197038,83928972035000.0,47103,3411575,0.474
2022-01-07,IOC,EQ,117.25,117.65,119.2,116.95,118.45,118.5,118.26,7535679,89119653130000.0,53391,3033806,0.4026
2022-01-10,IOC,EQ,118.5,119.0,120.15,118.3,119.9,119.7,119.5,6615734,79060774820000.0,50002,2766176,0.4181
2022-01-11,IOC,EQ,119.7,120.45,120.45,118.2,118.7,118.6,118.88,5946036,70683818835000.0,52660,2895760,0.48700000000000004
2022-01-12,IOC,EQ,118.6,119.2,120.0,118.35,118.9,119.15,119.02,7165590,85282602540000.0,67073,3403873,0.47500000000000003
2022-01-13,IOC,EQ,119.15,119.65,121.5,118.85,121.5,121.15,120.22,8373086,100662501585000.0,74605,3468036,0.4142
2022-01-14,IOC,EQ,121.15,121.5,124.4,121.35,123.3,123.3,123.22,14954005,184270026700000.0,88644,4840405,0.3237
2022-01-17,IOC,EQ,123.3,125.0,125.0,123.2,123.7,123.75,123.88,9699015,120151072695000.0,69852,3234911,0.3335
2022-01-18,IOC,EQ,123.75,124.2,125.55,123.35,123.75,123.95,124.6,14263853,177725573095000.0,78084,6448654,0.4521
2022-01-19,IOC,EQ,123.95,123.6,125.6,123.0,125.1,125.1,124.87,9913407,123789687395000.0,71338,4184078,0.42210000000000003
2022-01-20,IOC,EQ,125.1,125.1,125.95,124.35,125.7,125.5,125.27,6671672,83576076115000.0,59260,2618982,0.3926
2022-01-21,IOC,EQ,125.5,124.0,125.5,120.75,121.7,121.7,122.81,9818888,120586857940000.02,73983,4120455,0.41960000000000003
2022-01-24,IOC,EQ,121.7,121.0,122.45,119.9,120.2,120.35,121.45,13110559,159232896235000.0,75312,2173214,0.4047
2022-01-25,IOC,EQ,120.35,120.2,121.7,119.3,121.5,121.45,120.67,6434320,77642391180000.0,59476,2495415,0.38780000000000003
2022-01-27,IOC,EQ,121.45,120.9,123.75,119.8,123.1,122.7,121.94,8593559,104789585495000.0,93417,3299954,0.384
2022-01-28,IOC,EQ,122.7,123.3,127.05,123.3,124.5,124.1,125.38,9996713,125342862645000.0,71908,3511097,0.35119999999999996
2022-01-31,IOC,EQ,124.1,126.7,128.0,124.2,125.2,125.2,126.19,13191388,166461283240000.0,91256,4336076,0.3287
2022-02-01,IOC,EQ,125.2,126.0,126.0,119.5,121.75,121.75,121.78,23085078,281122416675000.0,115679,9442356,0.409
2022-02-02,IOC,EQ,121.75,122.5,124.95,122.2,124.9,124.45,123.53,9832796,121467041830000.0,74143,4173544,0.42450000000000004
2022-02-03,IOC,EQ,124.45,125.4,125.85,124.15,124.4,124.65,124.85,8744759,109181983030000.0,70072,3585489,0.41000000000000003
2022-02-04,IOC,EQ,124.65,124.9,125.35,123.7,124.35,124.15,124.47,7149068,88987572775000.0,57670,3319075,0.4643
2022-02-07,IOC,EQ,124.15,124.5,124.6,122.5,123.1,122.9,123.17,8968249,110458568409999.98,61392,5183472,0.578
2022-02-08,IOC,EQ,122.9,123.1,123.55,120.0,121.55,121.35,121.09,15697108,190075269975000.0,80230,8438662,0.5376
2022-02-09,IOC,EQ,121.35,118.5,121.7,117.75,121.25,121.05,120.33,11720982,141039125005000.0,75334,4041321,0.3448
2022-02-10,IOC,EQ,121.05,121.1,121.45,119.65,120.0,119.95,120.47,12080112,145530675735000.0,86201,3715505,0.30760000000000004
2022-02-11,IOC,EQ,119.95,119.5,122.65,119.05,122.1,122.05,121.57,17657900,214670309025000.0,95763,6483363,0.36719999999999997
2022-02-14,IOC,EQ,122.05,121.0,121.0,116.15,116.65,116.55,118.53,10975847,130095906915000.02,101414,5164703,0.4706
2022-02-15,IOC,EQ,116.55,117.0,119.0,114.5,118.6,118.75,116.68,8652149,100952353310000.0,78883,2210391,0.2555
2022-02-16,IOC,EQ,118.75,119.25,122.2,119.25,121.3,121.5,121.05,11782127,142621504175000.0,64566,3229785,0.2741
2022-02-17,IOC,EQ,121.5,122.85,123.95,120.5,121.35,121.4,122.25,11183068,136712258645000.0,59075,3645394,0.326
2022-02-18,IOC,EQ,121.4,121.4,122.3,120.6,121.1,121.15,121.35,5319044,64544192704999.99,36910,1949813,0.3666
2022-02-21,IOC,EQ,121.15,120.0,121.15,118.6,119.0,119.2,119.8,5730295,68646152890000.0,48355,1603009,0.2797
2022-02-22,IOC,EQ,119.2,117.0,118.65,116.5,117.1,117.1,117.31,7606407,89231234545000.0,84228,3149449,0.41409999999999997
2022-02-23,IOC,EQ,117.1,117.8,118.3,116.5,117.4,117.15,117.41,5683477,66730388715000.0,53945,2515073,0.4425
2022-02-24,IOC,EQ,117.15,114.95,116.2,109.3,110.15,110.0,112.83,13232094,149299214720000.0,118310,5083702,0.38420000000000004
2022-02-25,IOC,EQ,110.0,113.0,118.5,111.0,112.4,112.35,112.6,18699142,210548803325000.0,119965,6832416,0.3654
2022-02-28,IOC,EQ,112.35,112.8,116.2,110.6,115.05,115.0,113.36,16521199,187290604570000.0,88091,6533626,0.39549999999999996
2022-03-02,IOC,EQ,115.0,113.75,116.4,111.45,112.4,112.25,113.5,14926831,169417406145000.0,102730,7586854,0.5083
2022-03-03,IOC,EQ,112.25,115.0,116.5,113.0,114.9,114.65,114.88,18861056,216682916415000.0,144090,5968388,0.3164
2022-03-04,IOC,EQ,114.65,114.95,115.4,112.8,113.3,113.25,113.5,16670574,189214564415000.0,99814,8045157,0.4826
2022-03-07,IOC,EQ,113.25,113.95,113.95,111.2,112.5,112.25,112.47,16928369,190400241730000.0,134556,7463648,0.44090000000000007
2022-03-08,IOC,EQ,112.25,112.0,117.75,111.6,117.0,117.05,114.49,22322573,255570028794999.97,129741,10459543,0.4686
2022-03-09,IOC,EQ,117.05,118.9,118.9,115.8,117.1,116.95,116.83,15650703,182849467340000.0,100110,5876025,0.3754
2022-03-10,IOC,EQ,116.95,119.05,121.4,117.7,120.8,120.95,120.31,18394923,221304483305000.03,106391,6563760,0.3568
2022-03-11,IOC,EQ,120.95,120.8,124.4,120.4,123.6,123.7,122.28,12398829,151609801835000.0,78003,4335139,0.3496
2022-03-14,IOC,EQ,123.7,124.85,124.85,120.05,120.5,120.8,121.18,14878543,180294462580000.0,92848,5631485,0.3785
2022-03-15,IOC,EQ,120.8,120.8,121.05,118.2,119.0,119.0,119.47,11001228,131434500520000.0,68540,3729196,0.33899999999999997
2022-03-16,IOC,EQ,119.0,120.3,122.6,119.45,121.8,121.95,120.58,10117835,122000198720000.0,62101,4777926,0.4722
2022-03-17,IOC,EQ,121.95,122.4,122.9,120.1,121.35,121.35,121.09,27800074,336640323960000.0,89691,16322974,0.5872
2022-03-21,IOC,EQ,121.35,121.8,121.8,117.8,118.0,118.0,119.14,12111014,144294269775000.0,79471,5209341,0.4301
2022-03-22,IOC,EQ,118.0,119.0,121.85,118.5,120.55,120.65,120.25,20619526,247946794490000.0,137739,6219371,0.30160000000000003
2022-03-23,IOC,EQ,120.65,121.85,123.0,120.65,121.5,121.7,121.41,16847442,204544652245000.0,74770,6780538,0.4025
2022-03-24,IOC,EQ,121.7,121.8,122.15,120.35,120.45,120.6,121.17,8251754,99983669550000.0,51573,3416789,0.41409999999999997
2022-03-25,IOC,EQ,120.6,120.05,120.85,118.6,118.85,118.8,119.31,8158981,97344589000000.0,55234,3158916,0.3872
2022-03-28,IOC,EQ,118.8,119.4,120.7,117.7,119.8,119.95,119.38,10228584,122109461240000.02,57928,3179032,0.31079999999999997
