Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,ITC,EQ,218.05,218.05,219.85,217.05,219.1,219.1,218.68,7765495,169813958470000.0,90982,3536174,0.4554
2022-01-04,ITC,EQ,219.1,219.5,221.7,219.05,219.8,220.25,220.23,9050253,199314252745000.0,74888,4546218,0.5023
2022-01-05,ITC,EQ,220.25,219.65,221.5,218.65,220.35,220.55,220.27,11230588,247377270775000.0,87423,4987928,0.4441
2022-01-06,ITC,EQ,220.55,219.0,220.4,218.2,218.75,218.7,218.75,8950589,195794513950000.0,81908,4520748,0.5051
2022-01-07,ITC,EQ,218.7,219.8,220.65,217.5,218.45,218.4,218.9,8855041,193837110905000.0,81330,4486192,0.5065999999999999
2022-01-10,ITC,EQ,218.4,219.9,224.7,218.9,223.3,223.3,222.88,15841299,353068013230000.0,121707,6645530,0.41950000000000004
2022-01-11,ITC,EQ,223.3,223.35,224.25,221.2,222.0,221.95,222.43,8020695,178405380630000.0,97475,4607116,0.5744
2022-01-12,ITC,EQ,221.95,222.5,223.65,221.6,222.5,222.75,222.71,13158894,293067379765000.0,89408,8382352,0.637
2022-01-13,ITC,EQ,222.75,223.9,225.8,222.75,223.9,223.95,223.92,11501088,257533004694999.97,128264,5351318,0.46530000000000005
2022-01-14,ITC,EQ,223.95,223.95,224.8,222.3,222.9,222.6,223.49,10569725,236222636569999.97,84726,6078505,0.5751
2022-01-17,ITC,EQ,222.6,222.6,225.6,221.35,224.75,224.6,223.95,12318313,275872309990000.0,86056,6318200,0.5129
2022-01-18,ITC,EQ,224.6,224.6,227.3,220.3,220.6,220.75,223.59,14394097,321835373420000.0,119118,6290866,0.43700000000000006
2022-01-19,ITC,EQ,220.75,220.75,222.4,218.7,220.4,220.35,220.28,11473796,252739722015000.0,87833,5730573,0.4994
2022-01-20,ITC,EQ,220.35,220.55,222.15,218.0,219.1,218.75,219.95,17329896,381170963510000.0,131195,10992084,0.6343
2022-01-21,ITC,EQ,218.75,218.5,220.5,216.0,217.3,217.05,218.4,16586264,362252193200000.0,127609,8458251,0.51
2022-01-24,ITC,EQ,217.05,217.05,217.75,210.9,211.65,211.8,213.4,17354942,370347924395000.0,169142,8547510,0.5325
2022-01-25,ITC,EQ,211.8,212.0,214.7,209.55,214.05,214.3,212.33,18322935,389044049635000.0,172743,9607140,0.5243
2022-01-27,ITC,EQ,214.3,211.25,215.5,211.1,215.35,214.6,213.17,23149684,493477016185000.06,200471,14292200,0.6174000000000001
2022-01-28,ITC,EQ,214.6,215.1,219.25,215.1,217.5,217.6,218.12,15276991,333227992290000.0,113395,7820587,0.5119
2022-01-31,ITC,EQ,217.6,218.5,220.75,217.1,220.0,220.2,218.95,15039006,329284982450000.0,147611,8322228,0.5534
2022-02-01,ITC,EQ,220.2,221.0,228.8,219.15,227.9,227.75,224.71,43207074,970892918204999.9,253512,16823834,0.38939999999999997
2022-02-02,ITC,EQ,227.75,230.0,233.3,229.0,231.85,232.15,231.53,41130638,952282134260000.0,258107,18431221,0.44810000000000005
2022-02-03,ITC,EQ,232.15,232.15,235.2,231.8,233.5,234.45,233.64,27845963,650591446225000.0,192214,11700940,0.4202
2022-02-04,ITC,EQ,234.45,237.25,238.5,231.55,233.6,234.3,235.16,56705951,1333508675210000.0,326999,24798688,0.43729999999999997
2022-02-07,ITC,EQ,234.3,234.0,234.75,228.5,230.35,230.2,230.77,24171083,557785717645000.0,140323,12817471,0.5303
2022-02-08,ITC,EQ,230.2,230.3,232.3,229.05,230.95,231.25,230.62,16201280,373632533295000.0,117574,8911274,0.55
