Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,JSWSTEEL,EQ,655.95,655.95,671.0,654.7,670.95,667.05,662.73,2383218,157943444675000.0,32407,931870,0.391
2022-01-04,JSWSTEEL,EQ,667.05,670.0,673.9,663.4,670.1,670.4,668.95,1999008,133723926950000.0,35345,388283,0.1942
2022-01-05,JSWSTEEL,EQ,670.4,668.1,697.0,666.35,693.0,694.5,687.22,6342812,435888654095000.0,87848,1807665,0.28500000000000003
2022-01-06,JSWSTEEL,EQ,694.5,692.0,692.5,672.2,673.8,673.95,679.43,4714784,320338642340000.0,69898,1508328,0.3199
2022-01-07,JSWSTEEL,EQ,673.95,676.0,679.0,667.5,672.1,672.85,673.19,2862614,192709011965000.0,47871,793143,0.2771
2022-01-10,JSWSTEEL,EQ,672.85,677.9,679.5,670.0,672.5,672.1,674.04,1841965,124155845084999.98,30769,629889,0.342
2022-01-11,JSWSTEEL,EQ,672.1,664.0,668.55,643.25,649.2,645.7,652.64,6912370,451129206485000.06,96672,2790910,0.40380000000000005
2022-01-12,JSWSTEEL,EQ,645.7,652.0,659.2,649.0,656.15,657.05,654.81,5343630,349908368830000.0,54039,2291278,0.4288
2022-01-13,JSWSTEEL,EQ,657.05,659.0,691.55,657.25,685.45,687.85,678.54,7202966,488750184155000.0,123141,1898751,0.2636
2022-01-14,JSWSTEEL,EQ,687.85,679.9,689.55,677.25,681.1,682.7,683.78,2054419,140476950480000.0,36994,388148,0.1889
2022-01-17,JSWSTEEL,EQ,682.7,682.0,704.85,675.4,699.8,699.4,694.99,5920282,411450874660000.0,77224,1680638,0.2839
2022-01-18,JSWSTEEL,EQ,699.4,703.35,704.55,677.55,679.25,680.2,690.42,3450193,238209239430000.03,77224,1072368,0.31079999999999997
2022-01-19,JSWSTEEL,EQ,680.2,681.0,689.25,660.0,677.7,674.65,674.14,4889920,329650595780000.0,65313,1109694,0.22690000000000002
2022-01-20,JSWSTEEL,EQ,674.65,679.0,686.0,672.4,683.7,682.5,679.91,2862609,194630610990000.0,58270,510197,0.1782
2022-01-21,JSWSTEEL,EQ,682.5,678.9,680.0,662.15,666.8,666.25,670.69,3836844,257331896135000.0,54824,1147196,0.299
2022-01-24,JSWSTEEL,EQ,666.25,656.5,657.0,618.0,620.15,621.8,635.69,7296421,463826350695000.0,113057,1211676,0.27140000000000003
2022-01-25,JSWSTEEL,EQ,621.8,620.0,640.6,612.6,629.45,631.15,631.42,5007835,316207154545000.0,81406,1323550,0.2643
2022-01-27,JSWSTEEL,EQ,631.15,619.0,632.15,612.05,630.15,626.1,622.31,4760551,296254562725000.0,84674,1178296,0.2475
2022-01-28,JSWSTEEL,EQ,626.1,631.0,645.9,625.55,629.0,628.05,636.62,3719102,236765277319999.97,64462,933325,0.251
2022-01-31,JSWSTEEL,EQ,628.05,636.0,639.0,628.0,630.4,628.95,632.3,2892647,182901191010000.0,55351,687726,0.2377
2022-02-01,JSWSTEEL,EQ,628.95,633.95,658.85,628.0,654.5,654.3,644.62,5150345,332003445520000.0,83661,969222,0.1882
2022-02-02,JSWSTEEL,EQ,654.3,660.0,663.8,652.2,658.8,659.85,658.59,2562721,168778170245000.0,55313,498384,0.1945
2022-02-03,JSWSTEEL,EQ,659.85,657.0,667.4,650.0,650.45,653.15,659.69,2456228,162033968785000.0,43674,493719,0.201
2022-02-04,JSWSTEEL,EQ,653.15,647.0,665.9,647.0,657.0,657.35,660.99,3284062,217073663965000.0,64856,529834,0.1613
2022-02-07,JSWSTEEL,EQ,657.35,659.4,666.65,645.6,652.3,651.15,656.61,2768417,181778167630000.0,52229,579000,0.2091
2022-02-08,JSWSTEEL,EQ,651.15,655.6,662.9,644.25,659.9,660.1,656.89,3184065,209157330970000.0,57009,409997,0.1288
2022-02-09,JSWSTEEL,EQ,660.1,662.85,666.6,657.85,662.65,663.05,662.14,2200828,145724775140000.0,41436,433314,0.19690000000000002
2022-02-10,JSWSTEEL,EQ,663.05,666.2,678.0,664.1,672.0,672.55,673.55,4284880,288606854170000.0,79471,1158499,0.2704
2022-02-11,JSWSTEEL,EQ,672.55,668.95,675.0,659.65,668.45,671.4,668.89,3122555,208864653355000.0,59671,631779,0.2023
2022-02-14,JSWSTEEL,EQ,671.4,656.3,665.0,604.3,627.95,626.55,634.53,6491576,411906867670000.0,99699,1338710,0.20620000000000002
2022-02-15,JSWSTEEL,EQ,626.55,635.85,643.45,617.1,639.1,640.65,630.11,4001839,252160373569999.97,85646,798214,0.1995
2022-02-16,JSWSTEEL,EQ,640.65,641.15,646.15,635.0,636.7,638.0,640.93,1939683,124320239759999.98,35886,322028,0.166
2022-02-17,JSWSTEEL,EQ,638.0,641.8,649.45,634.4,637.3,638.2,642.24,2382178,152993726900000.0,38617,374179,0.15710000000000002
2022-02-18,JSWSTEEL,EQ,638.2,635.2,642.5,631.15,632.1,632.85,636.67,1458069,92830481765000.0,32067,265071,0.1818
2022-02-21,JSWSTEEL,EQ,632.85,631.9,635.0,621.25,623.0,623.1,627.96,1857572,116647806655000.0,38362,329874,0.1776
2022-02-22,JSWSTEEL,EQ,623.1,611.0,624.7,602.5,620.0,622.0,613.2,3353278,205623725520000.0,61497,657985,0.1962
2022-02-23,JSWSTEEL,EQ,622.0,624.5,627.95,612.85,613.85,614.7,619.28,2339927,144906704885000.0,49018,560207,0.23940000000000003
2022-02-24,JSWSTEEL,EQ,614.7,599.0,604.5,566.0,570.0,569.35,586.22,5487481,321687146495000.0,126101,1361437,0.2481
2022-02-25,JSWSTEEL,EQ,569.35,576.15,605.95,576.15,598.4,598.6,595.33,4524909,269383479540000.0,72659,924602,0.2043
