Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,KOTAKBANK,EQ,1796.1,1797.0,1828.1,1791.6,1824.0,1824.45,1810.09,1985109,359322128305000.0,71728,1174553,0.5917
2022-01-04,KOTAKBANK,EQ,1824.45,1830.0,1857.0,1815.3,1852.6,1852.6,1842.73,2635575,485665487880000.0,84854,1644402,0.6239
2022-01-05,KOTAKBANK,EQ,1852.6,1857.0,1928.35,1840.1,1916.65,1922.15,1902.22,4208167,800486578495000.0,135295,2294489,0.5452
2022-01-06,KOTAKBANK,EQ,1922.15,1907.1,1915.0,1875.0,1887.8,1891.9,1892.48,2258030,427326555100000.0,104702,1145808,0.5074000000000001
2022-01-07,KOTAKBANK,EQ,1891.9,1891.9,1925.4,1883.6,1905.9,1904.25,1907.91,2303351,439458177730000.0,79091,1100043,0.47759999999999997
2022-01-10,KOTAKBANK,EQ,1904.25,1904.25,1955.3,1901.35,1948.0,1947.95,1938.7,2862087,554873247855000.0,96782,1842041,0.6436000000000001
2022-01-11,KOTAKBANK,EQ,1947.95,1948.0,1954.25,1920.2,1940.15,1936.8,1937.88,2714019,525943031930000.0,132031,1575019,0.5803
2022-01-12,KOTAKBANK,EQ,1936.8,1954.8,1976.15,1947.15,1957.4,1956.6,1963.17,2149396,421962327805000.0,101902,1290444,0.6004
2022-01-13,KOTAKBANK,EQ,1956.6,1960.0,1966.9,1922.55,1930.25,1926.35,1936.61,1487152,288002974790000.0,70299,819399,0.551
2022-01-14,KOTAKBANK,EQ,1926.35,1909.0,1945.0,1898.0,1931.0,1938.2,1920.79,1828762,351266750050000.0,54543,745658,0.40770000000000006
2022-01-17,KOTAKBANK,EQ,1938.2,1922.0,1952.95,1918.6,1940.35,1937.45,1933.02,1676473,324066346195000.0,64746,844247,0.5036
2022-01-18,KOTAKBANK,EQ,1937.45,1930.0,1975.0,1930.0,1940.05,1942.15,1954.43,2081456,406805805275000.0,96489,874439,0.4201
2022-01-19,KOTAKBANK,EQ,1942.15,1945.0,1945.0,1900.1,1908.4,1905.65,1915.33,1521702,291456383630000.0,71692,582322,0.38270000000000004
2022-01-20,KOTAKBANK,EQ,1905.65,1925.0,1925.0,1877.0,1893.9,1892.6,1896.83,1489821,282594209790000.0,78944,623391,0.41840000000000005
2022-01-21,KOTAKBANK,EQ,1892.6,1868.25,1901.0,1849.55,1897.0,1893.75,1876.37,1753896,329095503070000.0,94543,823777,0.4697
2022-01-24,KOTAKBANK,EQ,1893.75,1884.1,1887.9,1810.0,1824.5,1830.9,1842.79,2547434,469439150080000.0,106050,1048623,0.47759999999999997
2022-01-25,KOTAKBANK,EQ,1830.9,1814.7,1873.9,1782.2,1867.0,1854.65,1826.27,2569065,469181521505000.0,138984,1182197,0.46020000000000005
2022-01-27,KOTAKBANK,EQ,1854.65,1840.0,1898.55,1821.15,1895.0,1889.25,1860.37,3718619,691799564795000.0,154794,1900941,0.5112
2022-01-28,KOTAKBANK,EQ,1889.25,1895.0,1956.9,1888.65,1891.3,1898.3,1914.23,4971964,951746927465000.0,168963,2018168,0.40590000000000004
2022-01-31,KOTAKBANK,EQ,1898.3,1920.0,1938.9,1841.0,1857.5,1857.25,1865.07,4516625,842383875465000.0,184120,2294391,0.508
