Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,LT,EQ,1895.9,1895.0,1937.45,1893.65,1924.0,1922.85,1923.55,1906676,366758241815000.0,78718,974173,0.5109
2022-01-04,LT,EQ,1922.85,1922.85,1943.0,1914.55,1937.5,1937.55,1930.71,1643920,317393838660000.0,61437,943982,0.5742
2022-01-05,LT,EQ,1937.55,1940.7,1951.0,1927.65,1945.8,1948.6,1939.88,1711667,332042190545000.0,64313,1029751,0.6016
2022-01-06,LT,EQ,1948.6,1944.5,1953.0,1919.6,1924.5,1924.5,1931.24,1372015,264968678100000.0,75564,733619,0.5347
2022-01-07,LT,EQ,1924.5,1929.05,1934.95,1897.15,1906.0,1904.9,1911.48,1447123,276614187950000.0,65033,926052,0.6399
2022-01-10,LT,EQ,1904.9,1910.0,1959.95,1907.25,1952.95,1953.1,1932.01,2397846,463266959600000.0,113910,1530736,0.6384000000000001
2022-01-11,LT,EQ,1953.1,1949.0,1970.0,1937.65,1960.0,1961.15,1957.29,2232435,436953338095000.0,116361,1437673,0.644
2022-01-12,LT,EQ,1961.15,1978.5,1984.0,1960.3,1967.45,1974.2,1972.68,1585970,312861789395000.0,100678,925782,0.5837
2022-01-13,LT,EQ,1974.2,1975.55,2029.0,1975.55,2023.0,2018.4,2000.94,2373324,474888827875000.0,114519,1143333,0.4817
2022-01-14,LT,EQ,2018.4,2014.0,2049.95,2007.0,2042.0,2044.75,2038.32,3124945,636964501855000.0,110302,1738187,0.5562
2022-01-17,LT,EQ,2044.75,2044.75,2071.95,2042.0,2070.65,2069.4,2058.24,1858651,382555793120000.0,73766,1063717,0.5723
2022-01-18,LT,EQ,2069.4,2075.65,2078.55,2010.55,2025.95,2022.2,2045.06,1460676,298716461055000.0,87061,661714,0.45299999999999996
2022-01-19,LT,EQ,2022.2,2019.9,2027.0,1987.0,2016.85,2020.9,2011.25,2336679,469964588930000.0,97519,1360826,0.5824
2022-01-20,LT,EQ,2020.9,2020.0,2035.0,1984.1,2002.4,2003.5,2002.76,2031107,406782937290000.0,88049,1217560,0.5995
2022-01-21,LT,EQ,2003.5,1982.15,1994.8,1943.05,1963.5,1956.05,1965.56,2209132,434218261889999.94,150766,1435214,0.6497
2022-01-24,LT,EQ,1956.05,1955.0,1959.0,1881.55,1897.0,1899.9,1913.63,2307120,441497387180000.0,121335,1501832,0.5695
2022-01-25,LT,EQ,1899.9,1895.0,1931.3,1850.1,1919.35,1925.3,1899.52,2998042,569482648030000.0,150876,1726331,0.5758
2022-01-27,LT,EQ,1925.3,1914.55,1922.0,1867.0,1913.2,1910.85,1896.79,2932713,556273854325000.0,161007,1564122,0.5333
2022-01-28,LT,EQ,1910.85,1916.1,1948.0,1891.3,1897.85,1897.55,1922.61,2233620,429438675965000.0,108456,977043,0.4374
