Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,M&M,EQ,837.15,835.0,840.0,826.3,830.3,829.8,832.77,1537088,128003878165000.02,49111,545121,0.3546
2022-01-04,M&M,EQ,829.8,837.95,842.0,825.65,832.45,831.85,833.68,1886453,157270089880000.0,57221,726887,0.38530000000000003
2022-01-05,M&M,EQ,831.85,830.0,847.0,830.0,839.0,839.5,840.24,2634010,221321349085000.0,76339,1195157,0.4537
2022-01-06,M&M,EQ,839.5,839.0,842.25,827.5,840.3,839.85,836.27,2962301,247729651669999.97,66379,1590172,0.5368
2022-01-07,M&M,EQ,839.85,841.0,849.75,822.5,829.0,829.0,835.03,2531717,211406551780000.0,113315,1201686,0.4747
2022-01-10,M&M,EQ,829.0,835.95,846.75,829.7,842.0,841.95,840.37,3403434,286014075430000.0,78268,1630876,0.4792
2022-01-11,M&M,EQ,841.95,842.0,848.75,835.55,841.25,841.4,841.02,2117911,178120872000000.0,87140,1140276,0.5384000000000001
2022-01-12,M&M,EQ,841.4,846.8,884.2,842.5,879.5,880.55,868.13,9022415,783264584375000.0,180565,3638643,0.4033
2022-01-13,M&M,EQ,880.55,880.55,909.5,868.0,892.4,896.0,889.19,5658001,503102214630000.0,124908,1862052,0.32909999999999995
2022-01-14,M&M,EQ,896.0,889.8,895.95,879.65,881.0,881.2,886.1,2027852,179688816950000.0,52749,970265,0.47850000000000004
2022-01-17,M&M,EQ,881.2,884.2,904.0,882.65,899.7,900.8,895.26,3617269,323839676755000.0,84807,1581552,0.4372
2022-01-18,M&M,EQ,900.8,902.0,910.1,888.3,892.15,892.15,899.7,3468168,312032054215000.0,82848,1831535,0.5281
2022-01-19,M&M,EQ,892.15,908.95,908.95,880.8,894.2,894.4,894.07,4215758,376917046215000.0,98330,1430512,0.3393
2022-01-20,M&M,EQ,894.4,896.0,897.6,872.85,882.3,880.5,883.2,2486026,219564687165000.0,105006,1272449,0.5118
2022-01-21,M&M,EQ,880.5,875.8,884.9,865.2,874.0,875.2,876.6,1872843,164173912025000.0,70377,822622,0.43920000000000003
2022-01-24,M&M,EQ,875.2,871.2,878.35,848.05,855.4,854.7,859.95,3386669,291236886740000.0,92127,2611911,0.6399
2022-01-25,M&M,EQ,854.7,846.1,858.25,845.25,851.5,854.5,852.29,4742388,404189966510000.0,121727,2958671,0.6239
2022-01-27,M&M,EQ,854.5,845.6,862.85,841.2,857.35,858.05,853.36,2927566,249826605510000.0,85813,1525409,0.5211
2022-01-28,M&M,EQ,858.05,864.4,896.0,860.4,871.0,869.65,881.51,4208702,371002103430000.0,111928,1800269,0.4277
2022-01-31,M&M,EQ,869.65,878.9,888.85,872.1,884.0,885.8,882.71,2335040,206116012725000.0,71194,1167543,0.5
2022-02-01,M&M,EQ,885.8,892.0,894.7,864.2,873.8,869.7,881.89,2921070,257605031560000.0,80888,1365698,0.4675
2022-02-02,M&M,EQ,869.7,875.7,880.3,865.15,870.4,869.35,870.72,1341479,116805806859999.98,54049,494237,0.36840000000000006
2022-02-03,M&M,EQ,869.35,868.0,882.4,852.15,854.1,856.2,867.46,2630289,228167384394999.97,65866,1137112,0.43229999999999996
2022-02-04,M&M,EQ,856.2,861.4,861.4,836.15,839.75,841.7,845.91,2080640,176002506900000.0,89041,913043,0.4388
2022-02-07,M&M,EQ,841.7,841.0,844.7,822.2,829.0,829.5,830.31,1801701,149597064030000.0,72130,585233,0.3248
2022-02-08,M&M,EQ,829.5,830.0,837.7,817.15,830.45,832.05,826.79,2729631,225681847615000.0,74665,942784,0.3454
2022-02-09,M&M,EQ,832.05,838.0,845.95,833.15,841.05,840.2,839.73,2165223,181820704865000.0,70123,1216124,0.5617
2022-02-10,M&M,EQ,840.2,844.0,857.75,830.15,853.0,853.05,846.5,6949276,588255037555000.0,164837,3708261,0.5336
2022-02-11,M&M,EQ,853.05,853.0,861.95,835.6,850.0,853.65,849.49,5146850,437218456675000.0,109476,1943537,0.3776
2022-02-14,M&M,EQ,853.65,841.75,845.4,780.7,821.45,825.05,826.1,4202165,347139600490000.0,106397,1901009,0.4524
2022-02-15,M&M,EQ,825.05,828.0,858.0,820.4,854.05,854.6,841.67,2728328,229634469165000.0,89880,956533,0.3506
2022-02-16,M&M,EQ,854.6,854.6,878.5,854.6,861.5,864.25,871.27,4401342,383473835100000.0,130828,1588431,0.36090000000000005
2022-02-17,M&M,EQ,864.25,872.0,877.3,859.0,860.0,862.25,867.68,2041741,177157939615000.0,46429,803144,0.3934
2022-02-18,M&M,EQ,862.25,857.2,869.75,847.15,850.0,852.0,858.64,1616856,138830154995000.0,41067,645913,0.3995
2022-02-21,M&M,EQ,852.0,845.2,850.5,832.0,842.0,841.1,842.11,2255753,189959938310000.0,101530,1133685,0.5025999999999999
2022-02-22,M&M,EQ,841.1,827.0,856.0,823.35,855.6,853.25,839.7,2768989,232513278235000.0,93787,1404949,0.5074000000000001
2022-02-23,M&M,EQ,853.25,856.0,869.7,845.7,849.8,850.3,856.08,2265060,193906356845000.0,104276,904320,0.3992
2022-02-24,M&M,EQ,850.3,818.1,831.9,790.5,796.6,795.8,809.6,5677898,459680409305000.0,162423,3266389,0.5753
2022-02-25,M&M,EQ,795.8,812.7,825.0,802.0,808.0,807.6,812.21,3470318,281863305690000.0,114280,1737367,0.5006
2022-02-28,M&M,EQ,807.6,807.0,807.0,786.75,791.1,790.85,793.13,5026913,398698310545000.0,140193,2790267,0.5551
2022-03-02,M&M,EQ,790.85,785.5,810.75,769.0,784.1,778.35,786.46,5779175,454510649989999.94,129730,2483293,0.42969999999999997
2022-03-03,M&M,EQ,778.35,792.0,793.15,760.05,762.5,762.05,773.41,2763929,213764292770000.0,79859,1184165,0.42840000000000006
2022-03-04,M&M,EQ,762.05,750.0,756.0,730.0,732.6,732.3,740.02,4829850,357419782520000.0,177129,2500960,0.5178
2022-03-07,M&M,EQ,732.3,719.85,719.85,681.75,693.6,690.55,693.23,7008637,485856593895000.0,195680,3755303,0.5357999999999999
2022-03-08,M&M,EQ,690.55,690.55,703.05,671.15,700.65,700.65,689.71,4000294,275905519240000.0,123017,1668141,0.41700000000000004
2022-03-09,M&M,EQ,700.65,705.0,739.9,700.0,731.0,734.85,724.03,5490287,397511889225000.0,124663,2542498,0.4631
2022-03-10,M&M,EQ,734.85,761.95,762.5,735.0,738.0,738.85,748.51,4064470,304229737705000.0,114430,1886207,0.46409999999999996
2022-03-11,M&M,EQ,738.85,734.0,741.8,728.7,734.25,734.8,733.94,2364792,173561958960000.0,71772,850726,0.3597
2022-03-14,M&M,EQ,734.8,734.8,746.0,725.45,744.9,743.2,734.96,3563695,261915606460000.0,81292,1735115,0.4869
2022-03-15,M&M,EQ,743.2,745.0,769.2,745.0,760.9,761.2,760.62,4811450,365970222950000.0,171353,2164557,0.4499
2022-03-16,M&M,EQ,761.2,768.85,776.0,765.0,771.45,773.65,772.02,2277631,175837969345000.0,51898,907018,0.3982
2022-03-17,M&M,EQ,773.65,785.0,799.9,777.0,792.4,794.4,790.0,3787641,299223690970000.0,90584,2179307,0.5754
2022-03-21,M&M,EQ,794.4,789.6,791.1,780.1,783.0,783.5,784.56,3008019,235998246115000.0,96872,1979916,0.6581999999999999
2022-03-22,M&M,EQ,783.5,783.0,789.05,769.0,785.0,785.6,775.74,5436875,421760070370000.0,76458,3716280,0.6835
2022-03-23,M&M,EQ,785.6,790.0,794.2,772.1,775.0,774.1,779.12,3277274,255337672130000.03,104192,1983595,0.6053000000000001
2022-03-24,M&M,EQ,774.1,773.7,780.0,762.65,764.0,765.65,770.18,2248114,173145381900000.0,90868,1281369,0.5700000000000001
2022-03-25,M&M,EQ,765.65,773.0,773.0,758.2,764.0,764.75,764.48,3148869,240724682369999.97,77572,1820596,0.5782
2022-03-28,M&M,EQ,764.75,764.9,772.7,751.3,769.3,769.25,761.65,4719388,359451227885000.0,86659,2374969,0.5032
2022-03-29,M&M,EQ,769.25,771.0,783.0,770.7,774.0,773.35,774.53,3519610,272605416194999.97,61153,1831753,0.5204
2022-03-30,M&M,EQ,773.35,779.3,795.0,775.9,794.0,793.35,789.62,4407033,347987111915000.0,86102,2895221,0.657
2022-03-31,M&M,EQ,793.35,798.0,813.0,798.0,810.0,806.55,807.51,7059986,570098445350000.0,187755,3560107,0.5043
2022-04-01,M&M,EQ,806.55,811.0,829.5,807.7,825.2,826.55,818.92,3406177,278938617594999.97,75412,1472225,0.4322
2022-04-04,M&M,EQ,826.55,818.0,836.0,810.0,832.05,833.7,826.65,4163250,344155532065000.0,104554,1828540,0.43920000000000003
2022-04-05,M&M,EQ,833.7,837.0,852.0,833.7,835.8,836.55,841.65,2669967,224718608950000.0,91454,1256004,0.4704
2022-04-06,M&M,EQ,836.55,838.7,838.7,822.95,827.0,827.85,828.66,2049292,169816105090000.0,70532,1068000,0.5212
2022-04-07,M&M,EQ,827.85,826.0,840.3,822.3,833.65,834.3,831.75,2913537,242334785119999.97,91046,1590861,0.546
2022-04-08,M&M,EQ,834.3,830.0,860.65,827.05,856.85,857.4,847.25,4145522,351230711150000.0,117074,2428322,0.5858
2022-04-11,M&M,EQ,857.4,854.95,861.35,846.2,858.15,856.85,855.9,2922901,250171634975000.0,76053,1701418,0.5821000000000001
2022-04-12,M&M,EQ,856.85,850.0,867.4,843.3,860.7,860.8,854.47,2961076,253015821985000.0,87130,1725950,0.5829
2022-04-13,M&M,EQ,860.8,862.5,875.0,862.35,865.0,866.1,868.84,3695363,321067983550000.0,76815,2360973,0.6389
2022-04-18,M&M,EQ,866.1,866.1,876.0,858.1,874.05,874.1,871.04,3076843,268005036744999.97,122568,1645477,0.5347999999999999
2022-04-19,M&M,EQ,874.1,878.1,887.8,865.1,867.5,872.5,880.55,3301212,290687256845000.0,93869,2254683,0.6829999999999999
2022-04-20,M&M,EQ,872.5,873.45,889.9,873.45,880.6,881.25,883.0,2208791,195036450975000.0,89155,954472,0.43210000000000004
2022-04-21,M&M,EQ,881.25,881.25,914.0,880.75,909.0,911.0,901.35,3206906,289054365970000.0,87195,1736442,0.5415
2022-04-22,M&M,EQ,911.0,903.8,927.05,889.05,919.0,920.65,912.33,4924905,449311703589999.94,118729,2096306,0.4257
2022-04-25,M&M,EQ,920.65,914.35,928.0,895.1,903.45,904.0,917.24,5476626,502336611645000.0,134412,3110904,0.568
2022-04-26,M&M,EQ,904.0,906.6,942.9,906.6,939.65,940.15,935.55,6384561,597308774240000.0,165183,3384915,0.5302
2022-04-27,M&M,EQ,940.15,930.0,940.7,922.95,926.0,926.85,931.23,3154605,293767641860000.0,96254,1783493,0.5654
2022-04-28,M&M,EQ,926.85,945.0,945.0,918.5,922.0,922.9,925.42,2869224,265522546515000.0,111851,1518015,0.5291
2022-04-29,M&M,EQ,922.9,928.9,939.25,918.0,924.0,922.1,930.12,3467791,322546509575000.0,84713,1957893,0.5646
2022-05-02,M&M,EQ,922.1,915.0,933.7,909.7,922.1,921.35,922.25,2740823,252772331044999.97,146590,1524125,0.5561
2022-05-04,M&M,EQ,921.35,917.9,923.95,891.05,900.0,896.1,907.18,2408261,218473099810000.0,104663,1215477,0.5047
2022-05-05,M&M,EQ,896.1,910.0,921.0,895.65,896.0,899.05,912.14,2690817,245439392780000.03,71044,1495574,0.5558
2022-05-06,M&M,EQ,899.05,890.0,914.8,887.3,895.7,893.85,901.24,4247088,382764842090000.0,122680,1271422,0.2994
2022-05-09,M&M,EQ,893.85,880.0,901.9,875.0,891.7,895.3,887.1,1790691,158852600060000.0,57128,653542,0.365
2022-05-10,M&M,EQ,895.3,895.3,910.95,884.1,886.15,888.35,897.08,2436623,218584472935000.0,95095,1180780,0.48460000000000003
