Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,NESTLEIND,EQ,19705.7,19695.0,19814.0,19638.05,19687.95,19677.95,19719.15,25869,51011457715000.0,9311,12839,0.4963
2022-01-04,NESTLEIND,EQ,19677.95,19678.0,19947.8,19628.05,19913.0,19889.05,19826.35,35034,69459648315000.0,10300,17152,0.48960000000000004
2022-01-05,NESTLEIND,EQ,19889.05,19874.0,20025.0,19829.1,19941.0,19935.75,19940.79,32432,64671986020000.01,10758,18858,0.5815
2022-01-06,NESTLEIND,EQ,19935.75,19750.1,19935.75,19535.0,19621.0,19647.55,19680.66,30709,60437325840000.0,10011,13860,0.45130000000000003
2022-01-07,NESTLEIND,EQ,19647.55,19650.5,19960.0,19587.05,19919.85,19902.85,19767.93,48983,96829241385000.0,12881,30589,0.6245
2022-01-10,NESTLEIND,EQ,19902.85,19903.0,19968.9,19679.05,19700.0,19708.0,19750.74,20617,40720109255000.0,8270,10340,0.5015
2022-01-11,NESTLEIND,EQ,19708.0,19550.0,19825.0,19550.0,19761.1,19761.95,19729.36,31788,62715684370000.01,12033,18318,0.5763
2022-01-12,NESTLEIND,EQ,19761.95,19850.0,19850.0,19660.0,19698.05,19707.1,19731.9,23711,46786309185000.0,8532,15055,0.6349
2022-01-13,NESTLEIND,EQ,19707.1,19750.0,19750.0,19600.0,19750.0,19714.4,19660.58,35383,69565022085000.0,12027,23137,0.6539
2022-01-14,NESTLEIND,EQ,19714.4,19714.4,19719.35,19270.0,19392.0,19400.15,19403.52,37190,72161676300000.0,13171,16412,0.4413
2022-01-17,NESTLEIND,EQ,19400.15,19400.0,19515.0,19111.1,19294.45,19333.2,19335.72,36403,70387825540000.0,11891,14172,0.3893
2022-01-18,NESTLEIND,EQ,19333.2,19282.0,19450.0,19188.0,19409.15,19379.6,19289.51,36208,69843456585000.0,13359,17433,0.4815
2022-01-19,NESTLEIND,EQ,19379.6,19370.0,19444.95,18572.1,19017.35,18937.0,19043.44,82383,156885570920000.0,17885,37005,0.44920000000000004
