Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,NTPC,EQ,124.4,125.4,126.55,124.7,126.25,126.0,125.91,9034081,113745727695000.0,55072,5143730,0.5694
2022-01-04,NTPC,EQ,126.0,127.0,133.3,126.75,132.5,132.9,131.1,33986738,445576450035000.06,147688,11282528,0.332
2022-01-05,NTPC,EQ,132.9,132.6,132.85,130.7,131.8,132.0,131.78,16122852,212470772330000.0,87045,7848331,0.4868
2022-01-06,NTPC,EQ,132.0,132.35,132.35,129.3,131.0,130.9,130.35,8037648,104768481405000.0,59977,3180232,0.3957
2022-01-07,NTPC,EQ,130.9,131.3,132.2,129.45,131.15,131.35,130.97,8820039,115514132825000.0,65348,3967506,0.4498
2022-01-10,NTPC,EQ,131.35,131.95,132.3,130.75,132.05,131.85,131.51,7324926,96329215160000.0,57463,3574964,0.48810000000000003
2022-01-11,NTPC,EQ,131.85,132.15,134.0,131.0,132.2,132.3,132.95,11971883,159170423375000.0,92912,4016833,0.33549999999999996
2022-01-12,NTPC,EQ,132.3,133.35,134.2,132.35,133.9,133.85,133.26,10439580,139120365859999.98,56703,5665883,0.5427000000000001
2022-01-13,NTPC,EQ,133.85,134.4,136.65,133.5,134.9,134.95,135.25,15114699,204419813880000.0,91183,8361471,0.5532
2022-01-14,NTPC,EQ,134.95,134.4,136.15,133.3,135.2,135.35,135.47,9344382,126586805800000.0,57308,4112721,0.4401
2022-01-17,NTPC,EQ,135.35,134.65,137.35,134.45,136.4,136.6,136.58,9803141,133891592230000.0,59073,5195627,0.53
2022-01-18,NTPC,EQ,136.6,136.6,137.75,134.4,134.95,135.0,135.86,6473378,87944966385000.0,54274,2947302,0.45530000000000004
2022-01-19,NTPC,EQ,135.0,134.1,135.3,132.95,134.5,134.8,134.19,21136414,283635199755000.0,70304,13402513,0.6341
2022-01-20,NTPC,EQ,134.8,134.5,136.35,134.15,134.6,134.9,135.13,8466412,114403837080000.0,51306,4185487,0.4944
2022-01-21,NTPC,EQ,134.9,134.05,136.1,132.55,134.15,134.1,134.66,12437749,167480525575000.0,83821,7306057,0.5874
2022-01-24,NTPC,EQ,134.1,133.0,135.25,131.0,131.85,132.6,133.12,14284658,190154277165000.0,86605,3585927,0.4484
2022-01-25,NTPC,EQ,132.6,131.2,135.65,131.05,135.2,135.3,133.96,10007486,134057926730000.0,80253,4616681,0.46130000000000004
2022-01-27,NTPC,EQ,135.3,134.2,136.0,133.15,134.8,135.0,134.89,18760325,253063904415000.0,86317,9188009,0.48979999999999996
2022-01-28,NTPC,EQ,135.0,140.0,144.0,138.0,140.25,140.15,140.96,34009553,479388116250000.0,180650,12176616,0.358
2022-01-31,NTPC,EQ,140.15,142.0,143.4,138.55,141.8,142.05,141.12,27928927,394134050445000.0,136282,13534048,0.48460000000000003
2022-02-01,NTPC,EQ,142.05,144.0,144.15,140.45,141.2,141.15,142.22,17413984,247661238055000.03,110716,8640385,0.4962
2022-02-02,NTPC,EQ,141.15,142.0,142.75,140.75,141.15,141.15,141.3,10783943,152382192445000.0,76546,5698362,0.5284000000000001
2022-02-03,NTPC,EQ,141.15,137.5,138.6,136.3,136.65,136.65,137.31,9571728,131433039684999.98,81773,4074328,0.4257
2022-02-04,NTPC,EQ,136.65,137.0,137.45,133.9,134.2,134.2,135.45,7213085,97704087705000.0,73982,3512615,0.48700000000000004
2022-02-07,NTPC,EQ,134.2,134.2,136.35,134.2,135.15,135.15,135.44,10562489,143061873995000.0,71704,5546304,0.5251
2022-02-08,NTPC,EQ,135.15,135.45,135.65,132.8,134.85,135.0,134.27,8721631,117109590965000.02,75003,3836564,0.4399
2022-02-09,NTPC,EQ,135.0,135.3,135.6,133.85,135.15,135.05,134.98,5144026,69433725325000.0,57888,2482125,0.4825
2022-02-10,NTPC,EQ,135.05,135.15,136.85,134.3,136.2,136.45,136.24,6081460,82854920035000.0,74376,3179686,0.5228
2022-02-11,NTPC,EQ,136.45,134.45,137.7,134.45,136.7,137.15,136.89,8426925,115360237034999.98,64483,4350965,0.5163
