Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,ONGC,EQ,142.4,142.35,143.45,141.2,143.0,143.05,142.87,3765911,53803847940000.0,39497,1197480,0.318
2022-01-04,ONGC,EQ,143.05,143.1,148.6,143.1,148.3,147.8,147.14,16351836,240606717025000.0,120100,4219821,0.2581
2022-01-05,ONGC,EQ,147.8,148.5,151.1,147.4,150.0,150.35,149.21,12977680,193640768690000.0,163722,4905981,0.378
2022-01-06,ONGC,EQ,150.35,150.6,151.4,148.35,150.55,150.8,149.99,9012777,135186026680000.0,66964,4347446,0.48240000000000005
2022-01-07,ONGC,EQ,150.8,151.5,157.5,151.35,157.1,157.05,155.67,30889365,480860233735000.06,168673,11845070,0.3835
2022-01-10,ONGC,EQ,157.05,158.25,159.4,156.4,159.1,158.35,157.65,16418985,258843463544999.97,97131,8791930,0.5355
2022-01-11,ONGC,EQ,158.35,158.8,161.65,157.6,160.85,160.95,159.62,14457548,230772461155000.03,111334,6546773,0.45280000000000004
2022-01-12,ONGC,EQ,160.95,162.7,165.7,161.4,164.2,164.95,163.95,21220614,347908231325000.0,119153,9395388,0.44270000000000004
2022-01-13,ONGC,EQ,164.95,164.95,165.5,163.05,163.4,163.95,164.13,7445346,122200541930000.0,65293,2805205,0.3768
2022-01-14,ONGC,EQ,163.95,162.95,163.3,160.2,160.9,161.05,161.29,11646259,187845226285000.0,77709,5745974,0.49340000000000006
2022-01-17,ONGC,EQ,161.05,162.5,168.2,162.3,166.25,165.85,166.09,32577835,541094204539999.94,177067,15907750,0.4883
2022-01-18,ONGC,EQ,165.85,168.3,168.4,163.4,164.25,163.85,165.68,11175409,185150717200000.0,82854,3644210,0.3261
2022-01-19,ONGC,EQ,163.85,165.3,171.0,164.9,169.5,170.25,168.57,36648534,617791754855000.0,193216,13759209,0.3754
2022-01-20,ONGC,EQ,170.25,170.9,170.9,166.5,166.9,166.85,168.52,14474454,243917869680000.03,96690,6311696,0.4361
2022-01-21,ONGC,EQ,166.85,165.3,166.4,162.3,164.0,163.65,164.15,8625926,141591927745000.0,57305,3115603,0.36119999999999997
2022-01-24,ONGC,EQ,163.65,165.2,168.3,163.75,165.0,165.7,166.09,28783449,478078471400000.0,160060,5223388,0.46909999999999996
2022-01-25,ONGC,EQ,165.7,163.0,166.7,163.0,164.75,165.15,164.8,14249846,234840363494999.97,87544,6280195,0.44070000000000004
2022-01-27,ONGC,EQ,165.15,165.1,168.75,164.5,165.5,165.7,166.58,25936832,432056469785000.06,142389,9899430,0.38170000000000004
2022-01-28,ONGC,EQ,165.7,167.55,174.7,166.25,168.5,168.8,171.56,32790065,562538634760000.06,185120,11737111,0.3579
2022-01-31,ONGC,EQ,168.8,171.6,174.85,169.55,172.5,172.6,173.29,24031034,416443422225000.0,127124,10386165,0.4322
2022-02-01,ONGC,EQ,172.6,174.0,174.9,168.5,170.3,170.95,170.75,14220953,242815741785000.0,109591,6419520,0.4514
2022-02-02,ONGC,EQ,170.95,170.55,174.05,170.5,171.0,171.3,172.04,12478192,214676278650000.0,69921,5155869,0.4132
2022-02-03,ONGC,EQ,171.3,170.0,171.25,166.0,166.2,167.5,168.08,12529302,210586412990000.0,76391,6622447,0.5286
