Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,SBIN,EQ,460.45,462.0,472.0,460.1,471.5,470.8,467.17,13124509,613138832175000.0,168001,4183151,0.31870000000000004
2022-01-04,SBIN,EQ,470.8,472.5,484.7,471.05,483.75,483.5,479.89,23296671,1117985262840000.0,246431,7667089,0.32909999999999995
2022-01-05,SBIN,EQ,483.5,481.9,495.0,479.15,491.7,492.4,489.5,24694169,1208791553595000.0,240463,8282621,0.3354
2022-01-06,SBIN,EQ,492.4,487.7,494.4,485.4,491.35,491.7,490.44,18190843,892151410079999.9,195393,5957550,0.3275
2022-01-07,SBIN,EQ,491.7,493.45,501.95,489.45,491.25,491.25,495.38,22746330,1126808585665000.0,254165,6908394,0.3037
2022-01-10,SBIN,EQ,491.25,493.35,504.95,492.5,504.75,503.65,499.62,15832274,791018027985000.0,178755,4821092,0.3045
2022-01-11,SBIN,EQ,503.65,503.0,507.8,499.25,505.75,505.95,504.2,16107950,812169600640000.0,214059,4937902,0.3066
2022-01-12,SBIN,EQ,505.95,509.9,513.5,508.5,509.95,510.25,511.05,14489616,740490304850000.0,178769,6119939,0.42240000000000005
2022-01-13,SBIN,EQ,510.25,510.0,512.85,507.0,511.5,511.35,510.36,10450974,533376255850000.0,160127,3008087,0.2878
2022-01-14,SBIN,EQ,511.35,509.0,510.35,505.15,507.75,508.35,507.82,8724574,443051891680000.0,151240,3423049,0.3923
2022-01-17,SBIN,EQ,508.35,508.0,518.9,507.55,514.2,514.0,515.37,17422211,897888444910000.0,230852,7648078,0.439
2022-01-18,SBIN,EQ,514.0,514.0,517.45,505.0,507.4,506.8,512.7,12592506,645619551955000.0,144399,3657202,0.2904
2022-01-19,SBIN,EQ,506.8,505.0,517.65,500.3,515.05,515.8,508.61,16079457,817824830340000.0,190208,3368811,0.2095
2022-01-20,SBIN,EQ,515.8,516.0,519.15,508.0,511.0,511.4,513.81,17724642,910705284240000.0,193420,6303752,0.3556
2022-01-21,SBIN,EQ,511.4,505.3,507.5,498.0,504.05,502.7,503.16,16947941,852753124725000.0,215520,6856629,0.4046
2022-01-24,SBIN,EQ,502.7,502.4,506.8,488.0,493.7,494.15,497.31,20233933,1006256091435000.0,255220,6303473,0.3307
