Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,SHREECEM,EQ,26987.45,27000.0,27349.85,26890.0,27265.0,27247.4,27123.12,19537,52990446350000.0,6494,5765,0.29510000000000003
2022-01-04,SHREECEM,EQ,27247.4,27247.4,27335.55,26658.5,26950.0,26954.1,26920.63,26215,70572443880000.0,11005,9722,0.37090000000000006
2022-01-05,SHREECEM,EQ,26954.1,26902.0,27300.0,26850.2,27154.5,27214.65,27150.48,17262,46867161055000.0,6519,6858,0.3973
2022-01-06,SHREECEM,EQ,27214.65,27000.0,27167.1,26250.65,26509.0,26528.05,26600.64,25411,67594884335000.0,8952,8476,0.3336
2022-01-07,SHREECEM,EQ,26528.05,26658.65,27266.25,26572.55,27029.9,27046.25,26928.17,32658,87942018650000.0,10250,13492,0.4131
2022-01-10,SHREECEM,EQ,27046.25,27000.0,27236.95,26820.05,27000.5,26945.05,26946.37,21424,57729895190000.0,8398,10480,0.4892
2022-01-11,SHREECEM,EQ,26945.05,27000.5,27220.0,26800.0,26998.2,27038.55,27051.78,26722,72287754900000.0,9332,12206,0.4568
2022-01-12,SHREECEM,EQ,27038.55,27120.0,27283.7,26583.0,26750.0,26715.5,26772.62,41881,112126420780000.0,14710,23641,0.5645
2022-01-13,SHREECEM,EQ,26715.5,26888.0,26950.0,26360.0,26874.9,26855.3,26641.82,32020,85307098795000.0,10988,13105,0.4093
2022-01-14,SHREECEM,EQ,26855.3,26830.0,27150.0,26577.25,27000.0,27078.45,26982.09,24063,64927004290000.0,7891,9937,0.413
2022-01-17,SHREECEM,EQ,27078.45,27005.0,27936.75,26654.5,27493.8,27545.35,27264.28,47661,129944272065000.02,14796,11754,0.2466
2022-01-18,SHREECEM,EQ,27545.35,27550.0,27639.65,26850.0,26900.0,27155.55,27296.85,44022,120166203270000.0,12225,19269,0.43770000000000003
2022-01-19,SHREECEM,EQ,27155.55,26950.5,27099.5,26350.0,26395.0,26402.25,26509.56,48367,128218776420000.0,15732,18820,0.3891
2022-01-20,SHREECEM,EQ,26402.25,26578.8,26713.0,25954.9,26040.0,26072.35,26207.39,40050,104960598990000.0,15841,16992,0.4243
2022-01-21,SHREECEM,EQ,26072.35,25885.0,25885.0,24811.55,24900.0,25037.2,25107.45,133581,335387822675000.0,26715,63687,0.4768
2022-01-24,SHREECEM,EQ,25037.2,25182.6,25289.95,24072.6,24359.55,24320.9,24515.99,50537,123896470220000.0,14966,11313,0.3136
