Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,TATACONSUM,EQ,743.45,747.0,749.4,740.0,749.0,748.0,746.26,925699,69081638525000.0,29884,458486,0.4953
2022-01-04,TATACONSUM,EQ,748.0,752.0,756.7,731.05,739.0,738.85,737.66,2352482,173532286120000.0,58936,1042262,0.443
2022-01-05,TATACONSUM,EQ,738.85,740.25,743.5,726.5,733.5,733.6,731.26,2076552,151849597040000.0,55714,1008543,0.4857
2022-01-06,TATACONSUM,EQ,733.6,733.0,734.95,722.55,726.4,725.45,726.94,2077754,151039933980000.0,59362,937090,0.451
2022-01-07,TATACONSUM,EQ,725.45,725.45,744.65,725.05,738.15,736.1,735.54,2107056,154982680365000.0,44501,817756,0.38810000000000006
2022-01-10,TATACONSUM,EQ,736.1,740.45,743.0,731.0,733.2,731.9,735.81,1592097,117147370475000.0,35250,871676,0.5475
2022-01-11,TATACONSUM,EQ,731.9,736.45,743.6,730.75,737.0,738.65,737.18,1905347,140458152630000.0,50163,954386,0.5009
2022-01-12,TATACONSUM,EQ,738.65,743.0,743.3,733.15,735.6,736.1,735.96,1817215,133738975940000.02,49795,1169350,0.6435
2022-01-13,TATACONSUM,EQ,736.1,737.0,739.45,723.6,731.3,730.2,728.24,1604671,116857941580000.0,64409,720023,0.4487
2022-01-14,TATACONSUM,EQ,730.2,730.2,777.0,727.0,760.8,762.5,761.63,8733345,665154070120000.0,162032,2293293,0.2626
2022-01-17,TATACONSUM,EQ,762.5,768.0,771.35,759.25,764.1,765.1,765.55,1857366,142191451130000.0,58079,753311,0.4056
2022-01-18,TATACONSUM,EQ,765.1,763.8,770.0,728.4,734.95,731.45,745.95,2674149,199478491270000.0,75099,1038897,0.3885
2022-01-19,TATACONSUM,EQ,731.45,734.95,738.0,714.0,719.0,717.65,719.46,2426249,174557738825000.0,80682,1001276,0.41270000000000007
2022-01-20,TATACONSUM,EQ,717.65,728.05,746.25,717.2,726.05,723.45,729.97,5297725,386719872845000.0,155322,1692733,0.3195
2022-01-21,TATACONSUM,EQ,723.45,721.0,742.95,712.0,724.65,726.55,732.62,4854277,355635517910000.0,141479,2380444,0.4904
2022-01-24,TATACONSUM,EQ,726.55,725.0,725.0,688.5,691.55,691.45,698.91,3114690,217687798494999.97,90187,690536,0.4047
2022-01-25,TATACONSUM,EQ,691.45,690.0,709.95,675.0,708.2,707.75,698.15,2030546,141762917965000.0,87255,858645,0.4229
2022-01-27,TATACONSUM,EQ,707.75,700.0,709.5,687.5,706.5,705.95,701.86,3118535,218876478969999.97,104651,1932871,0.6198
