Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,TATAMOTORS,EQ,482.4,493.5,500.85,492.0,496.8,497.6,496.63,32748423,1626376665615000.0,353792,7711120,0.23550000000000001
2022-01-04,TATAMOTORS,EQ,497.6,496.8,499.0,484.05,489.35,489.6,490.08,24100985,1181145174605000.0,257447,5621703,0.23329999999999998
2022-01-05,TATAMOTORS,EQ,489.6,486.95,492.75,483.55,487.85,489.75,488.5,15420105,753270085060000.0,166910,4185612,0.27140000000000003
2022-01-06,TATAMOTORS,EQ,489.75,481.5,492.95,477.1,488.4,488.85,486.55,16563230,805875775945000.0,177074,2510564,0.1516
2022-01-07,TATAMOTORS,EQ,488.85,490.05,495.5,483.75,489.85,490.6,489.39,15532165,760127984745000.0,161046,3545943,0.22829999999999998
2022-01-10,TATAMOTORS,EQ,490.6,493.1,504.9,491.3,503.6,503.7,500.63,25193771,1261274942555000.0,275718,7676274,0.30469999999999997
2022-01-11,TATAMOTORS,EQ,503.7,503.0,507.9,498.15,500.8,501.3,503.8,16269193,819647634665000.0,194868,4193201,0.2577
2022-01-12,TATAMOTORS,EQ,501.3,505.85,511.85,503.5,506.3,507.25,507.75,16255334,825368439530000.0,195823,4239495,0.2608
2022-01-13,TATAMOTORS,EQ,507.25,504.0,513.8,494.8,512.55,511.95,505.24,27572553,1393067159940000.0,299384,5529756,0.2006
2022-01-14,TATAMOTORS,EQ,511.95,509.0,515.4,505.65,509.4,509.9,510.8,12655602,646442309035000.0,137895,3104608,0.24530000000000002
2022-01-17,TATAMOTORS,EQ,509.9,514.8,526.9,512.0,524.8,525.0,523.11,27942414,1461700318680000.0,306012,7210035,0.258
2022-01-18,TATAMOTORS,EQ,525.0,527.9,528.5,507.15,510.95,510.8,520.01,19353195,1006378403365000.0,203110,4445318,0.2297
2022-01-19,TATAMOTORS,EQ,510.8,510.0,522.2,504.8,520.6,520.85,514.8,21799071,1122221380160000.0,241471,3955423,0.1814
2022-01-20,TATAMOTORS,EQ,520.85,519.95,523.2,512.0,516.4,515.7,518.1,18364451,951460477779999.9,203055,4980320,0.2712
2022-01-21,TATAMOTORS,EQ,515.7,510.4,513.85,494.25,504.85,501.85,506.81,17946821,909558136665000.0,202791,3839330,0.2139
2022-01-24,TATAMOTORS,EQ,501.85,499.7,504.3,473.35,477.65,478.45,484.18,25228959,1221544522835000.0,322276,5303125,0.2646
2022-01-25,TATAMOTORS,EQ,478.45,473.8,492.5,467.65,489.4,490.55,483.39,22565698,1090811733760000.0,263475,5845499,0.259
2022-01-27,TATAMOTORS,EQ,490.55,480.75,502.7,476.6,496.0,494.4,488.98,26676094,1304404833440000.0,331831,8543693,0.32030000000000003
2022-01-28,TATAMOTORS,EQ,494.4,500.5,509.35,495.3,497.3,497.3,502.87,21784640,1095481356110000.0,245257,5369886,0.2465
2022-01-31,TATAMOTORS,EQ,497.3,505.0,520.0,498.2,517.5,517.75,509.8,27306578,1392078604625000.0,296929,7623568,0.2792
2022-02-01,TATAMOTORS,EQ,517.75,508.0,514.75,493.0,504.5,504.3,505.96,48030231,2430159319535000.0,492723,8524755,0.1775
2022-02-02,TATAMOTORS,EQ,504.3,508.6,514.45,505.15,506.4,506.4,509.34,14311040,728924182565000.0,183498,2746825,0.19190000000000002
2022-02-03,TATAMOTORS,EQ,506.4,509.1,514.3,502.85,503.8,504.5,509.3,15249245,776638839090000.0,169805,3349208,0.21960000000000002
2022-02-04,TATAMOTORS,EQ,504.5,503.8,507.8,499.0,500.5,500.6,503.21,12663199,637220490750000.0,159322,2163696,0.1709
2022-02-07,TATAMOTORS,EQ,500.6,502.9,504.35,492.5,493.8,494.6,496.88,13392910,665472013855000.0,183916,2618801,0.1955
2022-02-08,TATAMOTORS,EQ,494.6,498.0,498.5,479.15,492.0,492.75,489.24,23378623,1143765389650000.0,339842,4645516,0.19870000000000002
2022-02-09,TATAMOTORS,EQ,492.75,496.5,503.7,494.7,501.2,501.25,500.34,12430730,621958924755000.0,146963,3041913,0.2447
2022-02-10,TATAMOTORS,EQ,501.25,506.7,510.5,504.2,507.25,507.45,507.83,14537945,738280762145000.0,203341,4626324,0.3182
2022-02-11,TATAMOTORS,EQ,507.45,503.25,507.0,497.0,497.55,498.85,501.22,13534899,678399122195000.0,144160,3610241,0.26670000000000005
2022-02-14,TATAMOTORS,EQ,498.85,487.0,488.5,468.8,471.0,471.45,479.11,22157389,1061589609185000.0,350322,7523066,0.3395
2022-02-15,TATAMOTORS,EQ,471.45,476.15,505.5,467.3,503.0,504.0,486.19,30623088,1488877377450000.0,320563,5738582,0.18739999999999998
2022-02-16,TATAMOTORS,EQ,504.0,504.0,507.9,496.6,497.45,498.45,502.42,20176993,1013729191420000.1,220758,4570448,0.22649999999999998
2022-02-17,TATAMOTORS,EQ,498.45,505.9,511.5,498.3,498.7,499.95,505.01,27943077,1411149832935000.0,262768,7359907,0.2634
2022-02-18,TATAMOTORS,EQ,499.95,498.0,502.65,491.5,493.45,493.15,497.39,15476803,769802096580000.0,150287,4182412,0.2702
2022-02-21,TATAMOTORS,EQ,493.15,490.15,500.4,486.1,493.8,494.45,494.28,22592161,1116690744225000.0,218559,6727423,0.2978
2022-02-22,TATAMOTORS,EQ,494.45,480.55,486.3,471.45,478.5,478.25,479.41,27957544,1340310699880000.0,310898,7689870,0.2751
2022-02-23,TATAMOTORS,EQ,478.25,481.75,485.4,475.3,477.0,477.0,480.31,17703998,850335099945000.0,205394,4920749,0.2779
2022-02-24,TATAMOTORS,EQ,477.0,455.95,461.55,405.45,425.9,427.95,443.91,57265685,2542080045215000.0,775585,18193568,0.3177
2022-02-25,TATAMOTORS,EQ,427.95,444.85,465.7,441.6,460.85,459.75,459.06,48876182,2243687736865000.2,536058,8001318,0.1637
2022-02-28,TATAMOTORS,EQ,459.75,445.0,457.35,440.45,453.95,454.05,452.4,34475468,1559656980285000.0,355388,8824925,0.256
2022-03-02,TATAMOTORS,EQ,454.05,452.95,454.25,444.55,448.8,447.6,449.27,25791134,1158713799270000.0,335482,7350453,0.28500000000000003
2022-03-03,TATAMOTORS,EQ,447.6,458.5,458.5,435.0,437.9,437.1,443.17,29599672,1311774891825000.0,391753,8597074,0.2904
2022-03-04,TATAMOTORS,EQ,437.1,431.85,431.85,414.75,418.4,417.25,423.93,38765185,1643383826350000.0,616081,10292437,0.2655
2022-03-07,TATAMOTORS,EQ,417.25,401.75,401.75,387.5,395.75,394.0,394.41,44836205,1768402565005000.0,645399,14166030,0.316
2022-03-08,TATAMOTORS,EQ,394.0,390.5,395.45,376.35,391.3,391.75,387.74,55543383,2153639996384999.8,516658,15644239,0.2817
2022-03-09,TATAMOTORS,EQ,391.75,394.95,409.25,389.5,407.0,405.9,399.37,48376222,1931988123640000.2,462329,9273493,0.1917
2022-03-10,TATAMOTORS,EQ,405.9,427.0,434.95,414.0,418.55,419.6,426.4,59776817,2548863825930000.0,537943,9403630,0.1573
