Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,TATASTEEL,EQ,1111.45,1115.0,1151.0,1115.0,1150.0,1142.45,1129.46,3865803,436627950150000.0,87982,1215520,0.3144
2022-01-04,TATASTEEL,EQ,1142.45,1153.0,1159.7,1136.5,1148.05,1148.8,1147.81,5975731,685902664955000.0,125400,1733910,0.2902
2022-01-05,TATASTEEL,EQ,1148.8,1147.0,1180.8,1141.25,1176.0,1177.6,1166.6,6186176,721680011320000.0,134032,1997541,0.3229
2022-01-06,TATASTEEL,EQ,1177.6,1172.0,1183.0,1155.55,1161.5,1163.25,1166.83,5335400,622548908245000.0,133187,1440528,0.27
2022-01-07,TATASTEEL,EQ,1163.25,1165.2,1174.0,1147.85,1158.15,1160.35,1160.62,3973857,461215415725000.0,87679,1167664,0.2938
2022-01-10,TATASTEEL,EQ,1160.35,1165.0,1173.4,1153.85,1168.0,1169.05,1165.95,3822500,445683246805000.0,124004,1331943,0.34840000000000004
2022-01-11,TATASTEEL,EQ,1169.05,1158.65,1162.7,1113.0,1134.9,1130.25,1137.02,9697885,1102671267850000.0,245197,3285797,0.33880000000000005
2022-01-12,TATASTEEL,EQ,1130.25,1139.85,1150.8,1132.4,1147.8,1147.2,1142.13,5035843,575157211700000.0,139132,1525010,0.3028
2022-01-13,TATASTEEL,EQ,1147.2,1154.0,1225.5,1152.15,1219.0,1221.15,1200.08,15723116,1886896110625000.0,350847,4326987,0.2752
2022-01-14,TATASTEEL,EQ,1221.15,1213.0,1226.3,1206.1,1211.0,1213.6,1215.42,5267907,640274087275000.0,162565,1290762,0.245
2022-01-17,TATASTEEL,EQ,1213.6,1215.0,1245.0,1190.35,1230.8,1229.75,1221.77,8969607,1095878842579999.9,202840,2210957,0.2465
2022-01-18,TATASTEEL,EQ,1229.75,1230.0,1233.75,1190.0,1196.95,1194.85,1209.8,5840897,706633735780000.0,150353,1797537,0.3078
2022-01-19,TATASTEEL,EQ,1194.85,1196.0,1220.9,1183.0,1208.0,1209.6,1204.89,7304321,880088409250000.0,186907,1335466,0.18280000000000002
2022-01-20,TATASTEEL,EQ,1209.6,1210.1,1224.0,1197.0,1209.9,1206.7,1212.03,5920597,717591286390000.0,159207,1526225,0.25780000000000003
2022-01-21,TATASTEEL,EQ,1206.7,1200.0,1204.3,1156.35,1169.1,1169.7,1177.49,7166267,843818418445000.0,170921,2048736,0.2859
2022-01-24,TATASTEEL,EQ,1169.7,1160.0,1163.65,1090.0,1100.5,1099.2,1121.02,8392076,940769963420000.1,279320,1468792,0.29100000000000004
2022-01-25,TATASTEEL,EQ,1099.2,1094.7,1121.0,1087.05,1105.95,1109.1,1107.84,5733063,635133452860000.0,206703,1555235,0.2713
2022-01-27,TATASTEEL,EQ,1109.1,1090.0,1103.45,1061.3,1090.65,1088.35,1082.03,9056656,979957827154999.9,271554,2244835,0.2479
2022-01-28,TATASTEEL,EQ,1088.35,1105.85,1125.75,1080.95,1086.0,1084.65,1108.99,7864893,872206777945000.1,192376,2044249,0.25989999999999996
2022-01-31,TATASTEEL,EQ,1084.65,1109.9,1114.6,1080.5,1085.0,1085.55,1096.19,5570939,610680879740000.0,172294,1283038,0.2303
2022-02-01,TATASTEEL,EQ,1085.55,1104.9,1174.45,1086.4,1166.55,1167.35,1134.27,17075268,1936795207684999.8,364400,3122607,0.1829
2022-02-02,TATASTEEL,EQ,1167.35,1179.9,1179.9,1158.3,1168.0,1167.5,1166.61,7524734,877845017345000.1,178662,1633416,0.21710000000000002
2022-02-03,TATASTEEL,EQ,1167.5,1153.0,1181.7,1146.3,1163.0,1166.6,1169.68,6514090,761941804355000.0,151104,916256,0.14070000000000002
2022-02-04,TATASTEEL,EQ,1166.6,1173.8,1197.75,1170.25,1174.4,1176.3,1184.03,9317418,1103209730529999.9,212738,1565436,0.168
2022-02-07,TATASTEEL,EQ,1176.3,1168.3,1214.6,1161.0,1184.95,1183.0,1194.31,14510525,1733010216395000.0,321698,2468210,0.17010000000000003
2022-02-08,TATASTEEL,EQ,1183.0,1195.0,1222.4,1171.5,1219.5,1219.6,1202.55,14083984,1693665706670000.0,316614,3087211,0.21920000000000003
2022-02-09,TATASTEEL,EQ,1219.6,1231.0,1234.0,1208.15,1218.0,1222.35,1219.8,7352060,896800989395000.1,167342,1841908,0.2505
2022-02-10,TATASTEEL,EQ,1222.35,1230.0,1254.25,1226.0,1247.3,1248.35,1244.12,9392057,1168480997710000.0,222188,3046067,0.3243
2022-02-11,TATASTEEL,EQ,1248.35,1239.0,1264.95,1233.1,1251.8,1254.45,1252.44,9676226,1211888325480000.0,211755,2754991,0.2847
2022-02-14,TATASTEEL,EQ,1254.45,1220.1,1227.75,1180.1,1183.25,1186.85,1202.85,8021613,964882065515000.0,211234,2007705,0.2503
2022-02-15,TATASTEEL,EQ,1186.85,1196.85,1212.0,1151.55,1204.95,1207.75,1179.18,10188921,1201458250445000.0,238309,1466994,0.14400000000000002
2022-02-16,TATASTEEL,EQ,1207.75,1215.0,1217.9,1186.5,1187.95,1191.8,1199.11,6609214,792514199010000.0,171088,1034623,0.1565
2022-02-17,TATASTEEL,EQ,1191.8,1201.1,1209.5,1186.15,1190.0,1190.95,1197.29,5655792,677164372060000.0,117118,1080967,0.1911
2022-02-18,TATASTEEL,EQ,1190.95,1187.0,1205.0,1183.0,1191.0,1190.8,1196.74,4725120,565474688390000.0,119821,834039,0.1765
2022-02-21,TATASTEEL,EQ,1190.8,1188.0,1202.0,1174.4,1181.0,1181.85,1188.32,4978732,591632812220000.0,117333,587877,0.11810000000000001
2022-02-22,TATASTEEL,EQ,1181.85,1158.0,1166.65,1119.25,1134.0,1138.7,1141.03,9385857,1070956588660000.0,222627,2078541,0.2215
2022-02-23,TATASTEEL,EQ,1138.7,1148.0,1152.6,1134.0,1137.9,1139.0,1143.6,4960838,567321719030000.0,129498,738406,0.14880000000000002
2022-02-24,TATASTEEL,EQ,1139.0,1094.0,1119.95,1067.1,1079.0,1074.0,1095.75,12126867,1328807381050000.0,324643,3660968,0.3019
2022-02-25,TATASTEEL,EQ,1074.0,1097.7,1150.7,1095.6,1144.95,1145.35,1136.16,9212886,1046734764845000.1,226899,2433231,0.2641
2022-02-28,TATASTEEL,EQ,1145.35,1134.0,1225.0,1129.2,1217.9,1220.75,1196.83,17605446,2107077351825000.0,408543,5556479,0.3156
2022-03-02,TATASTEEL,EQ,1220.75,1220.75,1299.6,1218.55,1288.75,1289.35,1280.64,24847532,3182069122760000.0,612717,9784999,0.39380000000000004
2022-03-03,TATASTEEL,EQ,1289.35,1306.0,1328.65,1293.65,1303.0,1303.3,1309.97,17450338,2285940769245000.0,528049,5496440,0.315
2022-03-04,TATASTEEL,EQ,1303.3,1302.4,1319.85,1273.0,1277.0,1277.1,1297.98,16282923,2113498424195000.0,498851,4692475,0.2882
2022-03-07,TATASTEEL,EQ,1277.1,1275.9,1301.8,1264.0,1293.0,1291.9,1279.85,11040001,1412958024205000.0,289960,3102424,0.281
2022-03-08,TATASTEEL,EQ,1291.9,1293.0,1294.0,1244.0,1265.9,1269.5,1263.11,9107822,1150418625260000.0,248719,1846780,0.2028
2022-03-09,TATASTEEL,EQ,1269.5,1273.9,1276.8,1248.6,1255.55,1255.35,1260.29,6934888,873997012845000.1,180250,1326393,0.1913
2022-03-10,TATASTEEL,EQ,1255.35,1257.85,1313.8,1241.0,1309.35,1308.7,1280.13,13674062,1750456498075000.0,288992,3924993,0.287
2022-03-11,TATASTEEL,EQ,1308.7,1315.0,1339.9,1296.2,1298.5,1301.7,1316.2,11882299,1563952448295000.0,283313,2369607,0.19940000000000002
2022-03-14,TATASTEEL,EQ,1301.7,1305.0,1311.7,1277.7,1298.6,1297.0,1293.34,5278082,682634383950000.0,155247,800405,0.1516
