Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,TCS,EQ,3738.35,3750.0,3830.0,3745.0,3815.0,3817.75,3807.43,2346158,893282798115000.0,143798,1433211,0.6109
2022-01-04,TCS,EQ,3817.75,3831.1,3889.15,3811.7,3878.7,3884.75,3859.3,2488606,960427401429999.9,141253,1539134,0.6185
2022-01-05,TCS,EQ,3884.75,3865.0,3870.0,3812.4,3856.0,3860.95,3847.67,1733031,666813168800000.0,136018,988277,0.5703
2022-01-06,TCS,EQ,3860.95,3812.0,3835.0,3772.0,3809.95,3807.45,3802.98,1810293,688450014955000.0,135529,995325,0.5498
2022-01-07,TCS,EQ,3807.45,3820.0,3864.9,3796.4,3858.9,3853.5,3839.03,2460591,944628370175000.0,157006,1501620,0.6103000000000001
2022-01-10,TCS,EQ,3853.5,3978.0,3978.0,3861.0,3884.0,3879.85,3897.84,3937092,1534616614980000.0,247085,1687823,0.42869999999999997
2022-01-11,TCS,EQ,3879.85,3856.0,3925.0,3856.0,3917.0,3915.9,3896.96,1906106,742801470035000.0,160870,1054450,0.5532
2022-01-12,TCS,EQ,3915.9,3925.0,3929.0,3836.55,3857.0,3859.9,3874.16,3203744,1241181599080000.0,241232,1866561,0.5826
2022-01-13,TCS,EQ,3859.9,3918.0,3923.0,3857.0,3898.0,3897.9,3891.72,6684507,2601425827950000.0,401435,3737081,0.5590999999999999
2022-01-14,TCS,EQ,3897.9,3877.85,3977.0,3860.05,3965.35,3968.15,3924.25,3348123,1313888127310000.0,213960,1768475,0.5282
2022-01-17,TCS,EQ,3968.15,3992.7,4043.0,3962.3,4025.0,4019.15,4010.33,3442604,1380598084045000.0,230947,1699919,0.4938
2022-01-18,TCS,EQ,4019.15,4033.95,4041.7,3980.0,3993.95,3990.6,4009.82,2389041,957961942410000.0,185771,1635845,0.6847
2022-01-19,TCS,EQ,3990.6,4012.0,4012.0,3910.5,3914.7,3914.65,3937.16,3102539,1221519598315000.0,260043,2121306,0.6837000000000001
2022-01-20,TCS,EQ,3914.65,3910.0,3920.0,3811.0,3833.15,3826.55,3843.03,6176776,2373755701775000.0,349194,4962139,0.8034
2022-01-21,TCS,EQ,3826.55,3807.0,3851.55,3771.1,3840.0,3833.5,3820.58,3112358,1189102605045000.0,240408,1795708,0.5770000000000001
2022-01-24,TCS,EQ,3833.5,3840.0,3849.65,3740.1,3769.95,3771.35,3783.08,3258414,1232683075315000.0,288359,1827786,0.6306
2022-01-25,TCS,EQ,3771.35,3769.5,3809.4,3722.2,3765.0,3769.9,3763.15,3330501,1253318247650000.0,298567,2094835,0.629
2022-01-27,TCS,EQ,3769.9,3731.0,3733.4,3625.1,3652.0,3649.25,3669.1,5718297,2098102887055000.0,473910,3887598,0.6799
2022-01-28,TCS,EQ,3649.25,3646.0,3729.8,3646.0,3697.85,3690.05,3702.94,3143862,1164152481125000.0,226989,1863034,0.5926
2022-01-31,TCS,EQ,3690.05,3749.0,3758.0,3721.4,3744.95,3736.25,3741.03,2739393,1024814887210000.0,193114,1708467,0.6237
2022-02-01,TCS,EQ,3736.25,3770.0,3808.0,3736.4,3805.0,3800.65,3781.44,2105169,796057836350000.0,149564,1067316,0.507
2022-02-02,TCS,EQ,3800.65,3827.9,3864.0,3800.65,3863.0,3856.2,3841.31,1984212,762196388990000.0,139468,1158079,0.5836
2022-02-03,TCS,EQ,3856.2,3851.0,3882.5,3816.05,3819.0,3824.6,3850.57,1960538,754918294205000.0,137513,1242614,0.6338
2022-02-04,TCS,EQ,3824.6,3815.3,3824.7,3769.0,3818.0,3814.9,3804.03,2307366,877728368504999.9,160651,1415833,0.6136
2022-02-07,TCS,EQ,3814.9,3791.0,3831.8,3756.15,3781.8,3779.0,3791.19,1919149,727586361070000.0,159690,1160277,0.6046
2022-02-08,TCS,EQ,3779.0,3791.55,3799.7,3721.0,3738.0,3743.45,3741.49,2946443,1102409796150000.0,209984,2092329,0.7101000000000001
2022-02-09,TCS,EQ,3743.45,3750.0,3777.95,3746.1,3761.65,3760.55,3761.99,1638721,616486012435000.0,124222,1190875,0.7267
2022-02-10,TCS,EQ,3760.55,3789.8,3789.8,3758.0,3765.7,3770.35,3771.41,2112459,796695937785000.0,127158,1512559,0.716
2022-02-11,TCS,EQ,3770.35,3752.5,3752.5,3690.0,3693.0,3694.95,3703.65,3851488,1426455293820000.0,242420,2684979,0.6970999999999999
2022-02-14,TCS,EQ,3694.95,3724.0,3793.25,3710.0,3729.15,3733.75,3749.84,5951745,2231811465420000.0,452110,3157466,0.5305
2022-02-15,TCS,EQ,3733.75,3786.0,3835.0,3748.0,3832.95,3817.8,3784.27,3931683,1487854712495000.0,347451,2283223,0.5807
2022-02-16,TCS,EQ,3817.8,3844.0,3854.1,3806.0,3810.0,3813.1,3822.91,3256906,1245087461435000.0,224789,1989270,0.6108
2022-02-17,TCS,EQ,3813.1,3825.0,3835.0,3779.0,3783.85,3784.2,3796.61,3134372,1190000292470000.0,259784,2140343,0.6829000000000001
2022-02-18,TCS,EQ,3784.2,3769.0,3815.95,3757.6,3800.0,3793.9,3788.53,3688883,1397545180720000.0,286278,2727483,0.7394
2022-02-21,TCS,EQ,3793.9,3810.0,3827.8,3705.55,3719.35,3719.4,3746.53,7465922,2797133568140000.0,521065,4843446,0.6487
2022-02-22,TCS,EQ,3719.4,3650.0,3667.9,3570.0,3590.0,3586.4,3596.79,5408531,1945334817220000.0,334519,3214082,0.5943
2022-02-23,TCS,EQ,3586.4,3611.0,3622.9,3555.65,3571.9,3563.8,3581.54,2426203,868954972175000.0,166091,1476108,0.6084
2022-02-24,TCS,EQ,3563.8,3474.0,3483.85,3391.1,3400.45,3401.65,3440.54,5039136,1733734937930000.0,344070,3127576,0.6207
2022-02-25,TCS,EQ,3401.65,3468.0,3530.0,3462.0,3525.0,3520.75,3508.31,2549723,894521271529999.9,178046,1286087,0.5044
2022-02-28,TCS,EQ,3520.75,3490.0,3563.75,3455.9,3550.15,3554.2,3529.86,3288942,1160949990755000.0,157832,1957822,0.5953
2022-03-02,TCS,EQ,3554.2,3552.5,3571.95,3506.0,3549.0,3546.15,3537.16,2761341,976730351595000.1,159497,1608352,0.5825
2022-03-03,TCS,EQ,3546.15,3562.85,3578.6,3530.1,3544.0,3544.4,3553.27,1928039,685084805425000.0,162316,1095452,0.5682
2022-03-04,TCS,EQ,3544.4,3501.5,3561.2,3487.05,3519.8,3524.35,3525.56,2370257,835648212895000.0,150154,1412782,0.596
2022-03-07,TCS,EQ,3524.35,3450.0,3548.0,3431.55,3481.1,3484.9,3491.46,3054130,1066337390435000.0,240636,1842815,0.6034
