Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,TECHM,EQ,1790.55,1795.05,1818.0,1783.0,1783.15,1784.8,1794.14,1779147,319204306575000.0,90873,742819,0.4175
2022-01-04,TECHM,EQ,1784.8,1793.0,1803.8,1767.0,1783.0,1789.8,1785.35,2701533,482317925914999.94,118929,1310967,0.4853
2022-01-05,TECHM,EQ,1789.8,1779.95,1782.95,1733.0,1739.0,1737.55,1744.57,3138050,547455321325000.0,120760,1571156,0.5007
2022-01-06,TECHM,EQ,1737.55,1725.0,1728.85,1690.0,1694.0,1692.1,1701.19,4290750,729938997395000.0,147338,2573882,0.5999
2022-01-07,TECHM,EQ,1692.1,1702.0,1724.55,1695.1,1704.95,1703.85,1707.99,2103362,359251328765000.0,59360,1028543,0.489
2022-01-10,TECHM,EQ,1703.85,1719.0,1725.0,1687.5,1719.0,1716.0,1711.75,2330348,398898263910000.0,88045,951950,0.40850000000000003
2022-01-11,TECHM,EQ,1716.0,1705.0,1745.0,1705.0,1744.5,1737.15,1730.61,2704832,468101230800000.0,124095,1236860,0.4573
2022-01-12,TECHM,EQ,1737.15,1754.0,1755.0,1721.0,1723.1,1730.45,1732.2,3013194,521944193589999.94,125704,1825122,0.6057
2022-01-13,TECHM,EQ,1730.45,1730.0,1748.9,1701.8,1722.65,1718.8,1724.47,2768371,477397788214999.94,115281,933321,0.3371
2022-01-14,TECHM,EQ,1718.8,1714.5,1746.8,1696.5,1736.4,1737.75,1721.11,1889385,325183987790000.0,80148,761894,0.4032
2022-01-17,TECHM,EQ,1737.75,1732.95,1751.0,1720.0,1720.5,1722.4,1733.3,2522806,437279173010000.06,70952,1377333,0.546
2022-01-18,TECHM,EQ,1722.4,1740.0,1746.55,1650.05,1662.5,1660.75,1687.59,4878369,823270598035000.0,217885,2175130,0.4459
2022-01-19,TECHM,EQ,1660.75,1663.1,1676.6,1627.55,1671.35,1670.1,1648.27,2610709,430314186925000.0,108739,1074991,0.4118
2022-01-20,TECHM,EQ,1670.1,1670.1,1673.2,1643.55,1668.9,1666.9,1657.03,2440011,404316551985000.0,135359,1155855,0.4737
2022-01-21,TECHM,EQ,1666.9,1650.0,1653.0,1588.85,1590.0,1593.55,1612.06,4079190,657589417940000.0,173481,2143590,0.5255
2022-01-24,TECHM,EQ,1593.55,1588.0,1588.0,1501.95,1505.3,1513.15,1526.46,3250275,496142996045000.0,173515,1813995,0.527
2022-01-25,TECHM,EQ,1513.15,1499.0,1527.65,1465.0,1500.0,1500.6,1498.59,3910618,586041683165000.0,184995,2120290,0.5422
2022-01-27,TECHM,EQ,1500.6,1484.5,1484.5,1430.0,1447.0,1445.6,1453.87,4434890,644776841575000.0,232713,2316208,0.5223
2022-01-28,TECHM,EQ,1445.6,1446.0,1482.9,1406.25,1409.0,1410.65,1450.73,7080683,1027217460175000.0,185979,3920516,0.5537
2022-01-31,TECHM,EQ,1410.65,1437.0,1487.6,1431.5,1482.95,1479.0,1472.76,4406035,648904439365000.0,147068,1609976,0.3654
2022-02-01,TECHM,EQ,1479.0,1504.0,1514.95,1475.0,1514.0,1505.75,1493.47,2542754,379753543420000.0,99850,744842,0.2929
2022-02-02,TECHM,EQ,1505.75,1479.9,1490.0,1443.0,1485.05,1482.95,1463.89,9031146,1322063863010000.0,259936,4136937,0.4581
2022-02-03,TECHM,EQ,1482.95,1478.9,1479.8,1449.1,1453.0,1454.3,1464.05,2433692,356304445415000.0,119685,1025732,0.4215
2022-02-04,TECHM,EQ,1454.3,1464.0,1464.95,1435.0,1448.0,1448.2,1452.59,2406272,349533038380000.0,101406,1018937,0.42350000000000004
2022-02-07,TECHM,EQ,1448.2,1450.0,1465.75,1434.0,1441.0,1444.3,1450.2,2741520,397576575925000.0,81890,1337214,0.4878
2022-02-08,TECHM,EQ,1444.3,1446.5,1456.15,1420.2,1431.5,1434.2,1437.63,1981111,284810414190000.0,82074,765905,0.3866
2022-02-09,TECHM,EQ,1434.2,1440.05,1470.95,1440.05,1457.0,1454.8,1456.45,2282701,332464556745000.0,79469,1084664,0.47520000000000007
2022-02-10,TECHM,EQ,1454.8,1465.0,1472.0,1450.3,1468.5,1468.5,1463.61,1850405,270826690685000.0,119114,1087966,0.588
2022-02-11,TECHM,EQ,1468.5,1449.85,1449.95,1421.0,1423.65,1424.9,1428.64,2426039,346594226170000.0,130837,1172866,0.48340000000000005
2022-02-14,TECHM,EQ,1424.9,1390.0,1418.8,1371.0,1386.85,1390.15,1399.57,2149302,300809538855000.0,115248,934722,0.4349
2022-02-15,TECHM,EQ,1390.15,1404.05,1442.6,1395.05,1441.0,1439.65,1419.64,1955525,277614343665000.0,101977,546440,0.27940000000000004
2022-02-16,TECHM,EQ,1439.65,1450.5,1463.95,1428.85,1440.4,1444.0,1447.05,2164650,313235494380000.0,83868,816126,0.37700000000000006
2022-02-17,TECHM,EQ,1444.0,1461.45,1461.45,1440.25,1444.1,1447.55,1450.86,1669669,242245836725000.0,72570,743547,0.44530000000000003
2022-02-18,TECHM,EQ,1447.55,1438.45,1445.0,1417.1,1434.55,1437.95,1437.38,2374188,341260643235000.0,138709,1466845,0.6178
2022-02-21,TECHM,EQ,1437.95,1427.15,1440.0,1410.1,1417.75,1418.2,1424.96,2109461,300588866680000.0,99968,896552,0.425
2022-02-22,TECHM,EQ,1418.2,1380.5,1420.7,1375.0,1415.0,1412.55,1399.94,2111878,295649218740000.0,84451,959608,0.45439999999999997
2022-02-23,TECHM,EQ,1412.55,1422.0,1424.95,1409.2,1412.9,1413.3,1417.15,1319711,187023152680000.0,65619,715077,0.5418000000000001
2022-02-24,TECHM,EQ,1413.3,1370.5,1400.0,1330.0,1334.75,1333.0,1348.65,4108603,554106342235000.06,199589,2064651,0.5025000000000001
2022-02-25,TECHM,EQ,1333.0,1355.0,1400.0,1350.1,1392.0,1389.7,1386.03,1885454,261329457505000.03,114313,859135,0.4557
2022-02-28,TECHM,EQ,1389.7,1380.0,1419.85,1363.25,1409.0,1410.0,1406.69,4983140,700975271915000.0,114004,2847955,0.5715
2022-03-02,TECHM,EQ,1410.0,1400.0,1420.7,1382.75,1394.0,1394.35,1398.08,2160190,302011160470000.0,114239,1140692,0.5281
2022-03-03,TECHM,EQ,1394.35,1409.8,1443.6,1405.15,1429.6,1426.65,1430.04,2730530,390477003420000.0,117523,1109255,0.4062
2022-03-04,TECHM,EQ,1426.65,1415.0,1460.0,1398.5,1454.95,1453.6,1442.73,3567738,514729054964999.94,118235,1879931,0.5269
2022-03-07,TECHM,EQ,1453.6,1428.0,1464.0,1411.05,1426.0,1424.1,1437.15,3341715,480256184445000.0,164686,1618380,0.4843
2022-03-08,TECHM,EQ,1424.1,1420.0,1466.9,1420.0,1465.0,1461.95,1455.67,2365949,344403542570000.0,114210,911221,0.3851
2022-03-09,TECHM,EQ,1461.95,1461.95,1511.0,1461.95,1505.8,1504.75,1500.35,3667977,550323692885000.06,132068,1987275,0.5418000000000001
2022-03-10,TECHM,EQ,1504.75,1525.0,1525.95,1474.5,1482.85,1485.35,1494.38,2835942,423798152280000.0,110879,1288548,0.45439999999999997
2022-03-11,TECHM,EQ,1485.35,1476.0,1491.85,1472.5,1488.0,1486.8,1484.98,1116432,165787897100000.0,58999,449378,0.4025
