Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,TITAN,EQ,2522.4,2510.0,2546.0,2502.3,2529.75,2523.85,2519.23,921729,232204961765000.0,51436,320609,0.3478
2022-01-04,TITAN,EQ,2523.85,2525.0,2594.95,2524.4,2582.0,2583.0,2553.9,1037293,264914061055000.03,61734,341256,0.329
2022-01-05,TITAN,EQ,2583.0,2576.0,2608.0,2560.1,2574.0,2576.15,2584.75,1244568,321689322490000.0,71880,500862,0.40240000000000004
2022-01-06,TITAN,EQ,2576.15,2540.0,2601.35,2538.45,2595.95,2595.9,2576.3,1130508,291253022705000.0,64729,502364,0.44439999999999996
2022-01-07,TITAN,EQ,2595.9,2630.0,2687.25,2562.35,2571.0,2572.7,2624.29,4625230,1213794778845000.0,182146,1301383,0.28140000000000004
2022-01-10,TITAN,EQ,2572.7,2585.0,2663.55,2571.0,2653.6,2657.5,2621.54,1894316,496603026945000.0,84856,602739,0.3182
2022-01-11,TITAN,EQ,2657.5,2650.0,2678.75,2634.3,2652.0,2653.35,2660.46,1123968,299026780430000.0,73780,442474,0.3937
2022-01-12,TITAN,EQ,2653.35,2641.0,2672.0,2608.0,2611.0,2612.95,2625.81,1293999,339779089135000.0,93222,681896,0.527
2022-01-13,TITAN,EQ,2612.95,2611.0,2628.9,2588.0,2617.2,2619.25,2608.63,1023670,267037713580000.03,82625,433925,0.4239
2022-01-14,TITAN,EQ,2619.25,2626.0,2639.0,2588.85,2594.0,2592.75,2602.58,1166457,303580299105000.0,68573,561068,0.48100000000000004
2022-01-17,TITAN,EQ,2592.75,2592.75,2604.3,2550.4,2592.55,2597.55,2584.87,1172956,303194163060000.0,80705,653333,0.557
2022-01-18,TITAN,EQ,2597.55,2598.0,2635.0,2587.0,2597.0,2600.6,2615.24,1221314,319403524100000.0,90987,410636,0.3362
