Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,UPL,EQ,747.1,753.0,766.9,750.0,764.0,764.2,759.95,1157591,87971228890000.0,29548,370927,0.3204
2022-01-04,UPL,EQ,764.2,769.15,769.15,755.5,762.25,761.75,761.05,1247395,94932786875000.0,36645,548315,0.4396
2022-01-05,UPL,EQ,761.75,759.0,769.85,757.4,764.35,764.5,762.28,1156604,88165085120000.0,29824,550362,0.4758
2022-01-06,UPL,EQ,764.5,766.0,787.0,759.45,781.4,782.75,778.61,5436867,423319581270000.0,110235,1004773,0.18480000000000002
2022-01-07,UPL,EQ,782.75,782.0,790.7,776.55,789.65,788.95,784.9,2052552,161104779645000.0,51685,629457,0.30670000000000003
2022-01-10,UPL,EQ,788.95,792.1,825.0,791.7,825.0,821.6,813.45,7424271,603924967005000.0,138680,2473592,0.3332
2022-01-11,UPL,EQ,821.6,821.8,828.0,816.0,819.15,819.55,820.49,2004689,164483006890000.0,71277,729053,0.36369999999999997
2022-01-12,UPL,EQ,819.55,821.1,825.1,812.4,824.05,822.4,818.86,2242638,183640116835000.0,60392,809299,0.36090000000000005
2022-01-13,UPL,EQ,822.4,823.1,844.9,823.1,839.2,841.0,837.63,4410699,369451348265000.0,87146,1371624,0.311
2022-01-14,UPL,EQ,841.0,836.0,836.05,818.0,823.35,824.65,825.67,3690548,304718984240000.0,57649,1644544,0.44560000000000005
2022-01-17,UPL,EQ,824.65,825.45,830.7,815.7,823.25,824.75,823.05,2569165,211455908270000.0,58073,1107893,0.43119999999999997
2022-01-18,UPL,EQ,824.75,821.55,825.0,795.85,802.0,799.1,809.61,2820426,228344157085000.0,107169,1442563,0.5115
2022-01-19,UPL,EQ,799.1,798.0,815.0,789.2,814.0,813.25,806.53,2193951,176948990300000.0,73369,661295,0.3014
2022-01-20,UPL,EQ,813.25,820.0,823.0,804.0,810.65,808.45,811.6,1950781,158325968160000.0,56675,401209,0.2057
2022-01-21,UPL,EQ,808.45,801.0,804.85,780.1,787.85,786.9,794.6,1449766,115198061109999.98,41941,492383,0.3396
2022-01-24,UPL,EQ,786.9,776.7,786.0,755.5,759.0,762.6,769.63,1663579,128033841820000.0,45608,987334,0.3861
2022-01-25,UPL,EQ,762.6,754.5,795.15,746.1,789.4,791.15,778.37,2981161,232045335194999.97,76880,1141826,0.383
2022-01-27,UPL,EQ,791.15,794.85,794.85,765.0,771.5,771.95,774.63,2436411,188732683550000.0,62468,1067079,0.438
2022-01-28,UPL,EQ,771.95,778.0,806.5,777.55,791.1,790.25,794.81,4007799,318544866780000.0,76429,1690068,0.4217
2022-01-31,UPL,EQ,790.25,803.75,812.7,775.0,780.1,776.5,794.13,5138792,408089332650000.0,118956,1055563,0.2054
2022-02-01,UPL,EQ,776.5,785.0,795.6,766.9,786.0,785.0,782.59,3693825,289076336650000.0,80797,918775,0.2487
2022-02-02,UPL,EQ,785.0,786.6,799.6,782.0,786.25,785.95,790.39,1771793,140040025340000.02,56070,579406,0.327
2022-02-03,UPL,EQ,785.95,788.95,791.0,771.0,771.95,773.5,778.54,1493402,116267054375000.0,49491,651058,0.436
