Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,WIPRO,EQ,715.35,718.0,726.8,716.0,718.95,718.7,720.13,4640405,334167178310000.0,86315,1796855,0.3872
2022-01-04,WIPRO,EQ,718.7,722.75,723.1,711.55,722.0,721.5,718.18,5114400,367304253015000.0,94475,2097300,0.41009999999999996
2022-01-05,WIPRO,EQ,721.5,720.0,720.85,703.0,713.6,713.5,711.37,7355632,523260949595000.0,135056,3418195,0.4647
2022-01-06,WIPRO,EQ,713.5,705.8,712.25,699.95,706.2,705.75,706.11,6441610,454851401930000.0,113645,3301841,0.5126
2022-01-07,WIPRO,EQ,705.75,708.0,721.5,707.6,708.1,711.5,714.64,6560163,468813122310000.06,108556,2744480,0.41840000000000005
2022-01-10,WIPRO,EQ,711.5,709.0,709.0,690.0,694.85,693.5,696.03,13768910,958364047045000.1,299201,6950923,0.5048
2022-01-11,WIPRO,EQ,693.5,695.0,698.45,689.0,694.75,694.15,693.99,7743729,537405480725000.0,162859,3324495,0.4293
2022-01-12,WIPRO,EQ,694.15,700.0,701.75,683.2,691.0,691.35,689.99,11730341,809384993885000.0,231777,4673009,0.39840000000000003
2022-01-13,WIPRO,EQ,691.35,663.2,666.0,648.0,650.05,649.75,653.9,30752967,2010938597109999.8,549500,12454314,0.405
2022-01-14,WIPRO,EQ,649.75,649.25,649.25,636.5,640.25,639.8,640.71,13257274,849409444650000.0,295017,7181140,0.5417000000000001
2022-01-17,WIPRO,EQ,639.8,639.5,651.65,633.05,646.2,646.65,644.69,10228938,659444761145000.0,214235,4301516,0.4205
2022-01-18,WIPRO,EQ,646.65,648.9,650.0,631.15,634.9,633.3,640.09,7164990,458625361325000.0,208075,3788717,0.5288
2022-01-19,WIPRO,EQ,633.3,631.0,631.65,619.0,623.0,621.15,622.39,8691383,540946661785000.06,260851,4722203,0.5433
2022-01-20,WIPRO,EQ,621.15,620.65,622.4,610.5,616.0,615.2,615.09,8413562,517507011025000.0,236580,4359040,0.5181
2022-01-21,WIPRO,EQ,615.2,610.0,611.0,600.8,605.5,605.05,605.79,9823347,595086512135000.0,271103,5129054,0.5221
2022-01-24,WIPRO,EQ,605.05,605.5,605.5,568.45,572.0,572.75,580.89,13075358,759539413315000.0,358789,7681972,0.4851
2022-01-25,WIPRO,EQ,572.75,562.5,572.0,550.7,563.5,562.7,562.21,17356185,975776313660000.0,387154,8499268,0.4897
2022-01-27,WIPRO,EQ,562.7,555.0,556.9,537.2,545.3,544.75,544.98,15675872,854304159975000.0,364388,7038986,0.449
2022-01-28,WIPRO,EQ,544.75,550.1,564.95,546.65,552.0,552.15,557.5,14949890,833459450635000.0,318562,6912718,0.46240000000000003
2022-01-31,WIPRO,EQ,552.15,569.0,574.4,562.55,573.0,572.6,569.95,13126087,748120603645000.0,239165,5345041,0.4072
2022-02-01,WIPRO,EQ,572.6,579.9,582.4,566.45,577.5,576.65,575.24,10460101,601706548885000.0,208035,3738761,0.35740000000000005
2022-02-02,WIPRO,EQ,576.65,582.0,590.0,575.0,589.4,588.0,585.6,8184413,479279914125000.0,150980,3195626,0.39049999999999996
2022-02-03,WIPRO,EQ,588.0,584.7,588.8,576.15,577.8,578.25,582.86,7041390,410412410935000.0,129088,3095774,0.4397
2022-02-04,WIPRO,EQ,578.25,577.0,577.8,568.05,573.0,571.75,573.73,6816779,391099214450000.0,138822,3149406,0.462
2022-02-07,WIPRO,EQ,571.75,571.9,573.8,555.6,557.8,557.0,561.96,7545679,424036181980000.0,180732,3845730,0.5097
2022-02-08,WIPRO,EQ,557.0,561.4,565.8,554.45,559.9,560.25,560.2,6976907,390843709795000.0,127178,2790796,0.4
2022-02-09,WIPRO,EQ,560.25,564.4,570.75,563.3,569.5,568.95,568.38,5103738,290088300830000.0,97434,2427954,0.4757
2022-02-10,WIPRO,EQ,568.95,572.4,574.75,566.2,573.9,573.65,570.83,5801912,331191881810000.0,131663,3359182,0.579
